"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",269,268,99.6,268,115,42.9,80,29.9,58,21.6,15,5.6,73,27.2
"Achievement First Hartford Academy Inc. District","=""2880013""","M",282,279,98.9,278,127,45.7,83,29.9,50,18.0,18,6.5,68,24.5
"Amistad Academy District","=""2790013""","F",268,265,98.9,265,75,28.3,97,36.6,58,21.9,35,13.2,93,35.1
"Amistad Academy District","=""2790013""","M",276,275,99.6,275,94,34.2,88,32.0,59,21.5,34,12.4,93,33.8
"Andover School District","=""0010011""","F",78,78,100.0,78,"*","*","*","*",21,26.9,32,41.0,53,67.9
"Andover School District","=""0010011""","M",89,87,97.8,87,"*","*","*","*",27,31.0,35,40.2,62,71.3
"Ansonia School District","=""0020011""","F",600,590,98.3,590,246,41.7,238,40.3,82,13.9,24,4.1,106,18.0
"Ansonia School District","=""0020011""","M",626,617,98.6,617,287,46.5,201,32.6,84,13.6,45,7.3,129,20.9
"Area Cooperative Educational Services","=""2440014""","F",581,577,99.3,577,277,48.0,192,33.3,71,12.3,37,6.4,108,18.7
"Area Cooperative Educational Services","=""2440014""","M",717,698,97.4,695,380,54.7,180,25.9,100,14.4,35,5.0,135,19.4
"Ashford School District","=""0030011""","F",122,122,100.0,121,26,21.5,35,28.9,40,33.1,20,16.5,60,49.6
"Ashford School District","=""0030011""","M",131,127,96.9,127,43,33.9,38,29.9,28,22.0,18,14.2,46,36.2
"Avon School District","=""0040011""","F",897,887,98.9,887,68,7.7,181,20.4,281,31.7,357,40.2,638,71.9
"Avon School District","=""0040011""","M",944,936,99.2,936,81,8.7,173,18.5,282,30.1,400,42.7,682,72.9
"Barkhamsted School District","=""0050011""","F",92,91,98.9,91,21,23.1,32,35.2,27,29.7,11,12.1,38,41.8
"Barkhamsted School District","=""0050011""","M",113,106,93.8,106,25,23.6,37,34.9,30,28.3,14,13.2,44,41.5
"Berlin School District","=""0070011""","F",716,711,99.3,704,128,18.2,246,34.9,221,31.4,109,15.5,330,46.9
"Berlin School District","=""0070011""","M",890,883,99.2,871,183,21.0,270,31.0,231,26.5,187,21.5,418,48.0
"Bethany School District","=""0080011""","F",106,103,97.2,103,10,9.7,23,22.3,40,38.8,30,29.1,70,68.0
"Bethany School District","=""0080011""","M",134,131,97.8,131,21,16.0,41,31.3,36,27.5,33,25.2,69,52.7
"Bethel School District","=""0090011""","F",725,721,99.4,720,155,21.5,272,37.8,194,26.9,99,13.8,293,40.7
"Bethel School District","=""0090011""","M",801,791,98.8,791,206,26.0,253,32.0,201,25.4,131,16.6,332,42.0
"Bloomfield School District","=""0110011""","F",431,418,97.0,418,175,41.9,165,39.5,59,14.1,19,4.5,78,18.7
"Bloomfield School District","=""0110011""","M",475,463,97.5,463,212,45.8,146,31.5,92,19.9,13,2.8,105,22.7
"Bolton School District","=""0120011""","F",223,223,100.0,223,41,18.4,61,27.4,53,23.8,68,30.5,121,54.3
"Bolton School District","=""0120011""","M",226,221,97.8,221,39,17.6,63,28.5,66,29.9,53,24.0,119,53.8
"Bozrah School District","=""0130011""","F",72,72,100.0,72,"*","*",21,29.2,27,37.5,"*","*","*","*"
"Bozrah School District","=""0130011""","M",57,57,100.0,57,26,45.6,12,21.1,"*","*","*","*",19,33.3
"Branford School District","=""0140011""","F",798,774,97.0,774,210,27.1,205,26.5,205,26.5,154,19.9,359,46.4
"Branford School District","=""0140011""","M",814,795,97.7,793,250,31.5,195,24.6,195,24.6,153,19.3,348,43.9
"Bridgeport Achievement First District","=""2850013""","F",278,276,99.3,276,117,42.4,80,29.0,60,21.7,19,6.9,79,28.6
"Bridgeport Achievement First District","=""2850013""","M",286,286,100.0,286,138,48.3,72,25.2,48,16.8,28,9.8,76,26.6
"Bridgeport School District","=""0150011""","F",5090,4912,96.5,4911,3267,66.5,1175,23.9,383,7.8,86,1.8,469,9.5
"Bridgeport School District","=""0150011""","M",5372,5197,96.7,5191,3593,69.2,1170,22.5,340,6.5,88,1.7,428,8.2
"Bristol School District","=""0170011""","F",2037,2016,99.0,2015,657,32.6,690,34.2,484,24.0,184,9.1,668,33.2
"Bristol School District","=""0170011""","M",2173,2145,98.7,2145,826,38.5,630,29.4,449,20.9,240,11.2,689,32.1
"Brookfield School District","=""0180011""","F",755,723,95.8,721,117,16.2,200,27.7,227,31.5,177,24.5,404,56.0
"Brookfield School District","=""0180011""","M",755,733,97.1,733,114,15.6,199,27.1,231,31.5,189,25.8,420,57.3
"Brooklyn School District","=""0190011""","F",275,272,98.9,272,74,27.2,96,35.3,67,24.6,35,12.9,102,37.5
"Brooklyn School District","=""0190011""","M",270,266,98.5,265,73,27.5,109,41.1,53,20.0,30,11.3,83,31.3
"Canaan School District","=""0210011""","F",27,27,100.0,27,"*","*",9,33.3,10,37.0,"*","*","*","*"
"Canaan School District","=""0210011""","M",26,26,100.0,26,"*","*",9,34.6,10,38.5,"*","*","*","*"
"Canterbury School District","=""0220011""","F",141,141,100.0,141,33,23.4,44,31.2,43,30.5,21,14.9,64,45.4
"Canterbury School District","=""0220011""","M",171,168,98.2,168,54,32.1,60,35.7,39,23.2,15,8.9,54,32.1
"Canton School District","=""0230011""","F",463,455,98.3,455,72,15.8,132,29.0,128,28.1,123,27.0,251,55.2
"Canton School District","=""0230011""","M",440,440,100.0,440,60,13.6,123,28.0,135,30.7,122,27.7,257,58.4
"Capitol Region Education Council","=""2410014""","F",1678,1600,95.4,1596,651,40.8,477,29.9,293,18.4,175,11.0,468,29.3
"Capitol Region Education Council","=""2410014""","M",1823,1754,96.2,1745,683,39.1,497,28.5,314,18.0,251,14.4,565,32.4
"Chaplin School District","=""0240011""","F",34,25,73.5,25,"*","*",13,52.0,"*","*",0,0.0,"*","*"
"Chaplin School District","=""0240011""","M",41,33,80.5,33,"*","*",12,36.4,6,18.2,"*","*","*","*"
"Cheshire School District","=""0250011""","F",1280,1265,98.8,1265,172,13.6,368,29.1,377,29.8,348,27.5,725,57.3
"Cheshire School District","=""0250011""","M",1243,1221,98.2,1221,207,17.0,284,23.3,377,30.9,353,28.9,730,59.8
"Chester School District","=""0260011""","F",84,84,100.0,84,"*","*",28,33.3,29,34.5,"*","*","*","*"
"Chester School District","=""0260011""","M",54,54,100.0,54,"*","*","*","*",23,42.6,18,33.3,41,75.9
"Clinton School District","=""0270011""","F",503,491,97.6,491,87,17.7,140,28.5,158,32.2,106,21.6,264,53.8
"Clinton School District","=""0270011""","M",553,544,98.4,543,126,23.2,139,25.6,161,29.7,117,21.5,278,51.2
"Colchester School District","=""0280011""","F",697,686,98.4,685,124,18.1,224,32.7,209,30.5,128,18.7,337,49.2
"Colchester School District","=""0280011""","M",725,714,98.5,714,134,18.8,200,28.0,190,26.6,190,26.6,380,53.2
"Colebrook School District","=""0290011""","F",26,25,96.2,25,"*","*",9,36.0,"*","*",8,32.0,"*","*"
"Colebrook School District","=""0290011""","M",26,23,88.5,23,"*","*",6,26.1,"*","*",9,39.1,"*","*"
"Columbia School District","=""0300011""","F",146,144,98.6,143,27,18.9,47,32.9,44,30.8,25,17.5,69,48.3
"Columbia School District","=""0300011""","M",150,143,95.3,143,34,23.8,42,29.4,45,31.5,22,15.4,67,46.9
"Common Ground High School District","=""2680013""","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
