"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Y",79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Y",80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Y",79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*",11,13.9,2440
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Y",77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Y",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""",03,"Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2431
"Amistad Academy District","=""2790013""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2488
"Amistad Academy District","=""2790013""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Y",64,62,96.9,62,28,45.2,26,41.9,"*","*","*","*","*","*",2462
"Amistad Academy District","=""2790013""",05,"N",26,26,100.0,26,14,53.8,"*","*","*","*",0,0.0,"*","*",2435
"Amistad Academy District","=""2790013""",06,"Y",74,74,100.0,74,21,28.4,"*","*",21,28.4,"*","*","*","*",2502
"Amistad Academy District","=""2790013""",06,"N",25,25,100.0,25,10,40.0,"*","*",6,24.0,"*","*","*","*",2521
"Amistad Academy District","=""2790013""",07,"Y",53,53,100.0,53,21,39.6,17,32.1,"*","*","*","*","*","*",2507
"Amistad Academy District","=""2790013""",07,"N",25,25,100.0,25,9,36.0,11,44.0,"*","*","*","*","*","*",2503
"Amistad Academy District","=""2790013""",08,"Y",54,54,100.0,54,18,33.3,"*","*","*","*",14,25.9,"*","*",2555
"Amistad Academy District","=""2790013""",08,"N",25,25,100.0,25,"*","*",10,40.0,"*","*",8,32.0,"*","*",2558
"Amistad Academy District","=""2790013""",11,"Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2577
"Amistad Academy District","=""2790013""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2477
"Andover School District","=""0010011""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",2573
"Andover School District","=""0010011""",06,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"N",33,32,97.0,32,"*","*","*","*","*","*","*","*","*","*",2611
"Ansonia School District","=""0020011""",03,"Y",120,120,100.0,120,42,35.0,42,35.0,30,25.0,6,5.0,36,30.0,2402
"Ansonia School District","=""0020011""",03,"N",55,55,100.0,55,14,25.5,11,20.0,23,41.8,7,12.7,30,54.5,2435
"Ansonia School District","=""0020011""",04,"Y",129,129,100.0,129,43,33.3,72,55.8,"*","*","*","*",14,10.9,2425
"Ansonia School District","=""0020011""",04,"N",60,59,98.3,59,11,18.6,32,54.2,"*","*","*","*",16,27.1,2460
"Ansonia School District","=""0020011""",05,"Y",122,122,100.0,122,73,59.8,41,33.6,"*","*","*","*",8,6.6,2437
"Ansonia School District","=""0020011""",05,"N",53,53,100.0,53,18,34.0,27,50.9,"*","*","*","*",8,15.1,2469
"Ansonia School District","=""0020011""",06,"Y",131,131,100.0,131,64,48.9,48,36.6,"*","*","*","*",19,14.5,2462
"Ansonia School District","=""0020011""",06,"N",42,42,100.0,42,16,38.1,"*","*",11,26.2,"*","*","*","*",2506
"Ansonia School District","=""0020011""",07,"Y",143,139,97.2,139,63,45.3,56,40.3,"*","*","*","*",20,14.4,2486
"Ansonia School District","=""0020011""",07,"N",44,44,100.0,44,15,34.1,15,34.1,"*","*","*","*",14,31.8,2523
"Ansonia School District","=""0020011""",08,"Y",152,149,98.0,149,99,66.4,37,24.8,"*","*","*","*",13,8.7,2461
"Ansonia School District","=""0020011""",08,"N",59,58,98.3,58,25,43.1,21,36.2,"*","*","*","*",12,20.7,2519
"Ansonia School District","=""0020011""",11,"Y",66,58,87.9,58,35,60.3,12,20.7,"*","*","*","*",11,19.0,2527
"Ansonia School District","=""0020011""",11,"N",50,48,96.0,48,15,31.3,14,29.2,"*","*","*","*",19,39.6,2595
"Area Cooperative Educational Services","=""2440014""",03,"Y",66,65,98.5,65,49,75.4,12,18.5,"*","*","*","*","*","*",2333
"Area Cooperative Educational Services","=""2440014""",03,"N",33,33,100.0,33,13,39.4,8,24.2,"*","*","*","*","*","*",2410
"Area Cooperative Educational Services","=""2440014""",04,"Y",65,62,95.4,62,40,64.5,"*","*","*","*",0,0.0,"*","*",2370
"Area Cooperative Educational Services","=""2440014""",04,"N",32,31,96.9,31,"*","*",15,48.4,"*","*",0,0.0,"*","*",2436
"Area Cooperative Educational Services","=""2440014""",05,"Y",61,60,98.4,60,44,73.3,"*","*","*","*",0,0.0,"*","*",2395
"Area Cooperative Educational Services","=""2440014""",05,"N",34,34,100.0,34,15,44.1,13,38.2,"*","*","*","*","*","*",2473
"Area Cooperative Educational Services","=""2440014""",06,"Y",219,217,99.1,215,130,60.5,66,30.7,"*","*","*","*",19,8.8,2435
"Area Cooperative Educational Services","=""2440014""",06,"N",122,122,100.0,122,29,23.8,54,44.3,"*","*","*","*",39,32.0,2519
"Area Cooperative Educational Services","=""2440014""",07,"Y",217,211,97.2,211,129,61.1,54,25.6,21,10.0,7,3.3,28,13.3,2453
"Area Cooperative Educational Services","=""2440014""",07,"N",116,115,99.1,115,29,25.2,43,37.4,32,27.8,11,9.6,43,37.4,2538
"Area Cooperative Educational Services","=""2440014""",08,"Y",171,167,97.7,166,106,63.9,38,22.9,"*","*","*","*",22,13.3,2473
"Area Cooperative Educational Services","=""2440014""",08,"N",141,141,100.0,141,45,31.9,35,24.8,"*","*","*","*",61,43.3,2560
"Area Cooperative Educational Services","=""2440014""",11,"Y",21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*"
