"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, English Learne"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N",573,570,99.5,570,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N",573,567,99.0,566,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N",502,498,99.2,498,"*","*",118,23.7,193,38.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","Y",36,36,100.0,36,12,33.3,16,44.4,"*","*","*","*",8,22.2
"Amistad Academy District","=""2790013""","Math","N",502,497,99.0,497,"*","*",144,29.0,133,26.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Y",36,36,100.0,36,10,27.8,17,47.2,"*","*","*","*",9,25.0
"Andover School District","=""0010011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",1034,1017,98.4,1017,372,36.6,"*","*",249,24.5,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",20,20,100.0,20,17,85.0,"*","*",0,0.0,"*","*","*","*"
"Ansonia School District","=""0020011""","Math","N",1034,1016,98.3,1015,407,40.1,358,35.3,175,17.2,75,7.4,250,24.6
"Ansonia School District","=""0020011""","Math","Y",20,20,100.0,20,11,55.0,9,45.0,0,0.0,0,0.0,0,0.0
"Area Cooperative Educational Services","=""2440014""","ELA","N",1236,1224,99.0,1223,443,36.2,307,25.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","Y",51,51,100.0,51,37,72.5,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Math","N",1236,1217,98.5,1217,596,49.0,352,28.9,187,15.4,82,6.7,269,22.1
"Area Cooperative Educational Services","=""2440014""","Math","Y",51,51,100.0,51,42,82.4,9,17.6,0,0.0,0,0.0,0,0.0
