"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",48,48,100.0,48,"*","*",15,31.3,14,29.2,"*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"M",42,40,95.2,40,"*","*","*","*",10,25.0,16,40.0,26,65.0,2462
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",43,43,100.0,43,7,16.3,19,44.2,9,20.9,8,18.6,17,39.5,2470
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"M",48,47,97.9,47,11,23.4,13,27.7,10,21.3,13,27.7,23,48.9,2487
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",80,79,98.8,79,34,43.0,33,41.8,"*","*","*","*",12,15.2,2462
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"M",64,64,100.0,63,36,57.1,16,25.4,"*","*","*","*",11,17.5,2442
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",63,62,98.4,62,28,45.2,18,29.0,"*","*","*","*",16,25.8,2481
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"M",82,81,98.8,81,41,50.6,27,33.3,"*","*","*","*",13,16.0,2466
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",32,32,100.0,32,14,43.8,11,34.4,"*","*","*","*","*","*",2484
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"M",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*",2450
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",30,30,100.0,30,10,33.3,10,33.3,"*","*","*","*",10,33.3,2535
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"M",35,35,100.0,35,12,34.3,11,31.4,"*","*","*","*",12,34.3,2534
"Amistad Academy District","=""2790013""",03,"F",50,50,100.0,50,"*","*",12,24.0,18,36.0,"*","*","*","*",2451
"Amistad Academy District","=""2790013""",03,"M",41,40,97.6,40,"*","*","*","*",16,40.0,12,30.0,28,70.0,2465
"Amistad Academy District","=""2790013""",04,"F",44,43,97.7,43,7,16.3,13,30.2,12,27.9,11,25.6,23,53.5,2498
"Amistad Academy District","=""2790013""",04,"M",48,47,97.9,47,6,12.8,15,31.9,14,29.8,12,25.5,26,55.3,2499
"Amistad Academy District","=""2790013""",05,"F",48,48,100.0,48,15,31.3,16,33.3,8,16.7,9,18.8,17,35.4,2503
"Amistad Academy District","=""2790013""",05,"M",46,45,97.8,45,19,42.2,11,24.4,6,13.3,9,20.0,15,33.3,2489
"Amistad Academy District","=""2790013""",06,"F",40,40,100.0,40,"*","*",19,47.5,"*","*",10,25.0,"*","*",2557
"Amistad Academy District","=""2790013""",06,"M",50,50,100.0,50,"*","*",18,36.0,11,22.0,"*","*","*","*",2512
"Amistad Academy District","=""2790013""",07,"F",46,46,100.0,46,10,21.7,15,32.6,13,28.3,8,17.4,21,45.7,2540
"Amistad Academy District","=""2790013""",07,"M",43,43,100.0,43,14,32.6,9,20.9,10,23.3,10,23.3,20,46.5,2535
"Amistad Academy District","=""2790013""",08,"F",39,39,100.0,39,"*","*",14,35.9,14,35.9,"*","*","*","*",2569
"Amistad Academy District","=""2790013""",08,"M",43,42,97.7,42,12,28.6,11,26.2,"*","*","*","*",19,45.2,2567
"Andover School District","=""0010011""",03,"F",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"M",20,20,100.0,20,0,0.0,"*","*","*","*","*","*","*","*",2517
"Andover School District","=""0010011""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"M",29,27,93.1,27,"*","*","*","*","*","*","*","*","*","*",2574
"Andover School District","=""0010011""",06,"F",27,27,100.0,27,"*","*","*","*","*","*",11,40.7,"*","*",2584
"Andover School District","=""0010011""",06,"M",21,21,100.0,21,"*","*","*","*","*","*",11,52.4,"*","*",2594
"Ansonia School District","=""0020011""",03,"F",81,79,97.5,79,"*","*",29,36.7,25,31.6,"*","*","*","*",2410
"Ansonia School District","=""0020011""",03,"M",91,90,98.9,90,25,27.8,33,36.7,"*","*","*","*",32,35.6,2410
"Ansonia School District","=""0020011""",04,"F",79,78,98.7,78,21,26.9,34,43.6,"*","*","*","*",23,29.5,2454
"Ansonia School District","=""0020011""",04,"M",87,87,100.0,87,26,29.9,35,40.2,"*","*","*","*",26,29.9,2449
"Ansonia School District","=""0020011""",05,"F",97,97,100.0,97,54,55.7,30,30.9,"*","*","*","*",13,13.4,2445
"Ansonia School District","=""0020011""",05,"M",87,87,100.0,87,47,54.0,23,26.4,"*","*","*","*",17,19.5,2446
"Ansonia School District","=""0020011""",06,"F",93,90,96.8,90,26,28.9,34,37.8,23,25.6,7,7.8,30,33.3,2507
"Ansonia School District","=""0020011""",06,"M",83,82,98.8,82,34,41.5,28,34.1,8,9.8,12,14.6,20,24.4,2485
"Ansonia School District","=""0020011""",07,"F",69,67,97.1,67,32,47.8,28,41.8,"*","*","*","*",7,10.4,2472
"Ansonia School District","=""0020011""",07,"M",102,96,94.1,96,46,47.9,30,31.3,"*","*","*","*",20,20.8,2490
"Ansonia School District","=""0020011""",08,"F",99,97,98.0,96,48,50.0,34,35.4,"*","*","*","*",14,14.6,2500
"Ansonia School District","=""0020011""",08,"M",86,86,100.0,86,37,43.0,29,33.7,"*","*","*","*",20,23.3,2518
"Area Cooperative Educational Services","=""2440014""",03,"F",41,41,100.0,41,15,36.6,"*","*",6,14.6,"*","*","*","*",2397
"Area Cooperative Educational Services","=""2440014""",03,"M",48,44,91.7,44,29,65.9,"*","*","*","*",0,0.0,"*","*",2352
"Area Cooperative Educational Services","=""2440014""",04,"F",42,42,100.0,42,18,42.9,16,38.1,"*","*","*","*",8,19.0,2414
"Area Cooperative Educational Services","=""2440014""",04,"M",61,58,95.1,58,39,67.2,13,22.4,"*","*","*","*",6,10.3,2384
"Area Cooperative Educational Services","=""2440014""",05,"F",34,34,100.0,34,24,70.6,10,29.4,0,0.0,0,0.0,0,0.0,2420
"Area Cooperative Educational Services","=""2440014""",05,"M",63,61,96.8,61,47,77.0,11,18.0,"*","*","*","*","*","*",2406
"Area Cooperative Educational Services","=""2440014""",06,"F",160,160,100.0,160,78,48.8,56,35.0,17,10.6,9,5.6,26,16.3,2471
"Area Cooperative Educational Services","=""2440014""",06,"M",190,190,100.0,190,89,46.8,64,33.7,27,14.2,10,5.3,37,19.5,2469
"Area Cooperative Educational Services","=""2440014""",07,"F",170,167,98.2,167,57,34.1,57,34.1,39,23.4,14,8.4,53,31.7,2520
"Area Cooperative Educational Services","=""2440014""",07,"M",161,156,96.9,156,69,44.2,42,26.9,28,17.9,17,10.9,45,28.8,2495
"Area Cooperative Educational Services","=""2440014""",08,"F",136,136,100.0,136,67,49.3,35,25.7,25,18.4,9,6.6,34,25.0,2508
"Area Cooperative Educational Services","=""2440014""",08,"M",181,179,98.9,179,106,59.2,36,20.1,24,13.4,13,7.3,37,20.7,2490
"Ashford School District","=""0030011""",03,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"M",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"F",22,22,100.0,22,"*","*","*","*",7,31.8,"*","*","*","*",2513
"Ashford School District","=""0030011""",04,"M",20,20,100.0,20,"*","*","*","*",11,55.0,"*","*","*","*",2492
"Ashford School District","=""0030011""",05,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2490
"Ashford School District","=""0030011""",05,"M",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"M",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2482
"Ashford School District","=""0030011""",07,"F",25,25,100.0,25,0,0.0,13,52.0,"*","*","*","*",12,48.0,2578
"Ashford School District","=""0030011""",07,"M",26,26,100.0,26,"*","*",10,38.5,8,30.8,"*","*","*","*",2547
"Ashford School District","=""0030011""",08,"F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"M",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*",2574
"Avon School District","=""0040011""",03,"F",117,117,100.0,117,10,8.5,20,17.1,36,30.8,51,43.6,87,74.4,2480
"Avon School District","=""0040011""",03,"M",119,119,100.0,119,6,5.0,20,16.8,33,27.7,60,50.4,93,78.2,2498
"Avon School District","=""0040011""",04,"F",107,106,99.1,106,"*","*","*","*",44,41.5,35,33.0,79,74.5,2524
"Avon School District","=""0040011""",04,"M",113,112,99.1,112,"*","*","*","*",39,34.8,50,44.6,89,79.5,2546
"Avon School District","=""0040011""",05,"F",146,146,100.0,146,21,14.4,40,27.4,43,29.5,42,28.8,85,58.2,2537
"Avon School District","=""0040011""",05,"M",127,127,100.0,127,14,11.0,26,20.5,34,26.8,53,41.7,87,68.5,2554
"Avon School District","=""0040011""",06,"F",129,128,99.2,128,8,6.3,26,20.3,38,29.7,56,43.8,94,73.4,2601
"Avon School District","=""0040011""",06,"M",148,147,99.3,147,11,7.5,21,14.3,45,30.6,70,47.6,115,78.2,2603
"Avon School District","=""0040011""",07,"F",115,115,100.0,115,"*","*","*","*",28,24.3,64,55.7,92,80.0,2625
"Avon School District","=""0040011""",07,"M",154,153,99.4,153,"*","*","*","*",41,26.8,89,58.2,130,85.0,2650
"Avon School District","=""0040011""",08,"F",140,138,98.6,138,13,9.4,19,13.8,31,22.5,75,54.3,106,76.8,2654
"Avon School District","=""0040011""",08,"M",133,133,100.0,133,12,9.0,18,13.5,28,21.1,75,56.4,103,77.4,2654
"Barkhamsted School District","=""0050011""",03,"F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",03,"M",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"F",23,23,100.0,23,"*","*",8,34.8,6,26.1,"*","*","*","*",2461
"Barkhamsted School District","=""0050011""",04,"M",25,22,88.0,22,7,31.8,8,36.4,"*","*","*","*",7,31.8,2446
"Barkhamsted School District","=""0050011""",05,"F",23,22,95.7,22,"*","*",7,31.8,"*","*","*","*","*","*",2468
"Barkhamsted School District","=""0050011""",05,"M",24,23,95.8,23,"*","*",10,43.5,"*","*","*","*","*","*",2499
"Barkhamsted School District","=""0050011""",06,"F",23,23,100.0,23,"*","*",9,39.1,"*","*","*","*","*","*",2558
"Barkhamsted School District","=""0050011""",06,"M",22,21,95.5,21,"*","*",10,47.6,"*","*","*","*","*","*",2532
"Berlin School District","=""0070011""",03,"F",100,100,100.0,100,15,15.0,20,20.0,43,43.0,22,22.0,65,65.0,2456
"Berlin School District","=""0070011""",03,"M",101,99,98.0,99,9,9.1,18,18.2,36,36.4,36,36.4,72,72.7,2475
"Berlin School District","=""0070011""",04,"F",85,85,100.0,85,6,7.1,24,28.2,34,40.0,21,24.7,55,64.7,2505
"Berlin School District","=""0070011""",04,"M",104,101,97.1,100,16,16.0,22,22.0,33,33.0,29,29.0,62,62.0,2500
"Berlin School District","=""0070011""",05,"F",114,114,100.0,114,11,9.6,45,39.5,29,25.4,29,25.4,58,50.9,2529
"Berlin School District","=""0070011""",05,"M",138,136,98.6,136,19,14.0,43,31.6,36,26.5,38,27.9,74,54.4,2530
"Berlin School District","=""0070011""",06,"F",97,96,99.0,96,21,21.9,35,36.5,27,28.1,13,13.5,40,41.7,2528
"Berlin School District","=""0070011""",06,"M",118,118,100.0,118,23,19.5,42,35.6,30,25.4,23,19.5,53,44.9,2539
"Berlin School District","=""0070011""",07,"F",118,118,100.0,118,21,17.8,38,32.2,37,31.4,22,18.6,59,50.0,2561
"Berlin School District","=""0070011""",07,"M",129,128,99.2,128,21,16.4,41,32.0,32,25.0,34,26.6,66,51.6,2566
"Berlin School District","=""0070011""",08,"F",86,86,100.0,85,20,23.5,25,29.4,20,23.5,20,23.5,40,47.1,2578
"Berlin School District","=""0070011""",08,"M",129,129,100.0,129,43,33.3,32,24.8,20,15.5,34,26.4,54,41.9,2573
"Bethany School District","=""0080011""",03,"F",28,26,92.9,26,"*","*","*","*",10,38.5,8,30.8,18,69.2,2479
"Bethany School District","=""0080011""",03,"M",30,29,96.7,29,"*","*","*","*",14,48.3,7,24.1,21,72.4,2463
