"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Y",453,450,99.3,450,100,22.2,119,26.4,162,36.0,69,15.3,231,51.3
"Amistad Academy District","=""2790013""","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Andover School District","=""0010011""","Y",25,23,92.0,23,"*","*","*","*",7,30.4,6,26.1,13,56.5
"Andover School District","=""0010011""","N",134,133,99.3,133,"*","*","*","*",38,28.6,66,49.6,104,78.2
"Ansonia School District","=""0020011""","Y",726,712,98.1,712,297,41.7,209,29.4,153,21.5,53,7.4,206,28.9
"Ansonia School District","=""0020011""","N",328,325,99.1,325,92,28.3,85,26.2,96,29.5,52,16.0,148,45.5
"Area Cooperative Educational Services","=""2440014""","Y",827,818,98.9,818,393,48.0,199,24.3,179,21.9,47,5.7,226,27.6
"Area Cooperative Educational Services","=""2440014""","N",460,457,99.3,456,87,19.1,120,26.3,152,33.3,97,21.3,249,54.6
"Ashford School District","=""0030011""","Y",79,78,98.7,78,22,28.2,21,26.9,26,33.3,9,11.5,35,44.9
"Ashford School District","=""0030011""","N",154,154,100.0,154,13,8.4,31,20.1,56,36.4,54,35.1,110,71.4
"Avon School District","=""0040011""","Y",79,79,100.0,79,22,27.8,25,31.6,19,24.1,13,16.5,32,40.5
"Avon School District","=""0040011""","N",1466,1462,99.7,1462,63,4.3,182,12.4,482,33.0,735,50.3,1217,83.2
"Barkhamsted School District","=""0050011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",158,151,95.6,151,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",165,164,99.4,164,43,26.2,48,29.3,54,32.9,19,11.6,73,44.5
"Berlin School District","=""0070011""","N",1154,1149,99.6,1148,92,8.0,228,19.9,453,39.5,375,32.7,828,72.1
"Bethany School District","=""0080011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",215,207,96.3,207,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",291,290,99.7,290,59,20.3,65,22.4,107,36.9,59,20.3,166,57.2
"Bethel School District","=""0090011""","N",1038,1030,99.2,1030,90,8.7,160,15.5,381,37.0,399,38.7,780,75.7
"Bloomfield School District","=""0110011""","Y",413,411,99.5,411,116,28.2,105,25.5,138,33.6,52,12.7,190,46.2
"Bloomfield School District","=""0110011""","N",354,353,99.7,353,81,22.9,90,25.5,122,34.6,60,17.0,182,51.6
"Bolton School District","=""0120011""","Y",60,60,100.0,60,12,20.0,10,16.7,27,45.0,11,18.3,38,63.3
"Bolton School District","=""0120011""","N",296,287,97.0,287,26,9.1,28,9.8,102,35.5,131,45.6,233,81.2
"Bozrah School District","=""0130011""","Y",28,28,100.0,28,8,28.6,10,35.7,"*","*","*","*",10,35.7
"Bozrah School District","=""0130011""","N",106,105,99.1,104,"*","*",30,28.8,33,31.7,"*","*","*","*"
"Branford School District","=""0140011""","Y",356,353,99.2,351,80,22.8,105,29.9,105,29.9,61,17.4,166,47.3
"Branford School District","=""0140011""","N",999,988,98.9,983,103,10.5,198,20.1,343,34.9,339,34.5,682,69.4
"Brass City Charter School District","=""2900013""","Y",24,24,100.0,24,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y",446,445,99.8,445,127,28.5,123,27.6,114,25.6,81,18.2,195,43.8
"Bridgeport Achievement First District","=""2850013""","N",95,95,100.0,95,14,14.7,29,30.5,25,26.3,27,28.4,52,54.7
"Bridgeport School District","=""0150011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Y",1698,1692,99.6,1692,559,33.0,456,27.0,491,29.0,186,11.0,677,40.0
"Bristol School District","=""0170011""","N",1851,1843,99.6,1843,245,13.3,379,20.6,686,37.2,533,28.9,1219,66.1
"Brookfield School District","=""0180011""","Y",93,88,94.6,88,22,25.0,20,22.7,28,31.8,18,20.5,46,52.3
"Brookfield School District","=""0180011""","N",1174,1107,94.3,1107,112,10.1,222,20.1,387,35.0,386,34.9,773,69.8
"Brooklyn School District","=""0190011""","Y",165,162,98.2,162,35,21.6,46,28.4,53,32.7,28,17.3,81,50.0
"Brooklyn School District","=""0190011""","N",356,354,99.4,354,26,7.3,51,14.4,138,39.0,139,39.3,277,78.2
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",86,85,98.8,85,18,21.2,24,28.2,28,32.9,15,17.6,43,50.6
"Canterbury School District","=""0220011""","N",222,218,98.2,218,32,14.7,62,28.4,77,35.3,47,21.6,124,56.9
"Canton School District","=""0230011""","Y",100,99,99.0,99,23,23.2,29,29.3,33,33.3,14,14.1,47,47.5
"Canton School District","=""0230011""","N",693,686,99.0,686,44,6.4,106,15.5,246,35.9,290,42.3,536,78.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",69,69,100.0,69,28,40.6,23,33.3,18,26.1,0,0.0,18,26.1
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",41,41,100.0,41,14,34.1,"*","*",11,26.8,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",1619,1604,99.1,1603,621,38.7,414,25.8,423,26.4,145,9.0,568,35.4
"Capitol Region Education Council","=""2410014""","N",1500,1461,97.4,1461,204,14.0,306,20.9,526,36.0,425,29.1,951,65.1
"Chaplin School District","=""0240011""","Y",40,40,100.0,40,"*","*",10,25.0,13,32.5,"*","*","*","*"
"Chaplin School District","=""0240011""","N",38,37,97.4,37,"*","*","*","*",11,29.7,13,35.1,24,64.9
"Cheshire School District","=""0250011""","Y",191,190,99.5,190,41,21.6,54,28.4,62,32.6,33,17.4,95,50.0
"Cheshire School District","=""0250011""","N",1862,1845,99.1,1845,95,5.1,249,13.5,660,35.8,841,45.6,1501,81.4
"Chester School District","=""0260011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",120,119,99.2,119,"*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y",204,201,98.5,199,51,25.6,61,30.7,59,29.6,28,14.1,87,43.7
"Clinton School District","=""0270011""","N",696,687,98.7,686,47,6.9,116,16.9,254,37.0,269,39.2,523,76.2
"Colchester School District","=""0280011""","Y",215,215,100.0,215,42,19.5,66,30.7,70,32.6,37,17.2,107,49.8
"Colchester School District","=""0280011""","N",921,915,99.3,915,63,6.9,140,15.3,361,39.5,351,38.4,712,77.8
"Colebrook School District","=""0290011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",40,38,95.0,38,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",49,49,100.0,49,8,16.3,16,32.7,19,38.8,6,12.2,25,51.0
"Columbia School District","=""0300011""","N",238,230,96.6,230,24,10.4,45,19.6,89,38.7,72,31.3,161,70.0
"Cooperative Educational Services","=""2430014""","Y",129,129,100.0,129,54,41.9,31,24.0,35,27.1,9,7.0,44,34.1
"Cooperative Educational Services","=""2430014""","N",213,207,97.2,207,51,24.6,47,22.7,58,28.0,51,24.6,109,52.7
"Cornwall School District","=""0310011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",150,147,98.0,147,30,20.4,29,19.7,58,39.5,30,20.4,88,59.9
"Coventry School District","=""0320011""","N",603,597,99.0,597,48,8.0,100,16.8,231,38.7,218,36.5,449,75.2
"Cromwell School District","=""0330011""","Y",190,190,100.0,190,53,27.9,61,32.1,52,27.4,24,12.6,76,40.0
"Cromwell School District","=""0330011""","N",733,730,99.6,730,78,10.7,137,18.8,274,37.5,241,33.0,515,70.5
"Danbury School District","=""0340011""","Y",2864,2848,99.4,2847,830,29.2,912,32.0,816,28.7,289,10.2,1105,38.8
"Danbury School District","=""0340011""","N",2214,2188,98.8,2186,434,19.9,491,22.5,738,33.8,523,23.9,1261,57.7
"Darien School District","=""0350011""","Y",55,54,98.2,54,10,18.5,14,25.9,20,37.0,10,18.5,30,55.6
"Darien School District","=""0350011""","N",2227,2201,98.8,2201,65,3.0,206,9.4,699,31.8,1231,55.9,1930,87.7
"Deep River School District","=""0360011""","Y",39,39,100.0,39,"*","*",15,38.5,14,35.9,"*","*","*","*"
"Deep River School District","=""0360011""","N",161,160,99.4,160,"*","*","*","*",47,29.4,58,36.3,105,65.6
"Derby School District","=""0370011""","Y",380,379,99.7,379,159,42.0,91,24.0,99,26.1,30,7.9,129,34.0
"Derby School District","=""0370011""","N",300,299,99.7,299,79,26.4,77,25.8,94,31.4,49,16.4,143,47.8
"East Granby School District","=""0400011""","Y",57,56,98.2,56,17,30.4,18,32.1,13,23.2,8,14.3,21,37.5
"East Granby School District","=""0400011""","N",339,339,100.0,339,29,8.6,50,14.7,131,38.6,129,38.1,260,76.7
"East Haddam School District","=""0410011""","Y",71,69,97.2,69,16,23.2,19,27.5,14,20.3,20,29.0,34,49.3
"East Haddam School District","=""0410011""","N",428,410,95.8,410,47,11.5,80,19.5,141,34.4,142,34.6,283,69.0
"East Hampton School District","=""0420011""","Y",124,117,94.4,117,38,32.5,40,34.2,27,23.1,12,10.3,39,33.3
"East Hampton School District","=""0420011""","N",761,714,93.8,714,114,16.0,165,23.1,259,36.3,176,24.6,435,60.9
"East Hartford School District","=""0430011""","Y",1973,1963,99.5,1956,914,46.7,506,25.9,417,21.3,119,6.1,536,27.4
"East Hartford School District","=""0430011""","N",948,943,99.5,939,311,33.1,242,25.8,246,26.2,140,14.9,386,41.1
"East Haven School District","=""0440011""","Y",681,676,99.3,676,219,32.4,185,27.4,180,26.6,92,13.6,272,40.2
"East Haven School District","=""0440011""","N",638,635,99.5,635,110,17.3,179,28.2,227,35.7,119,18.7,346,54.5
"East Lyme School District","=""0450011""","Y",210,207,98.6,207,46,22.2,52,25.1,70,33.8,39,18.8,109,52.7
"East Lyme School District","=""0450011""","N",988,962,97.4,962,70,7.3,146,15.2,326,33.9,420,43.7,746,77.5
"East Windsor School District","=""0470011""","Y",218,213,97.7,212,64,30.2,70,33.0,62,29.2,16,7.5,78,36.8
"East Windsor School District","=""0470011""","N",248,247,99.6,247,40,16.2,61,24.7,101,40.9,45,18.2,146,59.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",32,31,96.9,31,"*","*","*","*","*","*",0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",72,72,100.0,72,"*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y",30,30,100.0,30,"*","*",6,20.0,13,43.3,"*","*","*","*"
"Easton School District","=""0460011""","N",602,587,97.5,587,"*","*",69,11.8,197,33.6,"*","*","*","*"
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",133,132,99.2,132,27,20.5,39,29.5,40,30.3,26,19.7,66,50.0
"Ellington School District","=""0480011""","N",1129,1121,99.3,1121,68,6.1,195,17.4,353,31.5,505,45.0,858,76.5
"Elm City College Preparatory School District","=""2890013""","Y",310,310,100.0,310,70,22.6,70,22.6,107,34.5,63,20.3,170,54.8
"Elm City College Preparatory School District","=""2890013""","N",66,66,100.0,66,11,16.7,8,12.1,24,36.4,23,34.8,47,71.2
"Enfield School District","=""0490011""","Y",921,914,99.2,914,241,26.4,276,30.2,279,30.5,118,12.9,397,43.4
"Enfield School District","=""0490011""","N",1312,1306,99.5,1306,146,11.2,304,23.3,503,38.5,353,27.0,856,65.5
"Essex School District","=""0500011""","Y",20,20,100.0,20,"*","*","*","*","*","*",8,40.0,"*","*"
"Essex School District","=""0500011""","N",210,203,96.7,203,"*","*","*","*","*","*",92,45.3,"*","*"
"Fairfield School District","=""0510011""","Y",452,450,99.6,450,118,26.2,131,29.1,140,31.1,61,13.6,201,44.7
"Fairfield School District","=""0510011""","N",4282,4235,98.9,4233,305,7.2,662,15.6,1523,36.0,1743,41.2,3266,77.2
"Farmington School District","=""0520011""","Y",212,212,100.0,212,43,20.3,51,24.1,78,36.8,40,18.9,118,55.7
"Farmington School District","=""0520011""","N",1691,1683,99.5,1683,86,5.1,225,13.4,559,33.2,813,48.3,1372,81.5
"Franklin School District","=""0530011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","N",92,90,97.8,90,"*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Y",271,270,99.6,270,77,28.5,62,23.0,83,30.7,48,17.8,131,48.5
"Glastonbury School District","=""0540011""","N",2556,2547,99.6,2547,120,4.7,326,12.8,901,35.4,1200,47.1,2101,82.5
"Granby School District","=""0560011""","Y",88,88,100.0,88,15,17.0,24,27.3,34,38.6,15,17.0,49,55.7
"Granby School District","=""0560011""","N",752,743,98.8,743,45,6.1,102,13.7,262,35.3,334,45.0,596,80.2
"Great Oaks Charter School District","=""2940013""","Y",172,172,100.0,172,89,51.7,52,30.2,"*","*","*","*",31,18.0
"Great Oaks Charter School District","=""2940013""","N",38,38,100.0,38,18,47.4,11,28.9,9,23.7,0,0.0,9,23.7
"Greenwich School District","=""0570011""","Y",584,584,100.0,584,145,24.8,160,27.4,182,31.2,97,16.6,279,47.8
"Greenwich School District","=""0570011""","N",3386,3372,99.6,3372,216,6.4,431,12.8,1070,31.7,1655,49.1,2725,80.8
"Griswold School District","=""0580011""","Y",336,331,98.5,331,92,27.8,97,29.3,104,31.4,38,11.5,142,42.9
"Griswold School District","=""0580011""","N",487,483,99.2,483,50,10.4,97,20.1,188,38.9,148,30.6,336,69.6
"Groton School District","=""0590011""","Y",892,885,99.2,885,301,34.0,239,27.0,229,25.9,116,13.1,345,39.0
"Groton School District","=""0590011""","N",1060,1053,99.3,1053,130,12.3,217,20.6,386,36.7,320,30.4,706,67.0
"Guilford School District","=""0600011""","Y",145,145,100.0,145,29,20.0,30,20.7,49,33.8,37,25.5,86,59.3
"Guilford School District","=""0600011""","N",1485,1481,99.7,1479,74,5.0,165,11.2,508,34.3,732,49.5,1240,83.8
"Hamden School District","=""0620011""","Y",1056,1046,99.1,1046,418,40.0,283,27.1,254,24.3,91,8.7,345,33.0
"Hamden School District","=""0620011""","N",1376,1357,98.6,1357,224,16.5,262,19.3,447,32.9,424,31.2,871,64.2
"Hampton School District","=""0630011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","N",37,37,100.0,37,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Y",7913,7819,98.8,7816,4234,54.2,1898,24.3,1299,16.6,385,4.9,1684,21.5
