"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",503,500,99.4,499,142,28.5,133,26.7,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",48,48,100.0,48,37,77.1,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","N",512,510,99.6,510,100,19.6,"*","*","*","*",101,19.8,"*","*"
"Amistad Academy District","=""2790013""","Y",32,31,96.9,31,27,87.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","N",158,154,97.5,154,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1052,1034,98.3,1034,260,25.1,333,32.2,"*","*","*","*",441,42.6
"Ansonia School District","=""0020011""","Y",173,171,98.8,171,137,80.1,28,16.4,"*","*","*","*",6,3.5
"Area Cooperative Educational Services","=""2440014""","N",1003,1001,99.8,1000,"*","*",334,33.4,338,33.8,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",294,276,93.9,268,204,76.1,45,16.8,"*","*","*","*",19,7.1
"Ashford School District","=""0030011""","N",219,218,99.5,218,16,7.3,53,24.3,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y",34,34,100.0,34,18,52.9,11,32.4,"*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1686,1660,98.5,1658,54,3.3,167,10.1,582,35.1,855,51.6,1437,86.7
"Avon School District","=""0040011""","Y",155,152,98.1,151,47,31.1,53,35.1,42,27.8,9,6.0,51,33.8
"Barkhamsted School District","=""0050011""","N",176,171,97.2,170,10,5.9,28,16.5,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Y",29,27,93.1,27,17,63.0,6,22.2,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",1448,1443,99.7,1414,"*","*",327,23.1,595,42.1,"*","*","*","*"
"Berlin School District","=""0070011""","Y",159,152,95.6,145,89,61.4,43,29.7,"*","*","*","*",13,9.0
"Bethany School District","=""0080011""","N",206,201,97.6,200,"*","*",36,18.0,"*","*",85,42.5,"*","*"
"Bethany School District","=""0080011""","Y",34,33,97.1,33,19,57.6,"*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","N",1368,1355,99.0,1355,107,7.9,266,19.6,530,39.1,452,33.4,982,72.5
"Bethel School District","=""0090011""","Y",158,152,96.2,151,56,37.1,53,35.1,36,23.8,6,4.0,42,27.8
"Bloomfield School District","=""0110011""","N",798,775,97.1,775,"*","*",243,31.4,296,38.2,"*","*","*","*"
"Bloomfield School District","=""0110011""","Y",109,103,94.5,103,69,67.0,25,24.3,"*","*","*","*",9,8.7
"Bolton School District","=""0120011""","N",399,395,99.0,395,"*","*",58,14.7,153,38.7,"*","*","*","*"
"Bolton School District","=""0120011""","Y",50,48,96.0,47,23,48.9,"*","*",13,27.7,"*","*","*","*"
"Bozrah School District","=""0130011""","N",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",1417,1383,97.6,1383,"*","*",311,22.5,538,38.9,"*","*","*","*"
"Branford School District","=""0140011""","Y",195,188,96.4,188,115,61.2,53,28.2,"*","*","*","*",20,10.6
"Bridgeport Achievement First District","=""2850013""","N",513,513,100.0,513,153,29.8,158,30.8,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y",51,51,100.0,51,43,84.3,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","N",9173,8722,95.1,8691,3836,44.1,2548,29.3,1811,20.8,496,5.7,2307,26.5
"Bridgeport School District","=""0150011""","Y",1288,1220,94.7,1214,1027,84.6,140,11.5,41,3.4,6,0.5,47,3.9
"Bristol School District","=""0170011""","N",3474,3430,98.7,3428,445,13.0,926,27.0,1354,39.5,703,20.5,2057,60.0
"Bristol School District","=""0170011""","Y",733,709,96.7,707,452,63.9,174,24.6,70,9.9,11,1.6,81,11.5
"Brookfield School District","=""0180011""","N",1326,1268,95.6,1261,86,6.8,212,16.8,508,40.3,455,36.1,963,76.4
"Brookfield School District","=""0180011""","Y",184,170,92.4,169,77,45.6,50,29.6,32,18.9,10,5.9,42,24.9
"Brooklyn School District","=""0190011""","N",497,492,99.0,492,"*","*",103,20.9,198,40.2,"*","*","*","*"
"Brooklyn School District","=""0190011""","Y",48,44,91.7,44,21,47.7,16,36.4,"*","*","*","*",7,15.9
"Canaan School District","=""0210011""","N",46,45,97.8,45,"*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",284,281,98.9,281,"*","*",82,29.2,"*","*",50,17.8,"*","*"
"Canterbury School District","=""0220011""","Y",28,28,100.0,28,15,53.6,"*","*","*","*",0,0.0,"*","*"
"Canton School District","=""0230011""","N",812,808,99.5,808,"*","*",112,13.9,319,39.5,"*","*","*","*"
"Canton School District","=""0230011""","Y",92,92,100.0,92,37,40.2,34,37.0,"*","*","*","*",21,22.8
"Capitol Region Education Council","=""2410014""","N",2996,2894,96.6,2885,566,19.6,735,25.5,988,34.2,596,20.7,1584,54.9
"Capitol Region Education Council","=""2410014""","Y",503,454,90.3,451,294,65.2,95,21.1,53,11.8,9,2.0,62,13.7
"Chaplin School District","=""0240011""","N",62,47,75.8,47,"*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Y",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",2301,2274,98.8,2273,98,4.3,287,12.6,890,39.2,998,43.9,1888,83.1
"Cheshire School District","=""0250011""","Y",222,213,95.9,213,74,34.7,79,37.1,44,20.7,16,7.5,60,28.2
"Chester School District","=""0260011""","N",108,108,100.0,108,"*","*",6,5.6,37,34.3,"*","*","*","*"
"Chester School District","=""0260011""","Y",29,29,100.0,29,"*","*",7,24.1,12,41.4,"*","*","*","*"
"Clinton School District","=""0270011""","N",934,911,97.5,911,"*","*",177,19.4,372,40.8,"*","*","*","*"
