"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA and Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","F",14208,13947,98.2,13924,5864,42.1,4095,29.4,2523,18.1,1442,10.4,3965,28.5,2386
"State of Connecticut",03,"ELA","N",22861,22425,98.1,22393,2466,11.0,4286,19.1,6133,27.4,9508,42.5,15641,69.8,2469
"State of Connecticut",03,"ELA","R",1689,1669,98.8,1668,432,25.9,486,29.1,432,25.9,318,19.1,750,45.0,2421
"State of Connecticut",03,"Math","F",14205,14090,99.2,14074,6948,49.4,4012,28.5,2460,17.5,654,4.6,3114,22.1,2381
"State of Connecticut",03,"Math","N",22861,22511,98.5,22501,3008,13.4,4971,22.1,8398,37.3,6124,27.2,14522,64.5,2457
"State of Connecticut",03,"Math","R",1688,1675,99.2,1674,514,30.7,541,32.3,451,26.9,168,10.0,619,37.0,2413
"State of Connecticut",04,"ELA","F",13565,13316,98.2,13295,6375,48.0,3106,23.4,2462,18.5,1352,10.2,3814,28.7,2423
"State of Connecticut",04,"ELA","N",23959,23547,98.3,23521,3082,13.1,3889,16.5,6411,27.3,10139,43.1,16550,70.4,2512
"State of Connecticut",04,"ELA","R",1801,1783,99.0,1781,501,28.1,446,25.0,487,27.3,347,19.5,834,46.8,2461
"State of Connecticut",04,"Math","F",13556,13412,98.9,13402,5953,44.4,4981,37.2,1945,14.5,523,3.9,2468,18.4,2421
"State of Connecticut",04,"Math","N",23963,23646,98.7,23640,2614,11.1,7012,29.7,8209,34.7,5805,24.6,14014,59.3,2499
"State of Connecticut",04,"Math","R",1801,1787,99.2,1786,447,25.0,753,42.2,445,24.9,141,7.9,586,32.8,2455
