"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","Y",455,452,99.3,452,102,22.6,119,26.3,162,35.8,69,15.3,231,51.1
"Amistad Academy District","=""2790013""","N",83,82,98.8,82,7,8.5,15,18.3,37,45.1,23,28.0,60,73.2
"Andover School District","=""0010011""","Y",34,32,94.1,32,"*","*",9,28.1,9,28.1,"*","*","*","*"
"Andover School District","=""0010011""","N",125,124,99.2,124,"*","*","*","*",36,29.0,66,53.2,102,82.3
"Ansonia School District","=""0020011""","Y",772,757,98.1,757,330,43.6,216,28.5,157,20.7,54,7.1,211,27.9
"Ansonia School District","=""0020011""","N",282,280,99.3,280,59,21.1,78,27.9,92,32.9,51,18.2,143,51.1
"Area Cooperative Educational Services","=""2440014""","Y",869,857,98.6,856,413,48.2,210,24.5,182,21.3,51,6.0,233,27.2
"Area Cooperative Educational Services","=""2440014""","N",418,418,100.0,418,67,16.0,109,26.1,149,35.6,93,22.2,242,57.9
"Ashford School District","=""0030011""","Y",90,89,98.9,89,26,29.2,28,31.5,26,29.2,9,10.1,35,39.3
"Ashford School District","=""0030011""","N",143,143,100.0,143,9,6.3,24,16.8,56,39.2,54,37.8,110,76.9
"Avon School District","=""0040011""","Y",208,206,99.0,206,57,27.7,81,39.3,45,21.8,23,11.2,68,33.0
"Avon School District","=""0040011""","N",1337,1335,99.9,1335,28,2.1,126,9.4,456,34.2,725,54.3,1181,88.5
"Barkhamsted School District","=""0050011""","Y",39,38,97.4,38,"*","*",12,31.6,9,23.7,"*","*","*","*"
"Barkhamsted School District","=""0050011""","N",137,131,95.6,131,"*","*",27,20.6,48,36.6,"*","*","*","*"
"Berlin School District","=""0070011""","Y",286,282,98.6,282,93,33.0,97,34.4,68,24.1,24,8.5,92,32.6
"Berlin School District","=""0070011""","N",1033,1031,99.8,1030,42,4.1,179,17.4,439,42.6,370,35.9,809,78.5
"Bethany School District","=""0080011""","Y",45,45,100.0,45,17,37.8,14,31.1,"*","*","*","*",14,31.1
"Bethany School District","=""0080011""","N",187,179,95.7,179,"*","*",35,19.6,61,34.1,"*","*","*","*"
"Bethel School District","=""0090011""","Y",406,403,99.3,403,105,26.1,95,23.6,134,33.3,69,17.1,203,50.4
"Bethel School District","=""0090011""","N",923,917,99.3,917,44,4.8,130,14.2,354,38.6,389,42.4,743,81.0
"Bloomfield School District","=""0110011""","Y",456,454,99.6,454,143,31.5,114,25.1,144,31.7,53,11.7,197,43.4
"Bloomfield School District","=""0110011""","N",311,310,99.7,310,54,17.4,81,26.1,116,37.4,59,19.0,175,56.5
"Bolton School District","=""0120011""","Y",89,88,98.9,88,26,29.5,16,18.2,32,36.4,14,15.9,46,52.3
"Bolton School District","=""0120011""","N",267,259,97.0,259,12,4.6,22,8.5,97,37.5,128,49.4,225,86.9
"Bozrah School District","=""0130011""","Y",46,45,97.8,44,22,50.0,12,27.3,"*","*","*","*",10,22.7
"Bozrah School District","=""0130011""","N",88,88,100.0,88,"*","*",28,31.8,33,37.5,"*","*","*","*"
"Branford School District","=""0140011""","Y",469,465,99.1,460,129,28.0,141,30.7,125,27.2,65,14.1,190,41.3
"Branford School District","=""0140011""","N",886,876,98.9,874,54,6.2,162,18.5,323,37.0,335,38.3,658,75.3
"Brass City Charter School District","=""2900013""","Y",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y",454,453,99.8,453,129,28.5,126,27.8,116,25.6,82,18.1,198,43.7
"Bridgeport Achievement First District","=""2850013""","N",87,87,100.0,87,12,13.8,26,29.9,23,26.4,26,29.9,49,56.3
"Bridgeport School District","=""0150011""","Y",9373,9322,99.5,9313,4994,53.6,2224,23.9,1574,16.9,521,5.6,2095,22.5
"Bristol School District","=""0170011""","Y",1930,1920,99.5,1920,676,35.2,516,26.9,530,27.6,198,10.3,728,37.9
"Bristol School District","=""0170011""","N",1619,1615,99.8,1615,128,7.9,319,19.8,647,40.1,521,32.3,1168,72.3
"Brookfield School District","=""0180011""","Y",261,230,88.1,230,86,37.4,62,27.0,52,22.6,30,13.0,82,35.7
"Brookfield School District","=""0180011""","N",1006,965,95.9,965,48,5.0,180,18.7,363,37.6,374,38.8,737,76.4
"Brooklyn School District","=""0190011""","Y",185,180,97.3,180,43,23.9,52,28.9,54,30.0,31,17.2,85,47.2
"Brooklyn School District","=""0190011""","N",336,336,100.0,336,18,5.4,45,13.4,137,40.8,136,40.5,273,81.3
"Canaan School District","=""0210011""","Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",42,41,97.6,41,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",107,104,97.2,104,26,25.0,32,30.8,30,28.8,16,15.4,46,44.2
"Canterbury School District","=""0220011""","N",201,199,99.0,199,24,12.1,54,27.1,75,37.7,46,23.1,121,60.8
"Canton School District","=""0230011""","Y",163,161,98.8,161,49,30.4,49,30.4,47,29.2,16,9.9,63,39.1
"Canton School District","=""0230011""","N",630,624,99.0,624,18,2.9,86,13.8,232,37.2,288,46.2,520,83.3
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",71,71,100.0,71,29,40.8,24,33.8,18,25.4,0,0.0,18,25.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",39,39,100.0,39,13,33.3,"*","*",11,28.2,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",1785,1752,98.2,1751,696,39.7,451,25.8,453,25.9,151,8.6,604,34.5
"Capitol Region Education Council","=""2410014""","N",1334,1313,98.4,1313,129,9.8,269,20.5,496,37.8,419,31.9,915,69.7
"Chaplin School District","=""0240011""","Y",46,46,100.0,46,"*","*","*","*",14,30.4,7,15.2,21,45.7
"Chaplin School District","=""0240011""","N",32,31,96.9,31,"*","*","*","*",10,32.3,13,41.9,23,74.2
"Cheshire School District","=""0250011""","Y",339,335,98.8,335,84,25.1,106,31.6,98,29.3,47,14.0,145,43.3
"Cheshire School District","=""0250011""","N",1714,1700,99.2,1700,52,3.1,197,11.6,624,36.7,827,48.6,1451,85.4
"Chester School District","=""0260011""","Y",31,31,100.0,31,"*","*",11,35.5,9,29.0,"*","*","*","*"
"Chester School District","=""0260011""","N",100,99,99.0,99,"*","*","*","*",37,37.4,50,50.5,87,87.9
"Clinton School District","=""0270011""","Y",285,282,98.9,279,81,29.0,91,32.6,74,26.5,33,11.8,107,38.4
"Clinton School District","=""0270011""","N",615,606,98.5,606,17,2.8,86,14.2,239,39.4,264,43.6,503,83.0
"Colchester School District","=""0280011""","Y",328,325,99.1,325,70,21.5,107,32.9,105,32.3,43,13.2,148,45.5
"Colchester School District","=""0280011""","N",808,805,99.6,805,35,4.3,99,12.3,326,40.5,345,42.9,671,83.4
"Colebrook School District","=""0290011""","Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",32,31,96.9,31,0,0.0,"*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",80,77,96.3,77,23,29.9,22,28.6,25,32.5,7,9.1,32,41.6
"Columbia School District","=""0300011""","N",207,202,97.6,202,9,4.5,39,19.3,83,41.1,71,35.1,154,76.2
"Cooperative Educational Services","=""2430014""","Y",190,188,98.9,188,86,45.7,44,23.4,42,22.3,16,8.5,58,30.9
"Cooperative Educational Services","=""2430014""","N",152,148,97.4,148,19,12.8,34,23.0,51,34.5,44,29.7,95,64.2
"Cornwall School District","=""0310011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",45,43,95.6,43,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",202,198,98.0,198,50,25.3,47,23.7,70,35.4,31,15.7,101,51.0
"Coventry School District","=""0320011""","N",551,546,99.1,546,28,5.1,82,15.0,219,40.1,217,39.7,436,79.9
"Cromwell School District","=""0330011""","Y",259,257,99.2,257,86,33.5,77,30.0,67,26.1,27,10.5,94,36.6
"Cromwell School District","=""0330011""","N",664,663,99.8,663,45,6.8,121,18.3,259,39.1,238,35.9,497,75.0
"Danbury School District","=""0340011""","Y",3288,3266,99.3,3264,1082,33.1,1016,31.1,867,26.6,299,9.2,1166,35.7
"Danbury School District","=""0340011""","N",1790,1770,98.9,1769,182,10.3,387,21.9,687,38.8,513,29.0,1200,67.8
"Darien School District","=""0350011""","Y",356,337,94.7,337,51,15.1,98,29.1,113,33.5,75,22.3,188,55.8
"Darien School District","=""0350011""","N",1926,1918,99.6,1918,24,1.3,122,6.4,606,31.6,1166,60.8,1772,92.4
"Deep River School District","=""0360011""","Y",65,65,100.0,65,16,24.6,23,35.4,18,27.7,8,12.3,26,40.0
"Deep River School District","=""0360011""","N",135,134,99.3,134,10,7.5,25,18.7,43,32.1,56,41.8,99,73.9
"Derby School District","=""0370011""","Y",422,420,99.5,420,192,45.7,98,23.3,99,23.6,31,7.4,130,31.0
"Derby School District","=""0370011""","N",258,258,100.0,258,46,17.8,70,27.1,94,36.4,48,18.6,142,55.0
"East Granby School District","=""0400011""","Y",94,93,98.9,93,32,34.4,27,29.0,23,24.7,11,11.8,34,36.6
"East Granby School District","=""0400011""","N",302,302,100.0,302,14,4.6,41,13.6,121,40.1,126,41.7,247,81.8
"East Haddam School District","=""0410011""","Y",121,115,95.0,115,38,33.0,31,27.0,22,19.1,24,20.9,46,40.0
"East Haddam School District","=""0410011""","N",378,364,96.3,364,25,6.9,68,18.7,133,36.5,138,37.9,271,74.5
"East Hampton School District","=""0420011""","Y",188,177,94.1,177,67,37.9,62,35.0,35,19.8,13,7.3,48,27.1
"East Hampton School District","=""0420011""","N",697,654,93.8,654,85,13.0,143,21.9,251,38.4,175,26.8,426,65.1
"East Hartford School District","=""0430011""","Y",2132,2120,99.4,2109,1029,48.8,533,25.3,426,20.2,121,5.7,547,25.9
"East Hartford School District","=""0430011""","N",789,786,99.6,786,196,24.9,215,27.4,237,30.2,138,17.6,375,47.7
"East Haven School District","=""0440011""","Y",768,763,99.3,763,270,35.4,214,28.0,186,24.4,93,12.2,279,36.6
"East Haven School District","=""0440011""","N",551,548,99.5,548,59,10.8,150,27.4,221,40.3,118,21.5,339,61.9
"East Lyme School District","=""0450011""","Y",324,313,96.6,313,80,25.6,85,27.2,94,30.0,54,17.3,148,47.3
"East Lyme School District","=""0450011""","N",874,856,97.9,856,36,4.2,113,13.2,302,35.3,405,47.3,707,82.6
"East Windsor School District","=""0470011""","Y",246,241,98.0,240,77,32.1,81,33.8,65,27.1,17,7.1,82,34.2
"East Windsor School District","=""0470011""","N",220,219,99.5,219,27,12.3,50,22.8,98,44.7,44,20.1,142,64.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",45,43,95.6,43,41,95.3,"*","*","*","*",0,0.0,"*","*"
"Eastford School District","=""0390011""","Y",32,32,100.0,32,"*","*",12,37.5,"*","*",8,25.0,"*","*"
"Eastford School District","=""0390011""","N",54,54,100.0,54,"*","*","*","*",25,46.3,18,33.3,43,79.6
"Easton School District","=""0460011""","Y",90,87,96.7,87,19,21.8,22,25.3,33,37.9,13,14.9,46,52.9
"Easton School District","=""0460011""","N",542,530,97.8,530,11,2.1,53,10.0,177,33.4,289,54.5,466,87.9
"Education Connection","=""2420014""","Y",7,7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",251,249,99.2,249,70,28.1,82,32.9,61,24.5,36,14.5,97,39.0
"Ellington School District","=""0480011""","N",1011,1004,99.3,1004,25,2.5,152,15.1,332,33.1,495,49.3,827,82.4
"Elm City College Preparatory School District","=""2890013""","Y",314,314,100.0,314,74,23.6,70,22.3,107,34.1,63,20.1,170,54.1
"Elm City College Preparatory School District","=""2890013""","N",62,62,100.0,62,7,11.3,8,12.9,24,38.7,23,37.1,47,75.8
"Enfield School District","=""0490011""","Y",1039,1031,99.2,1031,296,28.7,315,30.6,297,28.8,123,11.9,420,40.7
"Enfield School District","=""0490011""","N",1194,1189,99.6,1189,91,7.7,265,22.3,485,40.8,348,29.3,833,70.1
