"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",19983,19782,99.0,19777,1341,6.8,3643,18.4,7450,37.7,7343,37.1,14793,74.8,2478
"State of Connecticut",03,"Y",19313,19102,98.9,19090,7806,40.9,5559,29.1,4232,22.2,1493,7.8,5725,30.0,2397
"State of Connecticut",04,"N",19935,19732,99.0,19727,950,4.8,4842,24.5,7315,37.1,6620,33.6,13935,70.6,2520
"State of Connecticut",04,"Y",18907,18670,98.7,18657,7288,39.1,6903,37.0,3261,17.5,1205,6.5,4466,23.9,2433
"State of Connecticut",05,"N",20888,20675,99.0,20673,2143,10.4,5742,27.8,5655,27.4,7133,34.5,12788,61.9,2547
"State of Connecticut",05,"Y",18493,18276,98.8,18265,9926,54.3,5221,28.6,2048,11.2,1070,5.9,3118,17.1,2450
"State of Connecticut",06,"N",21488,21201,98.7,21197,2097,9.9,6233,29.4,6113,28.8,6754,31.9,12867,60.7,2572
"State of Connecticut",06,"Y",18085,17775,98.3,17765,9442,53.1,5389,30.3,2052,11.6,882,5.0,2934,16.5,2459
"State of Connecticut",07,"N",22444,22030,98.2,22026,2264,10.3,6268,28.5,6843,31.1,6651,30.2,13494,61.3,2589
"State of Connecticut",07,"Y",18285,17941,98.1,17928,9362,52.2,5350,29.8,2335,13.0,881,4.9,3216,17.9,2475
"State of Connecticut",08,"N",22263,21775,97.8,21771,3324,15.3,5484,25.2,5766,26.5,7197,33.1,12963,59.5,2606
"State of Connecticut",08,"Y",17876,17425,97.5,17408,10313,59.2,4259,24.5,1865,10.7,971,5.6,2836,16.3,2483

