"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",573,567,99.0,566,"*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",502,497,99.0,497,"*","*",144,29.0,133,26.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Y",36,36,100.0,36,10,27.8,17,47.2,"*","*","*","*",9,25.0
"Andover School District","=""0010011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1034,1016,98.3,1015,407,40.1,358,35.3,175,17.2,75,7.4,250,24.6
"Ansonia School District","=""0020011""","Y",20,20,100.0,20,11,55.0,9,45.0,0,0.0,0,0.0,0,0.0
"Area Cooperative Educational Services","=""2440014""","N",1236,1217,98.5,1217,596,49.0,352,28.9,187,15.4,82,6.7,269,22.1
"Area Cooperative Educational Services","=""2440014""","Y",51,51,100.0,51,42,82.4,9,17.6,0,0.0,0,0.0,0,0.0
"Ashford School District","=""0030011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1508,1501,99.5,1501,98,6.5,257,17.1,432,28.8,714,47.6,1146,76.3
"Avon School District","=""0040011""","Y",40,40,100.0,40,17,42.5,9,22.5,8,20.0,6,15.0,14,35.0
"Barkhamsted School District","=""0050011""","N",176,169,96.0,169,43,25.4,64,37.9,42,24.9,20,11.8,62,36.7
"Berlin School District","=""0070011""","N",1290,1281,99.3,1281,216,16.9,374,29.2,370,28.9,321,25.1,691,53.9
"Berlin School District","=""0070011""","Y",29,29,100.0,27,9,33.3,11,40.7,7,25.9,0,0.0,7,25.9
