"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Free/Reduced Price Mea"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","F",364,360,98.9,360,99,27.5,105,29.2,99,27.5,57,15.8,156,43.3
"Amistad Academy District","=""2790013""","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Amistad Academy District","=""2790013""","R",89,89,100.0,89,9,10.1,28,31.5,26,29.2,26,29.2,52,58.4
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",134,133,99.3,133,6,4.5,27,20.3,47,35.3,53,39.8,100,75.2
"Andover School District","=""0010011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",603,593,98.3,593,273,46.0,211,35.6,"*","*","*","*",109,18.4
"Ansonia School District","=""0020011""","N",328,325,99.1,324,100,30.9,116,35.8,67,20.7,41,12.7,108,33.3
"Ansonia School District","=""0020011""","R",123,118,95.9,118,45,38.1,40,33.9,"*","*","*","*",33,28.0
"Area Cooperative Educational Services","=""2440014""","F",711,695,97.7,695,447,64.3,164,23.6,"*","*","*","*",84,12.1
"Area Cooperative Educational Services","=""2440014""","N",460,457,99.3,457,138,30.2,150,32.8,105,23.0,64,14.0,169,37.0
"Area Cooperative Educational Services","=""2440014""","R",116,116,100.0,116,53,45.7,47,40.5,"*","*","*","*",16,13.8
"Ashford School District","=""0030011""","F",65,64,98.5,64,"*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",154,154,100.0,154,22,14.3,49,31.8,51,33.1,32,20.8,83,53.9
"Ashford School District","=""0030011""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1469,1462,99.5,1462,84,5.7,244,16.7,424,29.0,710,48.6,1134,77.6
"Avon School District","=""0040011""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",158,151,95.6,151,33,21.9,57,37.7,41,27.2,20,13.2,61,40.4
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",124,123,99.2,123,50,40.7,46,37.4,"*","*","*","*",27,22.0
"Berlin School District","=""0070011""","N",1154,1146,99.3,1145,162,14.1,324,28.3,348,30.4,311,27.2,659,57.6
"Berlin School District","=""0070011""","R",41,41,100.0,40,13,32.5,15,37.5,"*","*","*","*",12,30.0
"Bethany School District","=""0080011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",215,207,96.3,207,18,8.7,53,25.6,62,30.0,74,35.7,136,65.7
"Bethany School District","=""0080011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",204,202,99.0,202,59,29.2,71,35.1,53,26.2,19,9.4,72,35.6
"Bethel School District","=""0090011""","N",1038,1029,99.1,1029,108,10.5,298,29.0,320,31.1,303,29.4,623,60.5
"Bethel School District","=""0090011""","R",87,87,100.0,87,18,20.7,33,37.9,18,20.7,18,20.7,36,41.4
"Bloomfield School District","=""0110011""","F",342,340,99.4,340,140,41.2,131,38.5,58,17.1,11,3.2,69,20.3
"Bloomfield School District","=""0110011""","N",354,352,99.4,352,118,33.5,130,36.9,69,19.6,35,9.9,104,29.5
"Bloomfield School District","=""0110011""","R",71,71,100.0,71,31,43.7,17,23.9,15,21.1,8,11.3,23,32.4
"Bolton School District","=""0120011""","F",51,51,100.0,50,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",296,287,97.0,287,27,9.4,58,20.2,92,32.1,110,38.3,202,70.4
"Bolton School District","=""0120011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",106,105,99.1,104,22,21.2,43,41.3,29,27.9,10,9.6,39,37.5
"Bozrah School District","=""0130011""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",278,275,98.9,274,94,34.3,87,31.8,61,22.3,32,11.7,93,33.9
"Branford School District","=""0140011""","N",998,985,98.7,982,161,16.4,239,24.3,292,29.7,290,29.5,582,59.3
"Branford School District","=""0140011""","R",77,77,100.0,76,20,26.3,22,28.9,14,18.4,20,26.3,34,44.7
"Brass City Charter School District","=""2900013""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",388,387,99.7,387,132,34.1,102,26.4,70,18.1,83,21.4,153,39.5
"Bridgeport Achievement First District","=""2850013""","N",95,95,100.0,95,21,22.1,25,26.3,18,18.9,31,32.6,49,51.6
"Bridgeport Achievement First District","=""2850013""","R",58,58,100.0,58,14,24.1,19,32.8,14,24.1,11,19.0,25,43.1
"Bridgeport School District","=""0150011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","F",1482,1475,99.5,1475,627,42.5,513,34.8,247,16.7,88,6.0,335,22.7
"Bristol School District","=""0170011""","N",1851,1841,99.5,1841,334,18.1,559,30.4,551,29.9,397,21.6,948,51.5
"Bristol School District","=""0170011""","R",218,217,99.5,217,56,25.8,84,38.7,48,22.1,29,13.4,77,35.5
"Brookfield School District","=""0180011""","F",68,66,97.1,66,"*","*","*","*",16,24.2,8,12.1,24,36.4
"Brookfield School District","=""0180011""","N",1174,1102,93.9,1102,113,10.3,291,26.4,382,34.7,316,28.7,698,63.3
"Brookfield School District","=""0180011""","R",25,22,88.0,22,"*","*","*","*",7,31.8,7,31.8,14,63.6
"Brooklyn School District","=""0190011""","F",136,132,97.1,132,46,34.8,61,46.2,"*","*","*","*",25,18.9
"Brooklyn School District","=""0190011""","N",356,354,99.4,354,49,13.8,136,38.4,102,28.8,67,18.9,169,47.7
"Brooklyn School District","=""0190011""","R",29,29,100.0,29,10,34.5,12,41.4,"*","*","*","*",7,24.1
"Canaan School District","=""0210011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F",66,65,98.5,65,"*","*",23,35.4,"*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",222,218,98.2,218,45,20.6,82,37.6,65,29.8,26,11.9,91,41.7
"Canterbury School District","=""0220011""","R",20,20,100.0,20,"*","*",11,55.0,"*","*","*","*","*","*"
"Canton School District","=""0230011""","F",83,82,98.8,82,"*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",693,686,99.0,686,64,9.3,135,19.7,233,34.0,254,37.0,487,71.0
"Canton School District","=""0230011""","R",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",55,55,100.0,55,42,76.4,"*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",41,41,100.0,41,"*","*","*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","F",1374,1344,97.8,1344,697,51.9,421,31.3,165,12.3,61,4.5,226,16.8
"Capitol Region Education Council","=""2410014""","N",1497,1449,96.8,1449,282,19.5,474,32.7,339,23.4,354,24.4,693,47.8
"Capitol Region Education Council","=""2410014""","R",245,245,100.0,245,104,42.4,78,31.8,47,19.2,16,6.5,63,25.7
"Chaplin School District","=""0240011""","F",31,31,100.0,31,13,41.9,"*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N",38,37,97.4,37,"*","*",14,37.8,12,32.4,"*","*","*","*"
"Chaplin School District","=""0240011""","R",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","F",154,152,98.7,152,40,26.3,67,44.1,30,19.7,15,9.9,45,29.6
"Cheshire School District","=""0250011""","N",1862,1844,99.0,1844,176,9.5,418,22.7,562,30.5,688,37.3,1250,67.8
"Cheshire School District","=""0250011""","R",37,37,100.0,37,8,21.6,7,18.9,11,29.7,11,29.7,22,59.5
"Chester School District","=""0260011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",120,119,99.2,119,6,5.0,26,21.8,40,33.6,47,39.5,87,73.1
"Chester School District","=""0260011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",155,152,98.1,152,50,32.9,59,38.8,29,19.1,14,9.2,43,28.3
"Clinton School District","=""0270011""","N",697,688,98.7,688,78,11.3,180,26.2,231,33.6,199,28.9,430,62.5
"Clinton School District","=""0270011""","R",50,50,100.0,50,7,14.0,23,46.0,13,26.0,7,14.0,20,40.0
"Colchester School District","=""0280011""","F",162,162,100.0,162,47,29.0,64,39.5,41,25.3,10,6.2,51,31.5
"Colchester School District","=""0280011""","N",920,914,99.3,914,104,11.4,247,27.0,304,33.3,259,28.3,563,61.6
"Colchester School District","=""0280011""","R",52,52,100.0,52,8,15.4,22,42.3,14,26.9,8,15.4,22,42.3
"Colebrook School District","=""0290011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",40,38,95.0,38,6,15.8,8,21.1,14,36.8,10,26.3,24,63.2
"Colebrook School District","=""0290011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",238,230,96.6,230,37,16.1,64,27.8,79,34.3,50,21.7,129,56.1
"Columbia School District","=""0300011""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","F",88,88,100.0,88,42,47.7,26,29.5,"*","*","*","*",20,22.7
"Cooperative Educational Services","=""2430014""","N",213,208,97.7,208,63,30.3,61,29.3,"*","*","*","*",84,40.4
"Cooperative Educational Services","=""2430014""","R",41,41,100.0,41,18,43.9,15,36.6,8,19.5,0,0.0,8,19.5
"Cornwall School District","=""0310011""","F",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N",50,48,96.0,48,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F",121,118,97.5,118,"*","*",37,31.4,38,32.2,"*","*","*","*"
"Coventry School District","=""0320011""","N",603,597,99.0,597,73,12.2,179,30.0,184,30.8,161,27.0,345,57.8
"Coventry School District","=""0320011""","R",29,29,100.0,29,"*","*",13,44.8,7,24.1,"*","*","*","*"
"Cromwell School District","=""0330011""","F",145,145,100.0,145,61,42.1,57,39.3,"*","*","*","*",27,18.6
"Cromwell School District","=""0330011""","N",733,730,99.6,729,125,17.1,221,30.3,221,30.3,162,22.2,383,52.5
"Cromwell School District","=""0330011""","R",45,45,100.0,45,14,31.1,18,40.0,"*","*","*","*",13,28.9
"Danbury School District","=""0340011""","F",2253,2228,98.9,2227,872,39.2,815,36.6,408,18.3,132,5.9,540,24.2
"Danbury School District","=""0340011""","N",2214,2184,98.6,2184,557,25.5,672,30.8,556,25.5,399,18.3,955,43.7
"Danbury School District","=""0340011""","R",610,607,99.5,606,164,27.1,220,36.3,157,25.9,65,10.7,222,36.6
"Darien School District","=""0350011""","F",41,40,97.6,40,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","N",2227,2200,98.8,2200,77,3.5,304,13.8,589,26.8,1230,55.9,1819,82.7
