"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",65,64,98.5,64,10,15.6,22,34.4,20,31.3,12,18.8,32,50.0,2577
"Amistad Academy District","=""2790013""",03,"F",61,61,100.0,61,9,14.8,14,23.0,22,36.1,16,26.2,38,62.3,2445
"Amistad Academy District","=""2790013""",03,"N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"F",63,62,98.4,62,21,33.9,11,17.7,17,27.4,13,21.0,30,48.4,2462
"Amistad Academy District","=""2790013""",04,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"R",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2538
"Amistad Academy District","=""2790013""",05,"F",69,68,98.6,68,17,25.0,20,29.4,24,35.3,7,10.3,31,45.6,2493
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"F",65,65,100.0,65,"*","*",25,38.5,22,33.8,"*","*","*","*",2502
"Amistad Academy District","=""2790013""",06,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"F",55,55,100.0,55,16,29.1,13,23.6,20,36.4,6,10.9,26,47.3,2538
"Amistad Academy District","=""2790013""",07,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"F",51,50,98.0,50,"*","*",13,26.0,20,40.0,"*","*","*","*",2549
"Amistad Academy District","=""2790013""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N",23,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N",31,31,100.0,31,"*","*","*","*","*","*","*","*","*","*",2537
"Andover School District","=""0010011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"N",41,41,100.0,41,"*","*","*","*",11,26.8,20,48.8,31,75.6,2592
"Andover School District","=""0010011""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"F",95,95,100.0,95,32,33.7,31,32.6,20,21.1,12,12.6,32,33.7,2397
"Ansonia School District","=""0020011""",03,"N",56,54,96.4,54,"*","*",14,25.9,16,29.6,"*","*","*","*",2424
"Ansonia School District","=""0020011""",03,"R",21,21,100.0,21,7,33.3,"*","*",6,28.6,"*","*","*","*",2402
"Ansonia School District","=""0020011""",04,"F",102,101,99.0,101,39,38.6,30,29.7,20,19.8,12,11.9,32,31.7,2436
"Ansonia School District","=""0020011""",04,"N",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*",2475
"Ansonia School District","=""0020011""",04,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"F",104,104,100.0,104,53,51.0,30,28.8,"*","*","*","*",21,20.2,2443
"Ansonia School District","=""0020011""",05,"N",60,60,100.0,60,17,28.3,11,18.3,18,30.0,14,23.3,32,53.3,2489
"Ansonia School District","=""0020011""",05,"R",20,20,100.0,20,11,55.0,0,0.0,"*","*","*","*",9,45.0,2460
"Ansonia School District","=""0020011""",06,"F",100,99,99.0,99,36,36.4,29,29.3,23,23.2,11,11.1,34,34.3,2494
"Ansonia School District","=""0020011""",06,"N",55,55,100.0,55,"*","*","*","*","*","*","*","*","*","*",2531
"Ansonia School District","=""0020011""",06,"R",21,18,85.7,18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",07,"F",89,83,93.3,83,47,56.6,24,28.9,"*","*","*","*","*","*",2468
"Ansonia School District","=""0020011""",07,"N",57,56,98.2,56,23,41.1,19,33.9,"*","*","*","*",14,25.0,2492
"Ansonia School District","=""0020011""",07,"R",25,24,96.0,24,"*","*",10,41.7,"*","*",0,0.0,"*","*",2485
"Ansonia School District","=""0020011""",08,"F",113,112,99.1,112,48,42.9,"*","*",30,26.8,"*","*","*","*",2509
"Ansonia School District","=""0020011""",08,"N",49,49,100.0,49,"*","*",12,24.5,"*","*",7,14.3,"*","*",2551
"Ansonia School District","=""0020011""",08,"R",23,22,95.7,22,"*","*",11,50.0,"*","*","*","*","*","*",2531
"Area Cooperative Educational Services","=""2440014""",03,"F",43,41,95.3,41,27,65.9,"*","*","*","*","*","*","*","*",2342
"Area Cooperative Educational Services","=""2440014""",03,"N",37,37,100.0,37,"*","*",10,27.0,"*","*",11,29.7,"*","*",2443
"Area Cooperative Educational Services","=""2440014""",03,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",04,"F",62,61,98.4,61,37,60.7,16,26.2,"*","*","*","*","*","*",2378
"Area Cooperative Educational Services","=""2440014""",04,"N",29,28,96.6,28,"*","*","*","*","*","*",7,25.0,"*","*",2452
"Area Cooperative Educational Services","=""2440014""",04,"R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",05,"F",59,59,100.0,59,37,62.7,"*","*",11,18.6,"*","*","*","*",2418
"Area Cooperative Educational Services","=""2440014""",05,"N",31,30,96.8,30,"*","*","*","*","*","*","*","*","*","*",2503
"Area Cooperative Educational Services","=""2440014""",05,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",06,"F",179,179,100.0,179,87,48.6,44,24.6,"*","*","*","*",48,26.8,2470
"Area Cooperative Educational Services","=""2440014""",06,"N",132,132,100.0,132,25,18.9,35,26.5,44,33.3,28,21.2,72,54.5,2536
"Area Cooperative Educational Services","=""2440014""",06,"R",39,39,100.0,39,15,38.5,12,30.8,"*","*","*","*",12,30.8,2487
"Area Cooperative Educational Services","=""2440014""",07,"F",198,195,98.5,195,85,43.6,51,26.2,"*","*","*","*",59,30.3,2499
"Area Cooperative Educational Services","=""2440014""",07,"N",110,109,99.1,109,20,18.3,28,25.7,36,33.0,25,22.9,61,56.0,2569
"Area Cooperative Educational Services","=""2440014""",07,"R",23,23,100.0,23,"*","*",7,30.4,7,30.4,"*","*","*","*",2520
"Area Cooperative Educational Services","=""2440014""",08,"F",170,167,98.2,167,80,47.9,"*","*",38,22.8,"*","*","*","*",2509
"Area Cooperative Educational Services","=""2440014""",08,"N",121,121,100.0,120,17,14.2,34,28.3,47,39.2,22,18.3,69,57.5,2580
"Area Cooperative Educational Services","=""2440014""",08,"R",26,26,100.0,26,"*","*",7,26.9,12,46.2,"*","*","*","*",2552
"Ashford School District","=""0030011""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"N",20,20,100.0,20,"*","*",6,30.0,"*","*",9,45.0,"*","*",2466
"Ashford School District","=""0030011""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"N",27,27,100.0,27,"*","*","*","*",10,37.0,12,44.4,22,81.5,2521
"Ashford School District","=""0030011""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"F",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2568
"Ashford School District","=""0030011""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"N",24,24,100.0,24,"*","*","*","*",10,41.7,"*","*","*","*",2535
"Ashford School District","=""0030011""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"N",37,37,100.0,37,"*","*","*","*",16,43.2,9,24.3,25,67.6,2590
"Ashford School District","=""0030011""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"N",223,223,100.0,223,9,4.0,37,16.6,49,22.0,128,57.4,177,79.4,2498
"Avon School District","=""0040011""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"N",207,206,99.5,206,"*","*","*","*","*","*","*","*","*","*",2548
"Avon School District","=""0040011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"N",254,254,100.0,254,14,5.5,33,13.0,79,31.1,128,50.4,207,81.5,2576
"Avon School District","=""0040011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",06,"N",269,268,99.6,268,10,3.7,29,10.8,98,36.6,131,48.9,229,85.4,2610
"Avon School District","=""0040011""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",07,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",07,"N",254,254,100.0,254,"*","*","*","*",98,38.6,123,48.4,221,87.0,2638
"Avon School District","=""0040011""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"N",259,257,99.2,257,15,5.8,34,13.2,106,41.2,102,39.7,208,80.9,2637
"Avon School District","=""0040011""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"N",39,36,92.3,36,8,22.2,6,16.7,10,27.8,12,33.3,22,61.1,2492
"Barkhamsted School District","=""0050011""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",44,42,95.5,42,"*","*","*","*",14,33.3,16,38.1,30,71.4,2552
"Barkhamsted School District","=""0050011""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"N",41,40,97.6,40,"*","*","*","*",16,40.0,15,37.5,31,77.5,2588
"Barkhamsted School District","=""0050011""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",03,"F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",03,"N",181,181,100.0,181,16,8.8,42,23.2,51,28.2,72,39.8,123,68.0,2466
"Berlin School District","=""0070011""",03,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",04,"F",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",04,"N",166,164,98.8,164,21,12.8,34,20.7,45,27.4,64,39.0,109,66.5,2502
"Berlin School District","=""0070011""",04,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",05,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2492
"Berlin School District","=""0070011""",05,"N",218,217,99.5,216,10,4.6,35,16.2,84,38.9,87,40.3,171,79.2,2559
"Berlin School District","=""0070011""",05,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",06,"F",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2525
"Berlin School District","=""0070011""",06,"N",188,187,99.5,187,18,9.6,40,21.4,77,41.2,52,27.8,129,69.0,2567
"Berlin School District","=""0070011""",06,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",07,"F",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2538
"Berlin School District","=""0070011""",07,"N",218,217,99.5,217,17,7.8,40,18.4,104,47.9,56,25.8,160,73.7,2595
"Berlin School District","=""0070011""",07,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",08,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2538
"Berlin School District","=""0070011""",08,"N",183,183,100.0,183,10,5.5,37,20.2,92,50.3,44,24.0,136,74.3,2613
"Berlin School District","=""0070011""",08,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",03,"N",54,51,94.4,51,7,13.7,13,25.5,12,23.5,19,37.3,31,60.8,2454
"Bethany School District","=""0080011""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",04,"N",47,46,97.9,46,6,13.0,10,21.7,12,26.1,18,39.1,30,65.2,2508
"Bethany School District","=""0080011""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"N",53,50,94.3,50,"*","*","*","*","*","*","*","*","*","*",2577
"Bethany School District","=""0080011""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",06,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",03,"F",42,42,100.0,42,"*","*","*","*","*","*","*","*","*","*",2404
