"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N",520,517,99.4,516,160,31.0,"*","*",158,30.6,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",31,31,100.0,31,19,61.3,"*","*",8,25.8,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N",520,516,99.2,515,221,42.9,157,30.5,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",31,31,100.0,31,21,67.7,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","ELA","N",502,500,99.6,500,"*","*",139,27.8,154,30.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","Y",42,41,97.6,41,18,43.9,"*","*",10,24.4,"*","*","*","*"
"Amistad Academy District","=""2790013""","Math","N",502,499,99.4,499,152,30.5,171,34.3,107,21.4,69,13.8,176,35.3
"Amistad Academy District","=""2790013""","Math","Y",42,41,97.6,41,17,41.5,14,34.1,10,24.4,0,0.0,10,24.4
"Andover School District","=""0010011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",1200,1182,98.5,1182,384,32.5,351,29.7,305,25.8,142,12.0,447,37.8
"Ansonia School District","=""0020011""","ELA","Y",25,23,92.0,23,13,56.5,10,43.5,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Math","N",1201,1183,98.5,1183,518,43.8,430,36.3,166,14.0,69,5.8,235,19.9
"Ansonia School District","=""0020011""","Math","Y",25,24,96.0,24,15,62.5,9,37.5,0,0.0,0,0.0,0,0.0
"Area Cooperative Educational Services","=""2440014""","ELA","N",1243,1223,98.4,1214,379,31.2,366,30.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","Y",54,54,100.0,54,38,70.4,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Math","N",1244,1221,98.2,1218,609,50.0,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y",54,54,100.0,54,48,88.9,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",1803,1784,98.9,1782,"*","*",211,11.8,615,34.5,"*","*","*","*"
"Avon School District","=""0040011""","ELA","Y",38,28,73.7,27,"*","*",9,33.3,9,33.3,"*","*","*","*"
"Avon School District","=""0040011""","Math","N",1803,1785,99.0,1785,136,7.6,343,19.2,557,31.2,749,42.0,1306,73.2
"Avon School District","=""0040011""","Math","Y",38,38,100.0,38,13,34.2,11,28.9,6,15.8,8,21.1,14,36.8
"Barkhamsted School District","=""0050011""","ELA","N",205,198,96.6,197,27,13.7,34,17.3,70,35.5,66,33.5,136,69.0
"Barkhamsted School District","=""0050011""","Math","N",205,197,96.1,197,46,23.4,69,35.0,57,28.9,25,12.7,82,41.6
"Berlin School District","=""0070011""","ELA","N",1576,1565,99.3,1530,"*","*",361,23.6,598,39.1,"*","*","*","*"
"Berlin School District","=""0070011""","ELA","Y",31,30,96.8,29,11,37.9,9,31.0,"*","*","*","*",9,31.0
"Berlin School District","=""0070011""","Math","N",1575,1564,99.3,1546,298,19.3,505,32.7,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Math","Y",31,30,96.8,29,13,44.8,"*","*","*","*",0,0.0,"*","*"
"Bethany School District","=""0080011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","N",1486,1473,99.1,1472,150,10.2,302,20.5,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","Y",40,34,85.0,34,13,38.2,17,50.0,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","N",1486,1473,99.1,1472,337,22.9,514,34.9,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","Y",40,39,97.5,39,24,61.5,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","ELA","N",891,868,97.4,868,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELA","Y",16,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Math","N",892,867,97.2,867,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Math","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","ELA","N",1560,1525,97.8,1525,"*","*",348,22.8,549,36.0,"*","*","*","*"
"Branford School District","=""0140011""","ELA","Y",52,46,88.5,46,22,47.8,16,34.8,"*","*","*","*",8,17.4
"Branford School District","=""0140011""","Math","N",1560,1518,97.3,1516,437,28.8,"*","*",391,25.8,"*","*","*","*"
"Branford School District","=""0140011""","Math","Y",52,51,98.1,51,23,45.1,17,33.3,"*","*","*","*",11,21.6
"Bridgeport Achievement First District","=""2850013""","ELA","N",503,503,100.0,503,171,34.0,145,28.8,"*","*","*","*",187,37.2
"Bridgeport Achievement First District","=""2850013""","ELA","Y",61,61,100.0,61,25,41.0,19,31.1,"*","*","*","*",17,27.9
"Bridgeport Achievement First District","=""2850013""","Math","N",503,501,99.6,501,223,44.5,136,27.1,"*","*","*","*",142,28.3
"Bridgeport Achievement First District","=""2850013""","Math","Y",61,61,100.0,61,32,52.5,16,26.2,"*","*","*","*",13,21.3
"Bridgeport School District","=""0150011""","ELA","N",9053,8676,95.8,8644,3873,44.8,2464,28.5,1805,20.9,502,5.8,2307,26.7
"Bridgeport School District","=""0150011""","ELA","Y",1408,1266,89.9,1261,990,78.5,224,17.8,47,3.7,0,0.0,47,3.7
