"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",22864,22576,98.7,22565,2475,11.0,4428,19.6,8055,35.7,7607,33.7,15662,69.4,2468
"State of Connecticut",03,"Y",16432,16308,99.2,16302,6672,40.9,4774,29.3,3627,22.2,1229,7.5,4856,29.8,2396
"State of Connecticut",04,"N",22843,22526,98.6,22512,2064,9.2,5858,26.0,7765,34.5,6825,30.3,14590,64.8,2510
"State of Connecticut",04,"Y",15999,15876,99.2,15872,6174,38.9,5887,37.1,2811,17.7,1000,6.3,3811,24.0,2433
"State of Connecticut",05,"N",23811,23498,98.7,23494,3758,16.0,6505,27.7,5940,25.3,7291,31.0,13231,56.3,2535
"State of Connecticut",05,"Y",15570,15453,99.2,15444,8311,53.8,4458,28.9,1763,11.4,912,5.9,2675,17.3,2450
"State of Connecticut",06,"N",24390,23973,98.3,23966,3750,15.6,7002,29.2,6342,26.5,6872,28.7,13214,55.1,2558
"State of Connecticut",06,"Y",15183,15003,98.8,14996,7789,51.9,4620,30.8,1823,12.2,764,5.1,2587,17.3,2462
"State of Connecticut",07,"N",25418,24882,97.9,24876,3943,15.9,7012,28.2,7124,28.6,6797,27.3,13921,56.0,2575
"State of Connecticut",07,"Y",15311,15089,98.6,15078,7683,51.0,4606,30.5,2054,13.6,735,4.9,2789,18.5,2477
"State of Connecticut",08,"N",25114,24500,97.6,24485,5134,21.0,6050,24.7,5985,24.4,7316,29.9,13301,54.3,2590
"State of Connecticut",08,"Y",15025,14700,97.8,14694,8503,57.9,3693,25.1,1646,11.2,852,5.8,2498,17.0,2486

