"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, Special Education Status (SWD)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2429
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","N",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2489
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2487
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*",2476
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","N",130,129,99.2,129,"*","*","*","*","*","*","*","*","*","*",2460
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","Y",14,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","N",127,127,100.0,127,"*","*","*","*","*","*","*","*","*","*",2521
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","N",127,126,99.2,126,"*","*","*","*","*","*","*","*","*","*",2482
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*",2587
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*",2552
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2494
"Amistad Academy District","=""2790013""",04,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2506
"Amistad Academy District","=""2790013""",04,"Math","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2519
"Amistad Academy District","=""2790013""",05,"ELA","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2505
"Amistad Academy District","=""2790013""",05,"Math","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"ELA","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2517
"Amistad Academy District","=""2790013""",06,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Math","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2540
"Amistad Academy District","=""2790013""",06,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","N",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*",2561
