"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Special Educat"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N",503,500,99.4,499,142,28.5,133,26.7,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",48,48,100.0,48,37,77.1,"*","*","*","*",0,0.0,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N",503,499,99.2,498,199,40.0,"*","*","*","*",33,6.6,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",48,48,100.0,48,43,89.6,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","ELA","N",512,510,99.6,510,100,19.6,"*","*","*","*",101,19.8,"*","*"
"Amistad Academy District","=""2790013""","ELA","Y",32,31,96.9,31,27,87.1,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Math","N",512,510,99.6,510,144,28.2,"*","*","*","*",69,13.5,"*","*"
"Amistad Academy District","=""2790013""","Math","Y",32,30,93.8,30,25,83.3,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","ELA","N",158,154,97.5,154,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","N",158,156,98.7,156,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",1052,1034,98.3,1034,260,25.1,333,32.2,"*","*","*","*",441,42.6
"Ansonia School District","=""0020011""","ELA","Y",173,171,98.8,171,137,80.1,28,16.4,"*","*","*","*",6,3.5
"Ansonia School District","=""0020011""","Math","N",1053,1037,98.5,1037,396,38.2,410,39.5,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Math","Y",173,170,98.3,170,137,80.6,29,17.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","N",1003,1001,99.8,1000,"*","*",334,33.4,338,33.8,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","Y",294,276,93.9,268,204,76.1,45,16.8,"*","*","*","*",19,7.1
"Area Cooperative Educational Services","=""2440014""","Math","N",1003,1000,99.7,1000,409,40.9,355,35.5,"*","*","*","*",236,23.6
"Area Cooperative Educational Services","=""2440014""","Math","Y",295,275,93.2,272,248,91.2,17,6.3,"*","*","*","*",7,2.6
"Ashford School District","=""0030011""","ELA","N",219,218,99.5,218,16,7.3,53,24.3,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","ELA","Y",34,34,100.0,34,18,52.9,11,32.4,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","N",219,218,99.5,217,46,21.2,67,30.9,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Math","Y",34,31,91.2,31,23,74.2,6,19.4,"*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",1686,1660,98.5,1658,54,3.3,167,10.1,582,35.1,855,51.6,1437,86.7
"Avon School District","=""0040011""","ELA","Y",155,152,98.1,151,47,31.1,53,35.1,42,27.8,9,6.0,51,33.8
"Avon School District","=""0040011""","Math","N",1686,1671,99.1,1671,80,4.8,297,17.8,547,32.7,747,44.7,1294,77.4
"Avon School District","=""0040011""","Math","Y",155,152,98.1,152,69,45.4,57,37.5,16,10.5,10,6.6,26,17.1
"Barkhamsted School District","=""0050011""","ELA","N",176,171,97.2,170,10,5.9,28,16.5,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","ELA","Y",29,27,93.1,27,17,63.0,6,22.2,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Math","N",176,170,96.6,170,25,14.7,"*","*","*","*",25,14.7,"*","*"
"Barkhamsted School District","=""0050011""","Math","Y",29,27,93.1,27,21,77.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","ELA","N",1448,1443,99.7,1414,"*","*",327,23.1,595,42.1,"*","*","*","*"
"Berlin School District","=""0070011""","ELA","Y",159,152,95.6,145,89,61.4,43,29.7,"*","*","*","*",13,9.0
"Berlin School District","=""0070011""","Math","N",1447,1443,99.7,1430,"*","*",481,33.6,442,30.9,"*","*","*","*"
"Berlin School District","=""0070011""","Math","Y",159,151,95.0,145,99,68.3,35,24.1,"*","*","*","*",11,7.6
"Bethany School District","=""0080011""","ELA","N",206,201,97.6,200,"*","*",36,18.0,"*","*",85,42.5,"*","*"
"Bethany School District","=""0080011""","ELA","Y",34,33,97.1,33,19,57.6,"*","*","*","*",0,0.0,"*","*"
"Bethany School District","=""0080011""","Math","N",206,201,97.6,201,"*","*",52,25.9,"*","*",63,31.3,"*","*"
"Bethany School District","=""0080011""","Math","Y",34,33,97.1,33,16,48.5,"*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","ELA","N",1368,1355,99.0,1355,107,7.9,266,19.6,530,39.1,452,33.4,982,72.5
"Bethel School District","=""0090011""","ELA","Y",158,152,96.2,151,56,37.1,53,35.1,36,23.8,6,4.0,42,27.8
"Bethel School District","=""0090011""","Math","N",1368,1359,99.3,1358,264,19.4,487,35.9,383,28.2,224,16.5,607,44.7
"Bethel School District","=""0090011""","Math","Y",158,153,96.8,153,97,63.4,38,24.8,12,7.8,6,3.9,18,11.8
"Bloomfield School District","=""0110011""","ELA","N",798,775,97.1,775,"*","*",243,31.4,296,38.2,"*","*","*","*"
"Bloomfield School District","=""0110011""","ELA","Y",109,103,94.5,103,69,67.0,25,24.3,"*","*","*","*",9,8.7
"Bloomfield School District","=""0110011""","Math","N",797,778,97.6,778,300,38.6,297,38.2,"*","*","*","*","*","*"
