"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",296,294,99.3,294,102,34.7,106,36.1,53,18.0,33,11.2,86,29.3
"Achievement First Hartford Academy Inc. District","=""2880013""","M",296,292,98.6,291,120,41.2,83,28.5,44,15.1,44,15.1,88,30.2
"Amistad Academy District","=""2790013""","F",267,266,99.6,266,50,18.8,89,33.5,73,27.4,54,20.3,127,47.7
"Amistad Academy District","=""2790013""","M",271,267,98.5,267,69,25.8,72,27.0,66,24.7,60,22.5,126,47.2
"Andover School District","=""0010011""","F",75,74,98.7,74,"*","*","*","*",24,32.4,30,40.5,54,73.0
"Andover School District","=""0010011""","M",84,82,97.6,82,"*","*","*","*",30,36.6,29,35.4,59,72.0
"Ansonia School District","=""0020011""","F",518,508,98.1,507,203,40.0,189,37.3,94,18.5,21,4.1,115,22.7
"Ansonia School District","=""0020011""","M",536,528,98.5,528,215,40.7,178,33.7,81,15.3,54,10.2,135,25.6
"Area Cooperative Educational Services","=""2440014""","F",583,580,99.5,580,259,44.7,190,32.8,93,16.0,38,6.6,131,22.6
"Area Cooperative Educational Services","=""2440014""","M",704,688,97.7,688,379,55.1,171,24.9,94,13.7,44,6.4,138,20.1
"Ashford School District","=""0030011""","F",117,117,100.0,117,22,18.8,40,34.2,32,27.4,23,19.7,55,47.0
"Ashford School District","=""0030011""","M",116,115,99.1,115,26,22.6,31,27.0,41,35.7,17,14.8,58,50.4
"Avon School District","=""0040011""","F",754,750,99.5,750,62,8.3,145,19.3,220,29.3,323,43.1,543,72.4
"Avon School District","=""0040011""","M",794,791,99.6,791,53,6.7,121,15.3,220,27.8,397,50.2,617,78.0
"Barkhamsted School District","=""0050011""","F",86,84,97.7,84,23,27.4,29,34.5,22,26.2,10,11.9,32,38.1
"Barkhamsted School District","=""0050011""","M",90,85,94.4,85,20,23.5,35,41.2,20,23.5,10,11.8,30,35.3
"Berlin School District","=""0070011""","F",600,599,99.8,598,94,15.7,187,31.3,190,31.8,127,21.2,317,53.0
"Berlin School District","=""0070011""","M",719,711,98.9,710,131,18.5,198,27.9,187,26.3,194,27.3,381,53.7
"Bethany School District","=""0080011""","F",107,103,96.3,103,6,5.8,23,22.3,35,34.0,39,37.9,74,71.8
"Bethany School District","=""0080011""","M",125,121,96.8,121,18,14.9,35,28.9,32,26.4,36,29.8,68,56.2
"Bethel School District","=""0090011""","F",644,641,99.5,641,86,13.4,203,31.7,205,32.0,147,22.9,352,54.9
"Bethel School District","=""0090011""","M",685,677,98.8,677,99,14.6,199,29.4,186,27.5,193,28.5,379,56.0
"Bloomfield School District","=""0110011""","F",391,388,99.2,388,142,36.6,136,35.1,77,19.8,33,8.5,110,28.4
"Bloomfield School District","=""0110011""","M",376,375,99.7,375,147,39.2,142,37.9,65,17.3,21,5.6,86,22.9
"Bolton School District","=""0120011""","F",174,169,97.1,169,23,13.6,37,21.9,47,27.8,62,36.7,109,64.5
"Bolton School District","=""0120011""","M",182,178,97.8,177,20,11.3,40,22.6,62,35.0,55,31.1,117,66.1
"Bozrah School District","=""0130011""","F",68,68,100.0,68,"*","*",30,44.1,18,26.5,"*","*","*","*"
"Bozrah School District","=""0130011""","M",66,65,98.5,64,19,29.7,23,35.9,"*","*","*","*",22,34.4
