"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA, All Grades, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"F",18930,18595,98.2,18576,3481,18.7,4263,22.9,4630,24.9,6202,33.4,10832,58.3,2447
"State of Connecticut",03,"M",19828,19446,98.1,19409,5281,27.2,4604,23.7,4458,23.0,5066,26.1,9524,49.1,2426
"State of Connecticut",04,"F",19406,19090,98.4,19064,4083,21.4,3518,18.5,4776,25.1,6687,35.1,11463,60.1,2491
"State of Connecticut",04,"M",19919,19556,98.2,19533,5875,30.1,3923,20.1,4584,23.5,5151,26.4,9735,49.8,2467
"State of Connecticut",05,"F",19210,18897,98.4,18883,3431,18.2,3328,17.6,6363,33.7,5761,30.5,12124,64.2,2529
"State of Connecticut",05,"M",20344,19961,98.1,19932,5340,26.8,4009,20.1,6322,31.7,4261,21.4,10583,53.1,2503
"State of Connecticut",06,"F",19724,19337,98.0,19307,2769,14.3,4582,23.7,7201,37.3,4755,24.6,11956,61.9,2552
"State of Connecticut",06,"M",20817,20439,98.2,20402,4938,24.2,5377,26.4,6700,32.8,3387,16.6,10087,49.4,2524
"State of Connecticut",07,"F",19428,18870,97.1,18837,3023,16.0,3748,19.9,7923,42.1,4143,22.0,12066,64.1,2576
"State of Connecticut",07,"M",20522,19989,97.4,19943,5175,25.9,4700,23.6,7124,35.7,2944,14.8,10068,50.5,2545
"State of Connecticut",08,"F",19912,19275,96.8,19223,2780,14.5,4610,24.0,7761,40.4,4072,21.2,11833,61.6,2589
"State of Connecticut",08,"M",21073,20437,97.0,20386,5118,25.1,5731,28.1,6900,33.8,2637,12.9,9537,46.8,2556
"State of Connecticut",11,"F",19672,15965,81.2,15814,2598,16.4,3710,23.5,5588,35.3,3918,24.8,9506,60.1,2602
"State of Connecticut",11,"M",20184,16709,82.8,16554,4569,27.6,4224,25.5,4853,29.3,2908,17.6,7761,46.9,2567

