"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Amistad Academy District","=""2790013""","F",364,361,99.2,361,93,25.8,96,26.6,125,34.6,47,13.0,172,47.6
"Amistad Academy District","=""2790013""","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Amistad Academy District","=""2790013""","R",89,89,100.0,89,7,7.9,23,25.8,37,41.6,22,24.7,59,66.3
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",134,133,99.3,133,8,6.0,21,15.8,38,28.6,66,49.6,104,78.2
"Andover School District","=""0010011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",603,594,98.5,594,255,42.9,173,29.1,120,20.2,46,7.7,166,27.9
"Ansonia School District","=""0020011""","N",328,325,99.1,325,92,28.3,85,26.2,96,29.5,52,16.0,148,45.5
"Ansonia School District","=""0020011""","R",123,118,95.9,118,42,35.6,36,30.5,33,28.0,7,5.9,40,33.9
"Area Cooperative Educational Services","=""2440014""","F",711,702,98.7,702,353,50.3,165,23.5,145,20.7,39,5.6,184,26.2
"Area Cooperative Educational Services","=""2440014""","N",460,457,99.3,456,87,19.1,120,26.3,152,33.3,97,21.3,249,54.6
"Area Cooperative Educational Services","=""2440014""","R",116,116,100.0,116,40,34.5,34,29.3,34,29.3,8,6.9,42,36.2
"Ashford School District","=""0030011""","F",65,64,98.5,64,17,26.6,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",154,154,100.0,154,"*","*","*","*",56,36.4,54,35.1,110,71.4
"Ashford School District","=""0030011""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1466,1462,99.7,1462,63,4.3,182,12.4,482,33.0,735,50.3,1217,83.2
"Avon School District","=""0040011""","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",158,151,95.6,151,16,10.6,30,19.9,53,35.1,52,34.4,105,69.5
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",124,123,99.2,123,32,26.0,33,26.8,45,36.6,13,10.6,58,47.2
"Berlin School District","=""0070011""","N",1154,1149,99.6,1148,92,8.0,228,19.9,453,39.5,375,32.7,828,72.1
"Berlin School District","=""0070011""","R",41,41,100.0,41,11,26.8,15,36.6,9,22.0,6,14.6,15,36.6
"Bethany School District","=""0080011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
