"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",269,268,99.6,268,66,24.6,73,27.2,91,34.0,38,14.2,129,48.1
"Achievement First Hartford Academy Inc. District","=""2880013""","M",282,280,99.3,279,113,40.5,67,24.0,75,26.9,24,8.6,99,35.5
"Amistad Academy District","=""2790013""","F",268,266,99.3,266,47,17.7,73,27.4,85,32.0,61,22.9,146,54.9
"Amistad Academy District","=""2790013""","M",276,275,99.6,275,80,29.1,76,27.6,79,28.7,40,14.5,119,43.3
"Andover School District","=""0010011""","F",78,76,97.4,76,"*","*","*","*",19,25.0,48,63.2,67,88.2
"Andover School District","=""0010011""","M",89,87,97.8,87,"*","*","*","*",24,27.6,39,44.8,63,72.4
"Ansonia School District","=""0020011""","F",599,589,98.3,589,147,25.0,181,30.7,183,31.1,78,13.2,261,44.3
"Ansonia School District","=""0020011""","M",626,616,98.4,616,250,40.6,180,29.2,122,19.8,64,10.4,186,30.2
"Area Cooperative Educational Services","=""2440014""","F",581,574,98.8,572,133,23.3,196,34.3,176,30.8,67,11.7,243,42.5
"Area Cooperative Educational Services","=""2440014""","M",716,703,98.2,696,284,40.8,183,26.3,179,25.7,50,7.2,229,32.9
"Ashford School District","=""0030011""","F",122,122,100.0,122,10,8.2,23,18.9,40,32.8,49,40.2,89,73.0
"Ashford School District","=""0030011""","M",131,130,99.2,130,24,18.5,41,31.5,44,33.8,21,16.2,65,50.0
"Avon School District","=""0040011""","F",897,883,98.4,882,38,4.3,95,10.8,267,30.3,482,54.6,749,84.9
"Avon School District","=""0040011""","M",944,929,98.4,927,63,6.8,125,13.5,357,38.5,382,41.2,739,79.7
"Barkhamsted School District","=""0050011""","F",92,91,98.9,91,6,6.6,14,15.4,34,37.4,37,40.7,71,78.0
