"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Special Education Stat"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",535,530,99.1,530,178,33.6,181,34.2,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",57,56,98.2,55,44,80.0,8,14.5,"*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",501,498,99.4,498,"*","*",154,30.9,"*","*",114,22.9,"*","*"
"Amistad Academy District","=""2790013""","Y",37,35,94.6,35,27,77.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",875,868,99.2,867,292,33.7,334,38.5,"*","*","*","*",241,27.8
"Ansonia School District","=""0020011""","Y",179,168,93.9,168,126,75.0,33,19.6,"*","*","*","*",9,5.4
"Area Cooperative Educational Services","=""2440014""","N",1014,1014,100.0,1014,410,40.4,342,33.7,"*","*","*","*",262,25.8
"Area Cooperative Educational Services","=""2440014""","Y",273,254,93.0,254,228,89.8,19,7.5,"*","*","*","*",7,2.8
"Ashford School District","=""0030011""","N",206,206,100.0,206,"*","*",64,31.1,"*","*",40,19.4,"*","*"
"Ashford School District","=""0030011""","Y",27,26,96.3,26,15,57.7,"*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","N",1429,1425,99.7,1425,"*","*",228,16.0,414,29.1,"*","*","*","*"
"Avon School District","=""0040011""","Y",119,116,97.5,116,51,44.0,38,32.8,"*","*","*","*",27,23.3
"Barkhamsted School District","=""0050011""","N",147,141,95.9,141,25,17.7,56,39.7,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Y",29,28,96.6,28,18,64.3,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","N",1170,1165,99.6,1163,"*","*",354,30.4,366,31.5,"*","*","*","*"
"Berlin School District","=""0070011""","Y",149,145,97.3,145,98,67.6,31,21.4,"*","*","*","*",16,11.0
"Bethany School District","=""0080011""","N",196,188,95.9,188,"*","*",44,23.4,58,30.9,"*","*","*","*"
"Bethany School District","=""0080011""","Y",36,36,100.0,36,12,33.3,14,38.9,"*","*","*","*",10,27.8
"Bethel School District","=""0090011""","N",1197,1189,99.3,1189,122,10.3,362,30.4,371,31.2,334,28.1,705,59.3
"Bethel School District","=""0090011""","Y",132,129,97.7,129,63,48.8,40,31.0,20,15.5,6,4.7,26,20.2
"Bloomfield School District","=""0110011""","N",662,659,99.5,659,196,29.7,270,41.0,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y",105,104,99.0,104,93,89.4,"*","*","*","*",0,0.0,"*","*"
"Bolton School District","=""0120011""","N",314,306,97.5,306,"*","*",70,22.9,103,33.7,"*","*","*","*"
"Bolton School District","=""0120011""","Y",42,41,97.6,40,24,60.0,7,17.5,"*","*","*","*",9,22.5
"Bozrah School District","=""0130011""","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y",21,20,95.2,19,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",1196,1181,98.7,1180,169,14.3,323,27.4,352,29.8,336,28.5,688,58.3
"Branford School District","=""0140011""","Y",157,156,99.4,152,106,69.7,25,16.4,15,9.9,6,3.9,21,13.8
"Brass City Charter School District","=""2900013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",494,494,100.0,494,136,27.5,136,27.5,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y",47,46,97.9,46,31,67.4,10,21.7,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",8107,8072,99.6,8069,5031,62.3,2136,26.5,"*","*","*","*",902,11.2
"Bridgeport School District","=""0150011""","Y",1262,1230,97.5,1230,1135,92.3,81,6.6,"*","*","*","*",14,1.1
"Bristol School District","=""0170011""","N",2945,2939,99.8,2939,585,19.9,1035,35.2,813,27.7,506,17.2,1319,44.9
"Bristol School District","=""0170011""","Y",606,594,98.0,594,432,72.7,121,20.4,33,5.6,8,1.3,41,6.9
"Brookfield School District","=""0180011""","N",1102,1053,95.6,1053,74,7.0,271,25.7,386,36.7,322,30.6,708,67.2
"Brookfield School District","=""0180011""","Y",165,137,83.0,137,61,44.5,48,35.0,19,13.9,9,6.6,28,20.4
"Brooklyn School District","=""0190011""","N",473,471,99.6,471,77,16.3,197,41.8,"*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Y",48,44,91.7,44,28,63.6,12,27.3,"*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",279,277,99.3,277,54,19.5,"*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",29,26,89.7,26,16,61.5,"*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",711,704,99.0,704,41,5.8,146,20.7,"*","*","*","*",517,73.4
"Canton School District","=""0230011""","Y",82,81,98.8,81,52,64.2,23,28.4,"*","*","*","*",6,7.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",2652,2615,98.6,2615,765,29.3,900,34.4,530,20.3,420,16.1,950,36.3
"Capitol Region Education Council","=""2410014""","Y",464,423,91.2,423,318,75.2,73,17.3,21,5.0,11,2.6,32,7.6
"Chaplin School District","=""0240011""","N",63,62,98.4,62,"*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",1867,1850,99.1,1850,137,7.4,433,23.4,582,31.5,698,37.7,1280,69.2
"Cheshire School District","=""0250011""","Y",186,183,98.4,183,87,47.5,59,32.2,21,11.5,16,8.7,37,20.2
"Chester School District","=""0260011""","N",110,109,99.1,109,"*","*",24,22.0,"*","*","*","*","*","*"
"Chester School District","=""0260011""","Y",21,21,100.0,21,"*","*",9,42.9,"*","*","*","*","*","*"
"Clinton School District","=""0270011""","N",783,772,98.6,772,61,7.9,232,30.1,265,34.3,214,27.7,479,62.0
"Clinton School District","=""0270011""","Y",119,118,99.2,118,74,62.7,30,25.4,8,6.8,6,5.1,14,11.9
"Colchester School District","=""0280011""","N",984,981,99.7,981,"*","*",282,28.7,341,34.8,"*","*","*","*"
"Colchester School District","=""0280011""","Y",150,147,98.0,147,73,49.7,51,34.7,"*","*","*","*",23,15.6
"Colebrook School District","=""0290011""","N",36,35,97.2,35,0,0.0,"*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",249,244,98.0,244,27,11.1,80,32.8,"*","*","*","*","*","*"
"Columbia School District","=""0300011""","Y",38,35,92.1,35,25,71.4,7,20.0,"*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",224,221,98.7,221,35,15.8,80,36.2,69,31.2,37,16.7,106,48.0
"Cooperative Educational Services","=""2430014""","Y",118,116,98.3,116,88,75.9,22,19.0,6,5.2,0,0.0,6,5.2
"Cornwall School District","=""0310011""","N",53,51,96.2,51,"*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",666,659,98.9,659,53,8.0,201,30.5,"*","*","*","*",405,61.5
"Coventry School District","=""0320011""","Y",87,85,97.7,85,51,60.0,28,32.9,"*","*","*","*",6,7.1
"Cromwell School District","=""0330011""","N",833,832,99.9,832,138,16.6,276,33.2,"*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Y",90,88,97.8,87,62,71.3,20,23.0,"*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",4522,4479,99.0,4477,1195,26.7,1607,35.9,1092,24.4,583,13.0,1675,37.4
"Danbury School District","=""0340011""","Y",555,540,97.3,540,398,73.7,100,18.5,29,5.4,13,2.4,42,7.8
"Darien School District","=""0350011""","N",1967,1958,99.5,1958,28,1.4,216,11.0,532,27.2,1182,60.4,1714,87.5
"Darien School District","=""0350011""","Y",315,296,94.0,296,63,21.3,105,35.5,68,23.0,60,20.3,128,43.2
