"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""",538,533,99.1,533,119,22.3,161,30.2,139,26.1,114,21.4,253,47.5
"Andover School District","=""0010011""",159,156,98.1,156,8,5.1,35,22.4,54,34.6,59,37.8,113,72.4
"Ansonia School District","=""0020011""",1054,1036,98.3,1035,418,40.4,367,35.5,175,16.9,75,7.2,250,24.2
"Area Cooperative Educational Services","=""2440014""",1287,1268,98.5,1268,638,50.3,361,28.5,187,14.7,82,6.5,269,21.2
"Ashford School District","=""0030011""",233,232,99.6,232,48,20.7,71,30.6,73,31.5,40,17.2,113,48.7
"Avon School District","=""0040011""",1548,1541,99.5,1541,115,7.5,266,17.3,440,28.6,720,46.7,1160,75.3
"Barkhamsted School District","=""0050011""",176,169,96.0,169,43,25.4,64,37.9,42,24.9,20,11.8,62,36.7
"Berlin School District","=""0070011""",1319,1310,99.3,1308,225,17.2,385,29.4,377,28.8,321,24.5,698,53.4
"Bethany School District","=""0080011""",232,224,96.6,224,24,10.7,58,25.9,67,29.9,75,33.5,142,63.4
"Bethel School District","=""0090011""",1329,1318,99.2,1318,185,14.0,402,30.5,391,29.7,340,25.8,731,55.5
"Bloomfield School District","=""0110011""",767,763,99.5,763,289,37.9,278,36.4,142,18.6,54,7.1,196,25.7
"Bolton School District","=""0120011""",356,347,97.5,346,43,12.4,77,22.3,109,31.5,117,33.8,226,65.3
"Bozrah School District","=""0130011""",134,133,99.3,132,31,23.5,53,40.2,35,26.5,13,9.8,48,36.4
"Branford School District","=""0140011""",1353,1337,98.8,1332,275,20.6,348,26.1,367,27.6,342,25.7,709,53.2
"Brass City Charter School District","=""2900013""",39,39,100.0,39,"*","*","*","*",15,38.5,17,43.6,32,82.1
"Bridgeport Achievement First District","=""2850013""",541,540,99.8,540,167,30.9,146,27.0,102,18.9,125,23.1,227,42.0
"Bridgeport School District","=""0150011""",9369,9302,99.3,9299,6166,66.3,2217,23.8,726,7.8,190,2.0,916,9.9
"Bristol School District","=""0170011""",3551,3533,99.5,3533,1017,28.8,1156,32.7,846,23.9,514,14.5,1360,38.5
"Brookfield School District","=""0180011""",1267,1190,93.9,1190,135,11.3,319,26.8,405,34.0,331,27.8,736,61.8
"Brooklyn School District","=""0190011""",521,515,98.8,515,105,20.4,209,40.6,129,25.0,72,14.0,201,39.0
"Canaan School District","=""0210011""",51,48,94.1,48,"*","*",20,41.7,17,35.4,"*","*","*","*"
"Canterbury School District","=""0220011""",308,303,98.4,303,70,23.1,116,38.3,82,27.1,35,11.6,117,38.6
"Canton School District","=""0230011""",793,785,99.0,785,93,11.8,169,21.5,256,32.6,267,34.0,523,66.6
"Capital Preparatory Harbor School Inc. District","=""2970013""",109,109,100.0,109,75,68.8,28,25.7,6,5.5,0,0.0,6,5.5
"Capitol Region Education Council","=""2410014""",3116,3038,97.5,3038,1083,35.6,973,32.0,551,18.1,431,14.2,982,32.3
"Chaplin School District","=""0240011""",78,76,97.4,76,28,36.8,28,36.8,"*","*","*","*",20,26.3
"Cheshire School District","=""0250011""",2053,2033,99.0,2033,224,11.0,492,24.2,603,29.7,714,35.1,1317,64.8
"Chester School District","=""0260011""",131,130,99.2,130,7,5.4,33,25.4,42,32.3,48,36.9,90,69.2
"Clinton School District","=""0270011""",902,890,98.7,890,135,15.2,262,29.4,273,30.7,220,24.7,493,55.4
"Colchester School District","=""0280011""",1134,1128,99.5,1128,159,14.1,333,29.5,359,31.8,277,24.6,636,56.4
