"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,90,89,98.9,89,24,27.0,22,24.7,21,23.6,22,24.7,43,48.3,2423
"Achievement First Hartford Academy Inc. District","=""2880013""",04,91,91,100.0,91,24,26.4,16,17.6,23,25.3,28,30.8,51,56.0,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,144,144,100.0,144,57,39.6,37,25.7,34,23.6,16,11.1,50,34.7,2467
"Achievement First Hartford Academy Inc. District","=""2880013""",06,145,144,99.3,144,42,29.2,39,27.1,46,31.9,17,11.8,63,43.8,2512
"Achievement First Hartford Academy Inc. District","=""2880013""",07,57,57,100.0,57,"*","*",19,33.3,21,36.8,"*","*","*","*",2531
"Achievement First Hartford Academy Inc. District","=""2880013""",08,65,64,98.5,64,"*","*",22,34.4,20,31.3,"*","*","*","*",2577
"Amistad Academy District","=""2790013""",03,91,90,98.9,90,10,11.1,21,23.3,32,35.6,27,30.0,59,65.6,2459
"Amistad Academy District","=""2790013""",04,92,91,98.9,91,24,26.4,17,18.7,22,24.2,28,30.8,50,54.9,2484
"Amistad Academy District","=""2790013""",05,94,93,98.9,93,19,20.4,22,23.7,38,40.9,14,15.1,52,55.9,2510
"Amistad Academy District","=""2790013""",06,90,90,100.0,90,"*","*",28,31.1,38,42.2,"*","*","*","*",2513
"Amistad Academy District","=""2790013""",07,89,89,100.0,89,"*","*",24,27.0,34,38.2,"*","*","*","*",2542
"Amistad Academy District","=""2790013""",08,82,81,98.8,81,13,16.0,22,27.2,35,43.2,11,13.6,46,56.8,2572
"Andover School District","=""0010011""",03,29,28,96.6,28,"*","*","*","*",12,42.9,7,25.0,19,67.9,2452
"Andover School District","=""0010011""",04,38,38,100.0,38,"*","*",10,26.3,"*","*",18,47.4,"*","*",2528
"Andover School District","=""0010011""",05,44,42,95.5,42,"*","*","*","*",11,26.2,25,59.5,36,85.7,2580
"Andover School District","=""0010011""",06,48,48,100.0,48,6,12.5,7,14.6,13,27.1,22,45.8,35,72.9,2584
