"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Y",419,415,99.0,415,126,30.4,138,33.3,102,24.6,49,11.8,151,36.4
"Amistad Academy District","=""2790013""","N",125,125,100.0,125,43,34.4,47,37.6,15,12.0,20,16.0,35,28.0
"Andover School District","=""0010011""","Y",32,32,100.0,32,"*","*",11,34.4,10,31.3,"*","*","*","*"
"Andover School District","=""0010011""","N",135,133,98.5,133,"*","*",30,22.6,38,28.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Y",863,848,98.3,848,419,49.4,308,36.3,90,10.6,31,3.7,121,14.3
"Ansonia School District","=""0020011""","N",363,359,98.9,359,114,31.8,131,36.5,76,21.2,38,10.6,114,31.8
"Area Cooperative Educational Services","=""2440014""","Y",820,799,97.4,796,515,64.7,204,25.6,61,7.7,16,2.0,77,9.7
"Area Cooperative Educational Services","=""2440014""","N",478,476,99.6,476,142,29.8,168,35.3,110,23.1,56,11.8,166,34.9
"Ashford School District","=""0030011""","Y",102,99,97.1,98,47,48.0,23,23.5,16,16.3,12,12.2,28,28.6
"Ashford School District","=""0030011""","N",151,150,99.3,150,22,14.7,50,33.3,52,34.7,26,17.3,78,52.0
"Avon School District","=""0040011""","Y",249,246,98.8,246,94,38.2,88,35.8,37,15.0,27,11.0,64,26.0
"Avon School District","=""0040011""","N",1592,1577,99.1,1577,55,3.5,266,16.9,526,33.4,730,46.3,1256,79.6
"Barkhamsted School District","=""0050011""","Y",42,40,95.2,40,27,67.5,"*","*","*","*",0,0.0,"*","*"
"Barkhamsted School District","=""0050011""","N",163,157,96.3,157,"*","*",61,38.9,"*","*",25,15.9,"*","*"
"Berlin School District","=""0070011""","Y",347,337,97.1,330,162,49.1,113,34.2,46,13.9,9,2.7,55,16.7
"Berlin School District","=""0070011""","N",1259,1257,99.8,1245,149,12.0,403,32.4,406,32.6,287,23.1,693,55.7
"Bethany School District","=""0080011""","Y",46,44,95.7,44,18,40.9,16,36.4,10,22.7,0,0.0,10,22.7
"Bethany School District","=""0080011""","N",194,190,97.9,190,13,6.8,48,25.3,66,34.7,63,33.2,129,67.9
"Bethel School District","=""0090011""","Y",415,405,97.6,405,194,47.9,125,30.9,67,16.5,19,4.7,86,21.2
"Bethel School District","=""0090011""","N",1111,1107,99.6,1106,167,15.1,400,36.2,328,29.7,211,19.1,539,48.7
"Bloomfield School District","=""0110011""","Y",507,494,97.4,494,254,51.4,167,33.8,64,13.0,9,1.8,73,14.8
"Bloomfield School District","=""0110011""","N",399,387,97.0,387,133,34.4,144,37.2,87,22.5,23,5.9,110,28.4
"Bolton School District","=""0120011""","Y",108,106,98.1,106,48,45.3,31,29.2,20,18.9,7,6.6,27,25.5
