"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Y",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Y",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Y",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Y",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Y",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""",03,"Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2430
"Amistad Academy District","=""2790013""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2470
"Amistad Academy District","=""2790013""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Y",64,63,98.4,63,"*","*",20,31.7,21,33.3,"*","*","*","*",2478
"Amistad Academy District","=""2790013""",05,"N",26,26,100.0,26,9,34.6,"*","*",8,30.8,"*","*","*","*",2467
"Amistad Academy District","=""2790013""",06,"Y",74,74,100.0,74,19,25.7,"*","*",31,41.9,"*","*","*","*",2518
"Amistad Academy District","=""2790013""",06,"N",25,25,100.0,25,7,28.0,"*","*",7,28.0,"*","*","*","*",2535
"Amistad Academy District","=""2790013""",07,"Y",53,53,100.0,53,"*","*",16,30.2,19,35.8,"*","*","*","*",2546
"Amistad Academy District","=""2790013""",07,"N",25,25,100.0,25,"*","*",11,44.0,9,36.0,"*","*","*","*",2555
"Amistad Academy District","=""2790013""",08,"Y",54,54,100.0,54,11,20.4,14,25.9,20,37.0,9,16.7,29,53.7,2571
"Amistad Academy District","=""2790013""",08,"N",25,25,100.0,25,0,0.0,10,40.0,8,32.0,7,28.0,15,60.0,2610
"Amistad Academy District","=""2790013""",11,"Y",27,26,96.3,26,"*","*","*","*","*","*","*","*","*","*",2596
"Amistad Academy District","=""2790013""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N",27,27,100.0,27,0,0.0,"*","*","*","*","*","*","*","*",2501
"Andover School District","=""0010011""",04,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N",36,36,100.0,36,0,0.0,"*","*","*","*","*","*","*","*",2602
"Andover School District","=""0010011""",06,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
