"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, Free/Reduced Price Meal"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Y",408,405,99.3,405,98,24.2,111,27.4,122,30.1,74,18.3,196,48.4
"Amistad Academy District","=""2790013""","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Andover School District","=""0010011""","Y",23,23,100.0,23,"*","*","*","*",7,30.4,9,39.1,16,69.6
"Andover School District","=""0010011""","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Ansonia School District","=""0020011""","Y",817,807,98.8,807,294,36.4,270,33.5,179,22.2,64,7.9,243,30.1
"Ansonia School District","=""0020011""","N",408,398,97.5,398,103,25.9,91,22.9,126,31.7,78,19.6,204,51.3
"Area Cooperative Educational Services","=""2440014""","Y",741,724,97.7,717,305,42.5,229,31.9,155,21.6,28,3.9,183,25.5
"Area Cooperative Educational Services","=""2440014""","N",556,553,99.5,551,112,20.3,150,27.2,200,36.3,89,16.2,289,52.5
"Ashford School District","=""0030011""","Y",85,85,100.0,85,24,28.2,28,32.9,16,18.8,17,20.0,33,38.8
"Ashford School District","=""0030011""","N",168,167,99.4,167,10,6.0,36,21.6,68,40.7,53,31.7,121,72.5
"Avon School District","=""0040011""","Y",87,86,98.9,86,19,22.1,29,33.7,25,29.1,13,15.1,38,44.2
"Avon School District","=""0040011""","N",1754,1726,98.4,1723,82,4.8,191,11.1,599,34.8,851,49.4,1450,84.2
"Barkhamsted School District","=""0050011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",186,179,96.2,178,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",227,224,98.7,214,74,34.6,63,29.4,57,26.6,20,9.3,77,36.0
"Berlin School District","=""0070011""","N",1380,1371,99.3,1345,153,11.4,307,22.8,549,40.8,336,25.0,885,65.8
"Bethany School District","=""0080011""","Y",17,17,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",223,217,97.3,217,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",284,275,96.8,275,56,20.4,97,35.3,80,29.1,42,15.3,122,44.4
"Bethel School District","=""0090011""","N",1242,1232,99.2,1231,107,8.7,222,18.0,486,39.5,416,33.8,902,73.3
"Bloomfield School District","=""0110011""","Y",468,461,98.5,461,123,26.7,154,33.4,142,30.8,42,9.1,184,39.9
"Bloomfield School District","=""0110011""","N",439,417,95.0,417,67,16.1,114,27.3,161,38.6,75,18.0,236,56.6
"Bolton School District","=""0120011""","Y",71,71,100.0,70,18,25.7,14,20.0,24,34.3,14,20.0,38,54.3
"Bolton School District","=""0120011""","N",378,372,98.4,372,28,7.5,53,14.2,142,38.2,149,40.1,291,78.2
