"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","F",348,344,98.9,344,108,31.4,114,33.1,83,24.1,39,11.3,122,35.5
"Amistad Academy District","=""2790013""","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Amistad Academy District","=""2790013""","R",60,60,100.0,60,13,21.7,22,36.7,15,25.0,10,16.7,25,41.7
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",144,142,98.6,142,6,4.2,33,23.2,40,28.2,63,44.4,103,72.5
"Andover School District","=""0010011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",679,664,97.8,664,337,50.8,235,35.4,68,10.2,24,3.6,92,13.9
"Ansonia School District","=""0020011""","N",409,405,99.0,405,146,36.0,144,35.6,77,19.0,38,9.4,115,28.4
"Ansonia School District","=""0020011""","R",138,138,100.0,138,50,36.2,60,43.5,21,15.2,7,5.1,28,20.3
"Area Cooperative Educational Services","=""2440014""","F",625,610,97.6,607,393,64.7,156,25.7,"*","*","*","*",58,9.6
"Area Cooperative Educational Services","=""2440014""","N",557,551,98.9,551,200,36.3,179,32.5,113,20.5,59,10.7,172,31.2
"Area Cooperative Educational Services","=""2440014""","R",116,114,98.3,114,64,56.1,37,32.5,"*","*","*","*",13,11.4
"Ashford School District","=""0030011""","F",69,67,97.1,67,34,50.7,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",168,166,98.8,166,"*","*",57,34.3,53,31.9,"*","*","*","*"
"Ashford School District","=""0030011""","R",16,16,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1754,1736,99.0,1736,117,6.7,324,18.7,547,31.5,748,43.1,1295,74.6
"Avon School District","=""0040011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",186,178,95.7,178,35,19.7,64,36.0,54,30.3,25,14.0,79,44.4
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",186,182,97.8,179,82,45.8,63,35.2,"*","*","*","*",34,19.0
"Berlin School District","=""0070011""","N",1379,1371,99.4,1355,211,15.6,441,32.5,415,30.6,288,21.3,703,51.9
"Berlin School District","=""0070011""","R",41,41,100.0,41,18,43.9,12,29.3,"*","*","*","*",11,26.8
"Bethany School District","=""0080011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",223,217,97.3,217,25,11.5,59,27.2,70,32.3,63,29.0,133,61.3
"Bethany School District","=""0080011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",222,217,97.7,217,99,45.6,71,32.7,"*","*","*","*",47,21.7
"Bethel School District","=""0090011""","N",1242,1234,99.4,1233,240,19.5,434,35.2,342,27.7,217,17.6,559,45.3
"Bethel School District","=""0090011""","R",62,61,98.4,61,22,36.1,20,32.8,"*","*","*","*",19,31.1
"Bloomfield School District","=""0110011""","F",378,372,98.4,372,193,51.9,124,33.3,"*","*","*","*",55,14.8
"Bloomfield School District","=""0110011""","N",438,421,96.1,421,159,37.8,151,35.9,88,20.9,23,5.5,111,26.4
"Bloomfield School District","=""0110011""","R",90,88,97.8,88,35,39.8,36,40.9,"*","*","*","*",17,19.3
"Bolton School District","=""0120011""","F",61,61,100.0,61,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",378,373,98.7,373,53,14.2,103,27.6,101,27.1,116,31.1,217,58.2
"Bolton School District","=""0120011""","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","F","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Bozrah School District","=""0130011""","N",105,105,100.0,105,34,32.4,"*","*",31,29.5,"*","*","*","*"
"Bozrah School District","=""0130011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",311,300,96.5,299,124,41.5,88,29.4,62,20.7,25,8.4,87,29.1
"Branford School District","=""0140011""","N",1200,1170,97.5,1170,301,25.7,289,24.7,312,26.7,268,22.9,580,49.6
"Branford School District","=""0140011""","R",101,99,98.0,98,35,35.7,23,23.5,26,26.5,14,14.3,40,40.8
"Bridgeport Achievement First District","=""2850013""","F",386,384,99.5,384,187,48.7,107,27.9,63,16.4,27,7.0,90,23.4
"Bridgeport Achievement First District","=""2850013""","N",97,97,100.0,97,38,39.2,22,22.7,24,24.7,13,13.4,37,38.1
"Bridgeport Achievement First District","=""2850013""","R",81,81,100.0,81,30,37.0,23,28.4,21,25.9,7,8.6,28,34.6
