"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA, All Grades Combined, Special Education Statu"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",535,534,99.8,534,131,24.5,141,26.4,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",57,55,96.5,55,39,70.9,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","N",501,498,99.4,498,81,16.3,"*","*","*","*",92,18.5,"*","*"
"Amistad Academy District","=""2790013""","Y",37,36,97.3,36,28,77.8,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",875,869,99.3,869,262,30.1,266,30.6,"*","*","*","*",341,39.2
"Ansonia School District","=""0020011""","Y",179,168,93.9,168,127,75.6,28,16.7,"*","*","*","*",13,7.7
"Area Cooperative Educational Services","=""2440014""","N",1014,1014,100.0,1014,276,27.2,285,28.1,315,31.1,138,13.6,453,44.7
"Area Cooperative Educational Services","=""2440014""","Y",273,261,95.6,260,204,78.5,34,13.1,16,6.2,6,2.3,22,8.5
"Ashford School District","=""0030011""","N",206,206,100.0,206,"*","*",42,20.4,"*","*",63,30.6,"*","*"
"Ashford School District","=""0030011""","Y",27,26,96.3,26,15,57.7,"*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","N",1426,1424,99.9,1424,"*","*",156,11.0,476,33.4,"*","*","*","*"
"Avon School District","=""0040011""","Y",119,117,98.3,117,36,30.8,51,43.6,"*","*","*","*",30,25.6
"Barkhamsted School District","=""0050011""","N",147,141,95.9,141,"*","*",31,22.0,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Y",29,28,96.6,28,"*","*",8,28.6,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",1170,1167,99.7,1166,66,5.7,225,19.3,487,41.8,388,33.3,875,75.0
"Berlin School District","=""0070011""","Y",149,146,98.0,146,69,47.3,51,34.9,20,13.7,6,4.1,26,17.8
"Bethany School District","=""0080011""","N",196,188,95.9,188,"*","*",36,19.1,63,33.5,"*","*","*","*"
"Bethany School District","=""0080011""","Y",36,36,100.0,36,15,41.7,13,36.1,"*","*","*","*",8,22.2
"Bethel School District","=""0090011""","N",1197,1191,99.5,1191,96,8.1,194,16.3,452,38.0,449,37.7,901,75.7
"Bethel School District","=""0090011""","Y",132,129,97.7,129,53,41.1,31,24.0,36,27.9,9,7.0,45,34.9
"Bloomfield School District","=""0110011""","N",662,659,99.5,659,"*","*",173,26.3,248,37.6,"*","*","*","*"
"Bloomfield School District","=""0110011""","Y",105,105,100.0,105,70,66.7,22,21.0,"*","*","*","*",13,12.4
"Bolton School District","=""0120011""","N",314,306,97.5,306,"*","*",30,9.8,119,38.9,"*","*","*","*"
"Bolton School District","=""0120011""","Y",42,41,97.6,41,20,48.8,"*","*",10,24.4,"*","*","*","*"
"Bozrah School District","=""0130011""","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y",21,20,95.2,19,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",1198,1185,98.9,1182,"*","*",254,21.5,427,36.1,"*","*","*","*"
"Branford School District","=""0140011""","Y",157,156,99.4,152,77,50.7,49,32.2,"*","*","*","*",26,17.1
"Brass City Charter School District","=""2900013""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",494,494,100.0,494,109,22.1,139,28.1,"*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y",47,46,97.9,46,32,69.6,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","N",8111,8086,99.7,8079,3922,48.5,2099,26.0,1543,19.1,515,6.4,2058,25.5
"Bridgeport School District","=""0150011""","Y",1262,1236,97.9,1234,1072,86.9,125,10.1,31,2.5,6,0.5,37,3.0
"Bristol School District","=""0170011""","N",2944,2938,99.8,2938,421,14.3,716,24.4,1100,37.4,701,23.9,1801,61.3
"Bristol School District","=""0170011""","Y",605,597,98.7,597,383,64.2,119,19.9,77,12.9,18,3.0,95,15.9
"Brookfield School District","=""0180011""","N",1102,1057,95.9,1057,66,6.2,203,19.2,394,37.3,394,37.3,788,74.6
"Brookfield School District","=""0180011""","Y",165,138,83.6,138,68,49.3,39,28.3,21,15.2,10,7.2,31,22.5
"Brooklyn School District","=""0190011""","N",473,471,99.6,471,37,7.9,82,17.4,"*","*","*","*",352,74.7
"Brooklyn School District","=""0190011""","Y",48,45,93.8,45,24,53.3,15,33.3,"*","*","*","*",6,13.3
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",279,277,99.3,277,39,14.1,77,27.8,"*","*","*","*",161,58.1
"Canterbury School District","=""0220011""","Y",29,26,89.7,26,11,42.3,9,34.6,"*","*","*","*",6,23.1
"Canton School District","=""0230011""","N",711,704,99.0,704,"*","*",110,15.6,266,37.8,"*","*","*","*"
"Canton School District","=""0230011""","Y",82,81,98.8,81,41,50.6,25,30.9,"*","*","*","*",15,18.5
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",2654,2626,98.9,2625,526,20.0,634,24.2,903,34.4,562,21.4,1465,55.8
"Capitol Region Education Council","=""2410014""","Y",465,439,94.4,439,299,68.1,86,19.6,46,10.5,8,1.8,54,12.3
"Chaplin School District","=""0240011""","N",63,62,98.4,62,"*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",1867,1852,99.2,1852,70,3.8,241,13.0,683,36.9,858,46.3,1541,83.2
"Cheshire School District","=""0250011""","Y",186,183,98.4,183,66,36.1,62,33.9,39,21.3,16,8.7,55,30.1
"Chester School District","=""0260011""","N",110,109,99.1,109,"*","*","*","*",39,35.8,"*","*","*","*"
"Chester School District","=""0260011""","Y",21,21,100.0,21,"*","*","*","*",7,33.3,"*","*","*","*"
"Clinton School District","=""0270011""","N",782,771,98.6,768,"*","*",139,18.1,294,38.3,"*","*","*","*"
"Clinton School District","=""0270011""","Y",118,117,99.2,117,55,47.0,38,32.5,"*","*","*","*",24,20.5
"Colchester School District","=""0280011""","N",986,983,99.7,983,57,5.8,159,16.2,386,39.3,381,38.8,767,78.0
"Colchester School District","=""0280011""","Y",150,147,98.0,147,48,32.7,47,32.0,45,30.6,7,4.8,52,35.4
"Colebrook School District","=""0290011""","N",36,35,97.2,35,0,0.0,"*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",249,244,98.0,244,"*","*",54,22.1,101,41.4,"*","*","*","*"
"Columbia School District","=""0300011""","Y",38,35,92.1,35,20,57.1,"*","*",7,20.0,"*","*","*","*"
