"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",520,516,99.2,515,221,42.9,157,30.5,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",31,31,100.0,31,21,67.7,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","N",502,499,99.4,499,152,30.5,171,34.3,107,21.4,69,13.8,176,35.3
"Amistad Academy District","=""2790013""","Y",42,41,97.6,41,17,41.5,14,34.1,10,24.4,0,0.0,10,24.4
"Andover School District","=""0010011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1201,1183,98.5,1183,518,43.8,430,36.3,166,14.0,69,5.8,235,19.9
"Ansonia School District","=""0020011""","Y",25,24,96.0,24,15,62.5,9,37.5,0,0.0,0,0.0,0,0.0
"Area Cooperative Educational Services","=""2440014""","N",1244,1221,98.2,1218,609,50.0,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",54,54,100.0,54,48,88.9,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1803,1785,99.0,1785,136,7.6,343,19.2,557,31.2,749,42.0,1306,73.2
"Avon School District","=""0040011""","Y",38,38,100.0,38,13,34.2,11,28.9,6,15.8,8,21.1,14,36.8
"Barkhamsted School District","=""0050011""","N",205,197,96.1,197,46,23.4,69,35.0,57,28.9,25,12.7,82,41.6
"Berlin School District","=""0070011""","N",1575,1564,99.3,1546,298,19.3,505,32.7,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",31,30,96.8,29,13,44.8,"*","*","*","*",0,0.0,"*","*"
"Bethany School District","=""0080011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
