"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, Special Education Status (SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"N",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2487
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"N",130,129,99.2,129,"*","*","*","*","*","*","*","*","*","*",2460
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",14,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"N",127,126,99.2,126,"*","*","*","*","*","*","*","*","*","*",2482
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*",2552
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*",2506
"Amistad Academy District","=""2790013""",04,"Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2505
"Amistad Academy District","=""2790013""",05,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*",2540
"Amistad Academy District","=""2790013""",06,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"N",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*",2560
"Amistad Academy District","=""2790013""",07,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N",38,38,100.0,38,0,0.0,13,34.2,15,39.5,10,26.3,25,65.8,2512
"Andover School District","=""0010011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"N",42,42,100.0,42,0,0.0,"*","*","*","*","*","*","*","*",2609
"Andover School District","=""0010011""",06,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"N",146,143,97.9,143,30,21.0,"*","*","*","*","*","*","*","*",2421
"Ansonia School District","=""0020011""",03,"Y",26,26,100.0,26,17,65.4,"*","*","*","*","*","*","*","*",2350
"Ansonia School District","=""0020011""",04,"N",139,139,100.0,139,27,19.4,"*","*","*","*",10,7.2,"*","*",2464
"Ansonia School District","=""0020011""",04,"Y",27,26,96.3,26,20,76.9,"*","*","*","*",0,0.0,"*","*",2387
"Ansonia School District","=""0020011""",05,"N",161,161,100.0,161,83,51.6,"*","*","*","*",11,6.8,"*","*",2454
"Ansonia School District","=""0020011""",05,"Y",23,23,100.0,23,18,78.3,"*","*","*","*",0,0.0,"*","*",2386
"Ansonia School District","=""0020011""",06,"N",143,143,100.0,143,38,26.6,"*","*","*","*",19,13.3,"*","*",2513
"Ansonia School District","=""0020011""",06,"Y",33,29,87.9,29,22,75.9,"*","*","*","*",0,0.0,"*","*",2416
"Ansonia School District","=""0020011""",07,"N",128,126,98.4,126,49,38.9,50,39.7,15,11.9,12,9.5,27,21.4,2503
"Ansonia School District","=""0020011""",07,"Y",43,37,86.0,37,29,78.4,8,21.6,0,0.0,0,0.0,0,0.0,2415
"Ansonia School District","=""0020011""",08,"N",158,156,98.7,155,65,41.9,56,36.1,22,14.2,12,7.7,34,21.9,2519
"Ansonia School District","=""0020011""",08,"Y",27,27,100.0,27,20,74.1,7,25.9,0,0.0,0,0.0,0,0.0,2451
"Area Cooperative Educational Services","=""2440014""",03,"N",66,66,100.0,66,"*","*","*","*","*","*","*","*","*","*",2394
"Area Cooperative Educational Services","=""2440014""",03,"Y",23,19,82.6,19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",04,"N",68,68,100.0,68,27,39.7,"*","*",9,13.2,"*","*","*","*",2431
"Area Cooperative Educational Services","=""2440014""",04,"Y",35,32,91.4,32,"*","*","*","*",0,0.0,0,0.0,0,0.0,2321
"Area Cooperative Educational Services","=""2440014""",05,"N",68,68,100.0,68,46,67.6,"*","*","*","*","*","*","*","*",2432
"Area Cooperative Educational Services","=""2440014""",05,"Y",29,27,93.1,27,"*","*","*","*",0,0.0,0,0.0,0,0.0,2359
"Area Cooperative Educational Services","=""2440014""",06,"N",295,295,100.0,295,123,41.7,113,38.3,"*","*","*","*","*","*",2489
"Area Cooperative Educational Services","=""2440014""",06,"Y",55,55,100.0,55,44,80.0,7,12.7,"*","*","*","*","*","*",2367
"Area Cooperative Educational Services","=""2440014""",07,"N",267,267,100.0,267,74,27.7,"*","*","*","*",31,11.6,"*","*",2533
"Area Cooperative Educational Services","=""2440014""",07,"Y",64,56,87.5,56,52,92.9,"*","*","*","*",0,0.0,"*","*",2388
"Area Cooperative Educational Services","=""2440014""",08,"N",250,250,100.0,250,113,45.2,"*","*",49,19.6,"*","*","*","*",2526
"Area Cooperative Educational Services","=""2440014""",08,"Y",67,65,97.0,65,60,92.3,"*","*",0,0.0,"*","*","*","*",2390
"Ashford School District","=""0030011""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"N",35,35,100.0,35,0,0.0,"*","*","*","*","*","*","*","*",2526
"Ashford School District","=""0030011""",04,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"N",45,45,100.0,45,"*","*","*","*","*","*","*","*","*","*",2571
"Ashford School District","=""0030011""",07,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"N",219,219,100.0,219,"*","*","*","*","*","*","*","*","*","*",2496
"Avon School District","=""0040011""",03,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",04,"N",210,209,99.5,209,"*","*","*","*","*","*","*","*","*","*",2540
"Avon School District","=""0040011""",04,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"N",254,254,100.0,254,"*","*","*","*","*","*","*","*","*","*",2556
"Avon School District","=""0040011""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",06,"N",258,257,99.6,257,"*","*","*","*","*","*","*","*","*","*",2609
"Avon School District","=""0040011""",06,"Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",07,"N",244,243,99.6,243,"*","*","*","*",60,24.7,153,63.0,213,87.7,2652
"Avon School District","=""0040011""",07,"Y",25,25,100.0,25,"*","*",10,40.0,"*","*",0,0.0,"*","*",2517
"Avon School District","=""0040011""",08,"N",244,243,99.6,243,"*","*",29,11.9,"*","*",150,61.7,"*","*",2672
"Avon School District","=""0040011""",08,"Y",29,28,96.6,28,15,53.6,"*","*","*","*",0,0.0,"*","*",2498
"Barkhamsted School District","=""0050011""",03,"N",30,29,96.7,29,"*","*","*","*","*","*","*","*","*","*",2431
"Barkhamsted School District","=""0050011""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"N",39,37,94.9,37,"*","*","*","*","*","*","*","*","*","*",2470
"Barkhamsted School District","=""0050011""",04,"Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",38,36,94.7,36,"*","*","*","*","*","*","*","*","*","*",2505
"Barkhamsted School District","=""0050011""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",06,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",03,"N",182,181,99.5,181,"*","*","*","*","*","*","*","*","*","*",2476
"Berlin School District","=""0070011""",03,"Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",04,"N",162,160,98.8,159,9,5.7,39,24.5,"*","*","*","*",111,69.8,2516
"Berlin School District","=""0070011""",04,"Y",27,26,96.3,26,13,50.0,7,26.9,"*","*","*","*",6,23.1,2419
"Berlin School District","=""0070011""",05,"N",224,223,99.6,223,13,5.8,82,36.8,"*","*","*","*","*","*",2542
"Berlin School District","=""0070011""",05,"Y",28,27,96.4,27,17,63.0,6,22.2,"*","*","*","*","*","*",2431
"Berlin School District","=""0070011""",06,"N",198,197,99.5,197,"*","*","*","*","*","*","*","*","*","*",2547
"Berlin School District","=""0070011""",06,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",07,"N",218,218,100.0,218,22,10.1,73,33.5,"*","*","*","*","*","*",2580
"Berlin School District","=""0070011""",07,"Y",29,28,96.6,28,20,71.4,6,21.4,"*","*","*","*","*","*",2435
"Berlin School District","=""0070011""",08,"N",186,186,100.0,185,40,21.6,"*","*","*","*","*","*","*","*",2594
"Berlin School District","=""0070011""",08,"Y",29,29,100.0,29,23,79.3,"*","*","*","*","*","*","*","*",2452
"Bethany School District","=""0080011""",03,"N",47,44,93.6,44,"*","*","*","*","*","*","*","*","*","*",2483
"Bethany School District","=""0080011""",03,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",04,"N",42,41,97.6,41,0,0.0,"*","*","*","*","*","*","*","*",2523
"Bethany School District","=""0080011""",04,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",05,"N",53,50,94.3,50,"*","*","*","*","*","*","*","*","*","*",2599
"Bethany School District","=""0080011""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""",06,"N",54,53,98.1,53,"*","*","*","*","*","*","*","*","*","*",2554
"Bethany School District","=""0080011""",06,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
