"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",65,65,100.0,65,22,33.8,21,32.3,14,21.5,8,12.3,22,33.8,2534
"Amistad Academy District","=""2790013""",03,"F",61,61,100.0,61,11,18.0,13,21.3,25,41.0,12,19.7,37,60.7,2447
"Amistad Academy District","=""2790013""",03,"N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"F",63,61,96.8,61,"*","*",21,34.4,17,27.9,"*","*","*","*",2480
"Amistad Academy District","=""2790013""",04,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"R",21,21,100.0,21,0,0.0,"*","*","*","*","*","*","*","*",2547
"Amistad Academy District","=""2790013""",05,"F",69,68,98.6,68,29,42.6,17,25.0,12,17.6,10,14.7,22,32.4,2488
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"F",65,65,100.0,65,15,23.1,25,38.5,16,24.6,9,13.8,25,38.5,2522
"Amistad Academy District","=""2790013""",06,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"F",55,55,100.0,55,17,30.9,14,25.5,15,27.3,9,16.4,24,43.6,2522
"Amistad Academy District","=""2790013""",07,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
