"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","F",33,33,100.0,33,8,24.2,8,24.2,9,27.3,8,24.2,17,51.5,2430
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","M",46,46,100.0,46,17,37.0,10,21.7,12,26.1,7,15.2,19,41.3,2411
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","F",33,33,100.0,33,"*","*",9,27.3,15,45.5,"*","*","*","*",2426
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","M",46,45,97.8,45,"*","*",13,28.9,17,37.8,"*","*","*","*",2444
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","F",45,45,100.0,45,15,33.3,"*","*",13,28.9,"*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","M",35,35,100.0,35,11,31.4,"*","*",11,31.4,"*","*","*","*",2456
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","F",45,45,100.0,45,"*","*",15,33.3,18,40.0,"*","*","*","*",2473
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","M",35,35,100.0,35,"*","*",17,48.6,11,31.4,"*","*","*","*",2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","F",68,68,100.0,68,21,30.9,"*","*",26,38.2,"*","*","*","*",2485
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","M",78,78,100.0,78,40,51.3,"*","*",20,25.6,"*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","F",68,68,100.0,68,38,55.9,20,29.4,"*","*","*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","M",78,78,100.0,78,47,60.3,"*","*","*","*",0,0.0,"*","*",2428
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","F",41,41,100.0,41,"*","*",17,41.5,12,29.3,"*","*","*","*",2528
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","M",38,38,100.0,38,18,47.4,11,28.9,"*","*","*","*",9,23.7,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","F",41,41,100.0,41,22,53.7,12,29.3,"*","*","*","*","*","*",2463
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","M",38,38,100.0,38,25,65.8,"*","*","*","*",0,0.0,"*","*",2415
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","F",32,31,96.9,31,9,29.0,"*","*",13,41.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","M",45,43,95.6,43,13,30.2,"*","*",12,27.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","F",32,31,96.9,31,13,41.9,11,35.5,"*","*","*","*",7,22.6,2501
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","M",45,43,95.6,43,22,51.2,11,25.6,"*","*","*","*",10,23.3,2490
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","F",30,30,100.0,30,"*","*",10,33.3,12,40.0,"*","*","*","*",2546
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","M",29,29,100.0,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","F",30,30,100.0,30,21,70.0,"*","*","*","*",0,0.0,"*","*",2454
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","M",29,29,100.0,28,21,75.0,"*","*","*","*","*","*","*","*",2439
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"ELA","F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2634
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"ELA","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Math","F",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*",2588
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Math","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","F",40,39,97.5,39,"*","*",15,38.5,"*","*",15,38.5,"*","*",2444
"Amistad Academy District","=""2790013""",03,"ELA","M",49,49,100.0,49,"*","*",12,24.5,"*","*",12,24.5,"*","*",2426
"Amistad Academy District","=""2790013""",03,"Math","F",40,39,97.5,39,8,20.5,11,28.2,14,35.9,6,15.4,20,51.3,2435
"Amistad Academy District","=""2790013""",03,"Math","M",49,49,100.0,49,13,26.5,11,22.4,16,32.7,9,18.4,25,51.0,2435
"Amistad Academy District","=""2790013""",04,"ELA","F",40,40,100.0,40,10,25.0,"*","*",10,25.0,"*","*","*","*",2469
