"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Y",90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Y",91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Y",145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Y",57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",65,65,100.0,65,22,33.8,21,32.3,14,21.5,8,12.3,22,33.8,2534
"Amistad Academy District","=""2790013""",03,"Y",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*",2452
"Amistad Academy District","=""2790013""",03,"N",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Y",84,82,97.6,82,"*","*","*","*","*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""",04,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Y",80,79,98.8,79,"*","*","*","*","*","*","*","*","*","*",2496
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Y",78,78,100.0,78,"*","*","*","*","*","*","*","*","*","*",2525
"Amistad Academy District","=""2790013""",06,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2524
"Amistad Academy District","=""2790013""",07,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Y",64,63,98.4,63,"*","*","*","*","*","*","*","*","*","*",2549
"Amistad Academy District","=""2790013""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2474
"Andover School District","=""0010011""",04,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"N",30,30,100.0,30,0,0.0,"*","*","*","*","*","*","*","*",2519
"Andover School District","=""0010011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"N",35,35,100.0,35,0,0.0,"*","*","*","*","*","*","*","*",2613
"Ansonia School District","=""0020011""",03,"Y",124,123,99.2,123,40,32.5,46,37.4,"*","*","*","*",37,30.1,2403
"Ansonia School District","=""0020011""",03,"N",48,46,95.8,46,"*","*",16,34.8,18,39.1,"*","*","*","*",2429
"Ansonia School District","=""0020011""",04,"Y",119,118,99.2,118,40,33.9,49,41.5,"*","*","*","*",29,24.6,2442
"Ansonia School District","=""0020011""",04,"N",47,47,100.0,47,"*","*",20,42.6,16,34.0,"*","*","*","*",2476
"Ansonia School District","=""0020011""",05,"Y",133,133,100.0,133,84,63.2,37,27.8,"*","*","*","*",12,9.0,2429
"Ansonia School District","=""0020011""",05,"N",51,51,100.0,51,17,33.3,16,31.4,"*","*","*","*",18,35.3,2489
"Ansonia School District","=""0020011""",06,"Y",126,122,96.8,122,49,40.2,44,36.1,20,16.4,9,7.4,29,23.8,2483
"Ansonia School District","=""0020011""",06,"N",50,50,100.0,50,11,22.0,18,36.0,11,22.0,10,20.0,21,42.0,2530
"Ansonia School District","=""0020011""",07,"Y",125,117,93.6,117,65,55.6,37,31.6,"*","*","*","*",15,12.8,2472
"Ansonia School District","=""0020011""",07,"N",46,46,100.0,46,13,28.3,21,45.7,"*","*","*","*",12,26.1,2510
"Ansonia School District","=""0020011""",08,"Y",145,143,98.6,143,71,49.7,50,35.0,"*","*","*","*",22,15.4,2498
"Ansonia School District","=""0020011""",08,"N",40,40,100.0,39,14,35.9,13,33.3,"*","*","*","*",12,30.8,2548
"Area Cooperative Educational Services","=""2440014""",03,"Y",56,52,92.9,52,35,67.3,9,17.3,8,15.4,0,0.0,8,15.4,2343
"Area Cooperative Educational Services","=""2440014""",03,"N",33,33,100.0,33,9,27.3,12,36.4,"*","*","*","*",12,36.4,2422
"Area Cooperative Educational Services","=""2440014""",04,"Y",77,74,96.1,74,49,66.2,21,28.4,"*","*","*","*","*","*",2374
"Area Cooperative Educational Services","=""2440014""",04,"N",26,26,100.0,26,8,30.8,8,30.8,"*","*","*","*","*","*",2460
"Area Cooperative Educational Services","=""2440014""",05,"Y",68,66,97.1,66,56,84.8,10,15.2,0,0.0,0,0.0,0,0.0,2391
"Area Cooperative Educational Services","=""2440014""",05,"N",29,29,100.0,29,15,51.7,11,37.9,"*","*","*","*","*","*",2456
"Area Cooperative Educational Services","=""2440014""",06,"Y",231,231,100.0,231,139,60.2,65,28.1,20,8.7,7,3.0,27,11.7,2442
"Area Cooperative Educational Services","=""2440014""",06,"N",119,119,100.0,119,28,23.5,55,46.2,24,20.2,12,10.1,36,30.3,2525
"Area Cooperative Educational Services","=""2440014""",07,"Y",230,222,96.5,222,111,50.0,65,29.3,39,17.6,7,3.2,46,20.7,2479
"Area Cooperative Educational Services","=""2440014""",07,"N",101,101,100.0,101,15,14.9,34,33.7,28,27.7,24,23.8,52,51.5,2572
"Area Cooperative Educational Services","=""2440014""",08,"Y",207,205,99.0,205,140,68.3,46,22.4,"*","*","*","*",19,9.3,2463
"Area Cooperative Educational Services","=""2440014""",08,"N",110,110,100.0,110,33,30.0,"*","*",34,30.9,"*","*","*","*",2563
"Ashford School District","=""0030011""",03,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",04,"N",25,25,100.0,25,0,0.0,"*","*","*","*","*","*","*","*",2526
"Ashford School District","=""0030011""",05,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2504
"Ashford School District","=""0030011""",06,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",06,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*",2512
"Ashford School District","=""0030011""",07,"Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",07,"N",34,34,100.0,34,"*","*","*","*","*","*","*","*","*","*",2585
"Ashford School District","=""0030011""",08,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",03,"Y",35,35,100.0,35,"*","*",10,28.6,8,22.9,"*","*","*","*",2416
"Avon School District","=""0040011""",03,"N",201,201,100.0,201,"*","*",30,14.9,61,30.3,"*","*","*","*",2502
"Avon School District","=""0040011""",04,"Y",26,25,96.2,25,"*","*",8,32.0,9,36.0,"*","*","*","*",2451
"Avon School District","=""0040011""",04,"N",194,193,99.5,193,"*","*",32,16.6,74,38.3,"*","*","*","*",2546
"Avon School District","=""0040011""",05,"Y",39,39,100.0,39,21,53.8,12,30.8,"*","*","*","*",6,15.4,2444
"Avon School District","=""0040011""",05,"N",234,234,100.0,234,14,6.0,54,23.1,"*","*","*","*",166,70.9,2562
"Avon School District","=""0040011""",06,"Y",29,28,96.6,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
"Avon School District","=""0040011""",06,"N",248,247,99.6,247,7,2.8,38,15.4,"*","*","*","*",202,81.8,2613
"Avon School District","=""0040011""",07,"Y",37,37,100.0,37,"*","*",13,35.1,14,37.8,"*","*","*","*",2527
"Avon School District","=""0040011""",07,"N",232,231,99.6,231,"*","*",23,10.0,55,23.8,"*","*","*","*",2657
"Avon School District","=""0040011""",08,"Y",42,41,97.6,41,18,43.9,10,24.4,6,14.6,7,17.1,13,31.7,2537
"Avon School District","=""0040011""",08,"N",231,230,99.6,230,7,3.0,27,11.7,53,23.0,143,62.2,196,85.2,2675
"Barkhamsted School District","=""0050011""",03,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",03,"N",30,29,96.7,29,"*","*","*","*","*","*","*","*","*","*",2431
"Barkhamsted School District","=""0050011""",04,"Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",04,"N",32,30,93.8,30,"*","*","*","*","*","*","*","*","*","*",2478
"Barkhamsted School District","=""0050011""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",37,35,94.6,35,"*","*","*","*","*","*","*","*","*","*",2508
"Barkhamsted School District","=""0050011""",06,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
