"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, English Learner Status"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",520,517,99.4,516,160,31.0,"*","*",158,30.6,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",31,31,100.0,31,19,61.3,"*","*",8,25.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","N",502,500,99.6,500,"*","*",139,27.8,154,30.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Y",42,41,97.6,41,18,43.9,"*","*",10,24.4,"*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",1200,1182,98.5,1182,384,32.5,351,29.7,305,25.8,142,12.0,447,37.8
"Ansonia School District","=""0020011""","Y",25,23,92.0,23,13,56.5,10,43.5,0,0.0,0,0.0,0,0.0
"Area Cooperative Educational Services","=""2440014""","N",1243,1223,98.4,1214,379,31.2,366,30.1,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",54,54,100.0,54,38,70.4,"*","*","*","*",0,0.0,"*","*"
"Ashford School District","=""0030011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",1803,1784,98.9,1782,"*","*",211,11.8,615,34.5,"*","*","*","*"
"Avon School District","=""0040011""","Y",38,28,73.7,27,"*","*",9,33.3,9,33.3,"*","*","*","*"
"Barkhamsted School District","=""0050011""","N",205,198,96.6,197,27,13.7,34,17.3,70,35.5,66,33.5,136,69.0
"Berlin School District","=""0070011""","N",1576,1565,99.3,1530,"*","*",361,23.6,598,39.1,"*","*","*","*"
"Berlin School District","=""0070011""","Y",31,30,96.8,29,11,37.9,9,31.0,"*","*","*","*",9,31.0
"Bethany School District","=""0080011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",1486,1473,99.1,1472,150,10.2,302,20.5,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",40,34,85.0,34,13,38.2,17,50.0,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",891,868,97.4,868,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y",16,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",1560,1525,97.8,1525,"*","*",348,22.8,549,36.0,"*","*","*","*"
"Branford School District","=""0140011""","Y",52,46,88.5,46,22,47.8,16,34.8,"*","*","*","*",8,17.4
"Bridgeport Achievement First District","=""2850013""","N",503,503,100.0,503,171,34.0,145,28.8,"*","*","*","*",187,37.2
"Bridgeport Achievement First District","=""2850013""","Y",61,61,100.0,61,25,41.0,19,31.1,"*","*","*","*",17,27.9
"Bridgeport School District","=""0150011""","N",9053,8676,95.8,8644,3873,44.8,2464,28.5,1805,20.9,502,5.8,2307,26.7
"Bridgeport School District","=""0150011""","Y",1408,1266,89.9,1261,990,78.5,224,17.8,47,3.7,0,0.0,47,3.7
"Bristol School District","=""0170011""","N",4072,4022,98.8,4020,820,20.4,1066,26.5,"*","*","*","*","*","*"
"Bristol School District","=""0170011""","Y",135,117,86.7,115,77,67.0,"*","*","*","*",0,0.0,"*","*"
"Brookfield School District","=""0180011""","N",1487,1418,95.4,1411,"*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Y",23,20,87.0,19,"*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",312,309,99.0,309,52,16.8,94,30.4,113,36.6,50,16.2,163,52.8
"Canton School District","=""0230011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",3384,3236,95.6,3224,"*","*",797,24.7,1030,31.9,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",115,112,97.4,112,67,59.8,33,29.5,"*","*","*","*",12,10.7
"Chaplin School District","=""0240011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N",2503,2469,98.6,2468,"*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N",137,137,100.0,137,8,5.8,13,9.5,49,35.8,67,48.9,116,84.7
"Clinton School District","=""0270011""","N",1030,1008,97.9,1008,"*","*",214,21.2,"*","*",306,30.4,"*","*"
"Clinton School District","=""0270011""","Y",27,24,88.9,24,16,66.7,"*","*","*","*",0,0.0,"*","*"
"Colchester School District","=""0280011""","N",1409,1392,98.8,1392,"*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Y",14,14,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",52,48,92.3,48,"*","*","*","*",15,31.3,23,47.9,38,79.2
"Columbia School District","=""0300011""","N",296,288,97.3,288,35,12.2,66,22.9,107,37.2,80,27.8,187,64.9
"Common Ground High School District","=""2680013""","N",32,32,100.0,32,9,28.1,8,25.0,9,28.1,6,18.8,15,46.9
"Connecticut Technical High School System","=""9000016""","N",2430,2343,96.4,2342,432,18.4,787,33.6,876,37.4,247,10.5,1123,48.0
"Connecticut Technical High School System","=""9000016""","Y",93,92,98.9,92,40,43.5,42,45.7,10,10.9,0,0.0,10,10.9
"Cooperative Educational Services","=""2430014""","N",359,355,98.9,355,114,32.1,95,26.8,95,26.8,51,14.4,146,41.1
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",882,849,96.3,848,102,12.0,172,20.3,349,41.2,225,26.5,574,67.7
"Cromwell School District","=""0330011""","N",1048,1044,99.6,1044,132,12.6,"*","*",392,37.5,"*","*","*","*"
"Cromwell School District","=""0330011""","Y",23,23,100.0,23,10,43.5,"*","*",6,26.1,"*","*","*","*"
"Danbury School District","=""0340011""","N",4531,3912,86.3,3894,"*","*",1026,26.3,1401,36.0,"*","*","*","*"
"Danbury School District","=""0340011""","Y",1076,859,79.8,854,466,54.6,288,33.7,"*","*","*","*",100,11.7
"Darien School District","=""0350011""","N",2611,2538,97.2,2524,"*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Deep River School District","=""0360011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","N",745,738,99.1,735,208,28.3,207,28.2,"*","*","*","*","*","*"
"Derby School District","=""0370011""","Y",33,30,90.9,29,20,69.0,"*","*","*","*",0,0.0,"*","*"
"East Granby School District","=""0400011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",601,583,97.0,582,74,12.7,100,17.2,235,40.4,173,29.7,408,70.1
"East Hampton School District","=""0420011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",3125,3069,98.2,3064,1105,36.1,857,28.0,"*","*","*","*",1102,36.0
"East Hartford School District","=""0430011""","Y",347,320,92.2,319,212,66.5,90,28.2,"*","*","*","*",17,5.3
"East Haven School District","=""0440011""","N",1444,1427,98.8,1425,"*","*",397,27.9,472,33.1,"*","*","*","*"
"East Haven School District","=""0440011""","Y",127,118,92.9,118,69,58.5,35,29.7,"*","*","*","*",14,11.9
"East Lyme School District","=""0450011""","N",1443,1413,97.9,1413,"*","*",196,13.9,526,37.2,"*","*","*","*"
"East Lyme School District","=""0450011""","Y",24,24,100.0,24,"*","*",9,37.5,8,33.3,"*","*","*","*"
"East Windsor School District","=""0470011""","N",528,524,99.2,521,"*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","N",84,84,100.0,84,6,7.1,13,15.5,35,41.7,30,35.7,65,77.4
"Easton School District","=""0460011""","N",629,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","N",13,8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","N",1440,1418,98.5,1401,"*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",16,14,"*",14,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","N",340,340,100.0,340,"*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","N",2546,2512,98.7,2507,412,16.4,704,28.1,955,38.1,436,17.4,1391,55.5
"Enfield School District","=""0490011""","Y",39,38,97.4,38,24,63.2,8,21.1,6,15.8,0,0.0,6,15.8
"Essex School District","=""0500011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","N",5469,5359,98.0,5355,"*","*",893,16.7,2100,39.2,"*","*","*","*"
"Fairfield School District","=""0510011""","Y",117,113,96.6,113,56,49.6,37,32.7,"*","*","*","*",20,17.7
"Farmington School District","=""0520011""","N",2136,2092,97.9,2089,154,7.4,292,14.0,"*","*","*","*",1643,78.7
"Farmington School District","=""0520011""","Y",34,27,79.4,27,11,40.7,6,22.2,"*","*","*","*",10,37.0
"Franklin School District","=""0530011""","N",111,109,98.2,109,16,14.7,19,17.4,45,41.3,29,26.6,74,67.9
"Glastonbury School District","=""0540011""","N",3404,3375,99.1,3372,"*","*",525,15.6,1247,37.0,"*","*","*","*"
"Glastonbury School District","=""0540011""","Y",36,35,97.2,35,15,42.9,10,28.6,"*","*","*","*",10,28.6
"Granby School District","=""0560011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Great Oaks Charter School District","=""2940013""","N",101,99,98.0,99,"*","*","*","*","*","*",0,0.0,"*","*"
"Great Oaks Charter School District","=""2940013""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",4329,4302,99.4,4301,291,6.8,568,13.2,1458,33.9,1984,46.1,3442,80.0
"Greenwich School District","=""0570011""","Y",276,232,84.1,230,68,29.6,79,34.3,61,26.5,22,9.6,83,36.1
"Griswold School District","=""0580011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","N",2149,1989,92.6,1988,427,21.5,487,24.5,"*","*","*","*","*","*"
"Groton School District","=""0590011""","Y",72,57,79.2,57,41,71.9,"*","*","*","*",0,0.0,"*","*"
"Guilford School District","=""0600011""","N",1848,1839,99.5,1839,110,6.0,248,13.5,"*","*","*","*",1481,80.5
"Guilford School District","=""0600011""","Y",22,21,95.5,21,6,28.6,9,42.9,"*","*","*","*",6,28.6
"Hamden School District","=""0620011""","N",2716,2580,95.0,2578,"*","*",626,24.3,812,31.5,"*","*","*","*"
"Hamden School District","=""0620011""","Y",126,114,90.5,114,63,55.3,34,29.8,"*","*","*","*",17,14.9
"Hampton School District","=""0630011""","N",47,44,93.6,44,10,22.7,6,13.6,15,34.1,13,29.5,28,63.6
"Hartford School District","=""0640011""","N",8757,8214,93.8,8178,3381,41.3,2287,28.0,"*","*","*","*",2510,30.7
"Hartford School District","=""0640011""","Y",1822,1563,85.8,1538,1170,76.1,281,18.3,"*","*","*","*",87,5.7
"Hartland School District","=""0650011""","N",137,135,98.5,135,25,18.5,37,27.4,51,37.8,22,16.3,73,54.1
"Hebron School District","=""0670011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","N",212,212,100.0,212,43,20.3,86,40.6,66,31.1,17,8.0,83,39.2
"Integrated Day Charter School District","=""2640013""","N",188,187,99.5,185,"*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","N",222,220,99.1,220,59,26.8,73,33.2,"*","*","*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Y",31,31,100.0,31,19,61.3,"*","*","*","*",0,0.0,"*","*"
"Jumoke Academy District","=""2610013""","N",427,425,99.5,425,124,29.2,141,33.2,111,26.1,49,11.5,160,37.6
"Kent School District","=""0680011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
