"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"F",14205,14090,99.2,14074,6948,49.4,4012,28.5,2460,17.5,654,4.6,3114,22.1,2381
"State of Connecticut",03,"N",22861,22511,98.5,22501,3008,13.4,4971,22.1,8398,37.3,6124,27.2,14522,64.5,2457
"State of Connecticut",03,"R",1688,1675,99.2,1674,514,30.7,541,32.3,451,26.9,168,10.0,619,37.0,2413
"State of Connecticut",04,"F",13556,13412,98.9,13402,5953,44.4,4981,37.2,1945,14.5,523,3.9,2468,18.4,2421
"State of Connecticut",04,"N",23963,23646,98.7,23640,2614,11.1,7012,29.7,8209,34.7,5805,24.6,14014,59.3,2499
"State of Connecticut",04,"R",1801,1787,99.2,1786,447,25.0,753,42.2,445,24.9,141,7.9,586,32.8,2455
"State of Connecticut",05,"F",13237,13107,99.0,13094,7786,59.5,3576,27.3,1228,9.4,504,3.8,1732,13.2,2439
"State of Connecticut",05,"N",24446,24106,98.6,24090,4507,18.7,7452,30.9,5940,24.7,6191,25.7,12131,50.4,2524
"State of Connecticut",05,"R",1868,1860,99.6,1858,744,40.0,654,35.2,302,16.3,158,8.5,460,24.8,2476
"State of Connecticut",06,"F",13072,12906,98.7,12888,7380,57.3,3768,29.2,1326,10.3,414,3.2,1740,13.5,2450
"State of Connecticut",06,"N",25461,25014,98.2,24998,4473,17.9,7928,31.7,6700,26.8,5897,23.6,12597,50.4,2547
"State of Connecticut",06,"R",2006,1984,98.9,1984,740,37.3,766,38.6,337,17.0,141,7.1,478,24.1,2491
"State of Connecticut",07,"F",12863,12591,97.9,12567,7117,56.6,3624,28.8,1336,10.6,490,3.9,1826,14.5,2465
"State of Connecticut",07,"N",25142,24563,97.7,24529,4583,18.7,7220,29.4,6875,28.0,5851,23.9,12726,51.9,2565
"State of Connecticut",07,"R",1944,1907,98.1,1904,709,37.2,710,37.3,344,18.1,141,7.4,485,25.5,2507
"State of Connecticut",08,"F",12799,12430,97.1,12404,7893,63.6,2921,23.5,1131,9.1,459,3.7,1590,12.8,2471
"State of Connecticut",08,"N",26253,25508,97.2,25480,6089,23.9,6826,26.8,6055,23.8,6510,25.5,12565,49.3,2578
"State of Connecticut",08,"R",1930,1882,97.5,1878,910,48.5,566,30.1,267,14.2,135,7.2,402,21.4,2508
"State of Connecticut",11,"F",10726,8683,81.0,8645,6264,72.5,1576,18.2,660,7.6,145,1.7,805,9.3,2484
"State of Connecticut",11,"N",27306,22071,80.8,21962,7765,35.4,5493,25.0,5200,23.7,3504,16.0,8704,39.6,2588
"State of Connecticut",11,"R",1833,1574,85.9,1570,894,56.9,381,24.3,209,13.3,86,5.5,295,18.8,2523

