"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"F",33,33,100.0,33,8,24.2,8,24.2,9,27.3,8,24.2,17,51.5,2430
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"M",46,46,100.0,46,17,37.0,10,21.7,12,26.1,7,15.2,19,41.3,2411
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"F",45,45,100.0,45,15,33.3,"*","*",13,28.9,"*","*","*","*",2459
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"M",35,35,100.0,35,11,31.4,"*","*",11,31.4,"*","*","*","*",2456
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",68,68,100.0,68,21,30.9,"*","*",26,38.2,"*","*","*","*",2485
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"M",78,78,100.0,78,40,51.3,"*","*",20,25.6,"*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"F",41,41,100.0,41,"*","*",17,41.5,12,29.3,"*","*","*","*",2528
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"M",38,38,100.0,38,18,47.4,11,28.9,"*","*","*","*",9,23.7,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"F",32,31,96.9,31,9,29.0,"*","*",13,41.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"M",45,43,95.6,43,13,30.2,"*","*",12,27.9,"*","*","*","*",2527
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",30,30,100.0,30,"*","*",10,33.3,12,40.0,"*","*","*","*",2546
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"M",29,29,100.0,28,12,42.9,9,32.1,"*","*","*","*",7,25.0,2502
