"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades Combined, High Needs (F/R, EL or"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Amistad Academy District","=""2790013""","Y",419,416,99.3,416,103,24.8,113,27.2,126,30.3,74,17.8,200,48.1
"Amistad Academy District","=""2790013""","N",125,125,100.0,125,24,19.2,36,28.8,38,30.4,27,21.6,65,52.0
"Andover School District","=""0010011""","Y",32,30,93.8,30,"*","*","*","*",8,26.7,10,33.3,18,60.0
"Andover School District","=""0010011""","N",135,133,98.5,133,"*","*","*","*",35,26.3,77,57.9,112,84.2
"Ansonia School District","=""0020011""","Y",863,851,98.6,851,324,38.1,281,33.0,181,21.3,65,7.6,246,28.9
"Ansonia School District","=""0020011""","N",362,354,97.8,354,73,20.6,80,22.6,124,35.0,77,21.8,201,56.8
"Area Cooperative Educational Services","=""2440014""","Y",819,800,97.7,792,348,43.9,247,31.2,167,21.1,30,3.8,197,24.9
"Area Cooperative Educational Services","=""2440014""","N",478,477,99.8,476,69,14.5,132,27.7,188,39.5,87,18.3,275,57.8
"Ashford School District","=""0030011""","Y",102,102,100.0,102,"*","*",35,34.3,20,19.6,"*","*","*","*"
"Ashford School District","=""0030011""","N",151,150,99.3,150,"*","*","*","*",64,42.7,52,34.7,116,77.3
"Avon School District","=""0040011""","Y",249,236,94.8,234,63,26.9,77,32.9,71,30.3,23,9.8,94,40.2
"Avon School District","=""0040011""","N",1592,1576,99.0,1575,38,2.4,143,9.1,553,35.1,841,53.4,1394,88.5
"Barkhamsted School District","=""0050011""","Y",42,40,95.2,40,20,50.0,11,27.5,"*","*","*","*",9,22.5
"Barkhamsted School District","=""0050011""","N",163,158,96.9,157,"*","*",23,14.6,"*","*",60,38.2,"*","*"
"Berlin School District","=""0070011""","Y",347,338,97.4,323,126,39.0,101,31.3,74,22.9,22,6.8,96,29.7
"Berlin School District","=""0070011""","N",1260,1257,99.8,1236,101,8.2,269,21.8,532,43.0,334,27.0,866,70.1
"Bethany School District","=""0080011""","Y",46,44,95.7,43,21,48.8,12,27.9,10,23.3,0,0.0,10,23.3
"Bethany School District","=""0080011""","N",194,190,97.9,190,8,4.2,34,17.9,63,33.2,85,44.7,148,77.9
"Bethel School District","=""0090011""","Y",415,399,96.1,398,98,24.6,140,35.2,111,27.9,49,12.3,160,40.2
"Bethel School District","=""0090011""","N",1111,1108,99.7,1108,65,5.9,179,16.2,455,41.1,409,36.9,864,78.0
"Bloomfield School District","=""0110011""","Y",509,492,96.7,492,140,28.5,162,32.9,147,29.9,43,8.7,190,38.6
"Bloomfield School District","=""0110011""","N",398,386,97.0,386,50,13.0,106,27.5,156,40.4,74,19.2,230,59.6
"Bolton School District","=""0120011""","Y",108,106,98.1,105,33,31.4,20,19.0,36,34.3,16,15.2,52,49.5
"Bolton School District","=""0120011""","N",341,337,98.8,337,13,3.9,47,13.9,130,38.6,147,43.6,277,82.2
"Bozrah School District","=""0130011""","Y",38,38,100.0,38,19,50.0,10,26.3,"*","*","*","*",9,23.7
"Bozrah School District","=""0130011""","N",91,91,100.0,91,"*","*",23,25.3,34,37.4,"*","*","*","*"
"Branford School District","=""0140011""","Y",546,527,96.5,527,181,34.3,162,30.7,133,25.2,51,9.7,184,34.9
"Branford School District","=""0140011""","N",1066,1044,97.9,1044,97,9.3,202,19.3,423,40.5,322,30.8,745,71.4
"Bridgeport Achievement First District","=""2850013""","Y",476,476,100.0,476,172,36.1,139,29.2,110,23.1,55,11.6,165,34.7
"Bridgeport Achievement First District","=""2850013""","N",88,88,100.0,88,24,27.3,25,28.4,21,23.9,18,20.5,39,44.3
"Bridgeport School District","=""0150011""","Y",10461,9942,95.0,9905,4863,49.1,2688,27.1,1852,18.7,502,5.1,2354,23.8
"Bristol School District","=""0170011""","Y",2236,2180,97.5,2176,758,34.8,655,30.1,593,27.3,170,7.8,763,35.1
"Bristol School District","=""0170011""","N",1971,1959,99.4,1959,139,7.1,445,22.7,831,42.4,544,27.8,1375,70.2
"Brookfield School District","=""0180011""","Y",293,275,93.9,271,87,32.1,83,30.6,61,22.5,40,14.8,101,37.3
"Brookfield School District","=""0180011""","N",1217,1163,95.6,1159,76,6.6,179,15.4,479,41.3,425,36.7,904,78.0
"Brooklyn School District","=""0190011""","Y",181,174,96.1,174,38,21.8,60,34.5,56,32.2,20,11.5,76,43.7
"Brooklyn School District","=""0190011""","N",364,362,99.5,362,17,4.7,59,16.3,148,40.9,138,38.1,286,79.0
"Canaan School District","=""0210011""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N",37,36,97.3,36,0,0.0,"*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Y",102,101,99.0,101,27,26.7,42,41.6,22,21.8,10,9.9,32,31.7
"Canterbury School District","=""0220011""","N",210,208,99.0,208,25,12.0,52,25.0,91,43.8,40,19.2,131,63.0
"Canton School District","=""0230011""","Y",158,158,100.0,158,44,27.8,55,34.8,45,28.5,14,8.9,59,37.3
"Canton School District","=""0230011""","N",746,742,99.5,742,35,4.7,91,12.3,291,39.2,325,43.8,616,83.0
"Capitol Region Education Council","=""2410014""","Y",1943,1845,95.0,1838,708,38.5,527,28.7,476,25.9,127,6.9,603,32.8
"Capitol Region Education Council","=""2410014""","N",1556,1503,96.6,1498,152,10.1,303,20.2,565,37.7,478,31.9,1043,69.6
"Chaplin School District","=""0240011""","Y",34,29,85.3,29,"*","*","*","*",6,20.7,"*","*","*","*"
"Chaplin School District","=""0240011""","N",41,29,70.7,29,"*","*","*","*",6,20.7,"*","*","*","*"
"Cheshire School District","=""0250011""","Y",393,380,96.7,380,101,26.6,118,31.1,107,28.2,54,14.2,161,42.4
"Cheshire School District","=""0250011""","N",2130,2107,98.9,2106,71,3.4,248,11.8,827,39.3,960,45.6,1787,84.9
"Chester School District","=""0260011""","Y",42,42,100.0,42,"*","*","*","*",20,47.6,7,16.7,27,64.3
"Chester School District","=""0260011""","N",95,95,100.0,95,"*","*","*","*",29,30.5,60,63.2,89,93.7
