"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","F",48,47,97.9,47,12,25.5,11,23.4,11,23.4,13,27.7,24,51.1,2422
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","M",42,42,100.0,42,12,28.6,11,26.2,10,23.8,9,21.4,19,45.2,2423
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","F",48,48,100.0,48,"*","*",15,31.3,14,29.2,"*","*","*","*",2445
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","M",42,40,95.2,40,"*","*","*","*",10,25.0,16,40.0,26,65.0,2462
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","F",43,43,100.0,43,6,14.0,9,20.9,12,27.9,16,37.2,28,65.1,2494
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","M",48,48,100.0,48,18,37.5,7,14.6,11,22.9,12,25.0,23,47.9,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","F",43,43,100.0,43,7,16.3,19,44.2,9,20.9,8,18.6,17,39.5,2470
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","M",48,47,97.9,47,11,23.4,13,27.7,10,21.3,13,27.7,23,48.9,2487
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","F",80,80,100.0,80,28,35.0,19,23.8,24,30.0,9,11.3,33,41.3,2478
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","M",64,64,100.0,64,29,45.3,18,28.1,10,15.6,7,10.9,17,26.6,2452
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","F",80,79,98.8,79,34,43.0,33,41.8,"*","*","*","*",12,15.2,2462
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","M",64,64,100.0,63,36,57.1,16,25.4,"*","*","*","*",11,17.5,2442
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","F",63,63,100.0,63,15,23.8,12,19.0,27,42.9,9,14.3,36,57.1,2532
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","M",82,81,98.8,81,27,33.3,27,33.3,19,23.5,8,9.9,27,33.3,2496
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","F",63,62,98.4,62,28,45.2,18,29.0,"*","*","*","*",16,25.8,2481
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","M",82,81,98.8,81,41,50.6,27,33.3,"*","*","*","*",13,16.0,2466
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","F",32,32,100.0,32,"*","*",11,34.4,13,40.6,"*","*","*","*",2558
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","M",25,25,100.0,25,"*","*","*","*",8,32.0,0,0.0,8,32.0,2497
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","F",32,32,100.0,32,14,43.8,11,34.4,"*","*","*","*","*","*",2484
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","M",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*",2450
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","F",30,30,100.0,30,"*","*",11,36.7,11,36.7,"*","*","*","*",2578
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","M",35,34,97.1,34,"*","*",11,32.4,9,26.5,"*","*","*","*",2576
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","F",30,30,100.0,30,10,33.3,10,33.3,"*","*","*","*",10,33.3,2535
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","M",35,35,100.0,35,12,34.3,11,31.4,"*","*","*","*",12,34.3,2534
"Amistad Academy District","=""2790013""",03,"ELA","F",50,50,100.0,50,"*","*","*","*",20,40.0,16,32.0,36,72.0,2466
"Amistad Academy District","=""2790013""",03,"ELA","M",41,40,97.6,40,"*","*",12,30.0,12,30.0,"*","*","*","*",2449
"Amistad Academy District","=""2790013""",03,"Math","F",50,50,100.0,50,"*","*",12,24.0,18,36.0,"*","*","*","*",2451
"Amistad Academy District","=""2790013""",03,"Math","M",41,40,97.6,40,"*","*","*","*",16,40.0,12,30.0,28,70.0,2465
"Amistad Academy District","=""2790013""",04,"ELA","F",44,43,97.7,43,12,27.9,7,16.3,10,23.3,14,32.6,24,55.8,2487
"Amistad Academy District","=""2790013""",04,"ELA","M",48,48,100.0,48,12,25.0,10,20.8,12,25.0,14,29.2,26,54.2,2480
"Amistad Academy District","=""2790013""",04,"Math","F",44,43,97.7,43,7,16.3,13,30.2,12,27.9,11,25.6,23,53.5,2498
"Amistad Academy District","=""2790013""",04,"Math","M",48,47,97.9,47,6,12.8,15,31.9,14,29.8,12,25.5,26,55.3,2499
"Amistad Academy District","=""2790013""",05,"ELA","F",48,48,100.0,48,"*","*",14,29.2,22,45.8,"*","*","*","*",2523
"Amistad Academy District","=""2790013""",05,"ELA","M",46,45,97.8,45,"*","*",8,17.8,16,35.6,"*","*","*","*",2495
"Amistad Academy District","=""2790013""",05,"Math","F",48,48,100.0,48,15,31.3,16,33.3,8,16.7,9,18.8,17,35.4,2503
"Amistad Academy District","=""2790013""",05,"Math","M",46,45,97.8,45,19,42.2,11,24.4,6,13.3,9,20.0,15,33.3,2489
"Amistad Academy District","=""2790013""",06,"ELA","F",40,40,100.0,40,"*","*",12,30.0,23,57.5,"*","*","*","*",2543
"Amistad Academy District","=""2790013""",06,"ELA","M",50,50,100.0,50,"*","*",16,32.0,"*","*",0,0.0,"*","*",2489
"Amistad Academy District","=""2790013""",06,"Math","F",40,40,100.0,40,"*","*",19,47.5,"*","*",10,25.0,"*","*",2557
"Amistad Academy District","=""2790013""",06,"Math","M",50,50,100.0,50,"*","*",18,36.0,11,22.0,"*","*","*","*",2512
"Amistad Academy District","=""2790013""",07,"ELA","F",46,46,100.0,46,"*","*",14,30.4,17,37.0,"*","*","*","*",2553
"Amistad Academy District","=""2790013""",07,"ELA","M",43,43,100.0,43,13,30.2,"*","*",17,39.5,"*","*","*","*",2530
