"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Gender"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","F",296,295,99.7,295,68,23.1,73,24.7,98,33.2,56,19.0,154,52.2
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","M",296,294,99.3,294,102,34.7,82,27.9,67,22.8,43,14.6,110,37.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","F",296,294,99.3,294,102,34.7,106,36.1,53,18.0,33,11.2,86,29.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","M",296,292,98.6,291,120,41.2,83,28.5,44,15.1,44,15.1,88,30.2
"Amistad Academy District","=""2790013""","ELA","F",267,266,99.6,266,37,13.9,68,25.6,111,41.7,50,18.8,161,60.5
"Amistad Academy District","=""2790013""","ELA","M",271,268,98.9,268,72,26.9,66,24.6,88,32.8,42,15.7,130,48.5
"Amistad Academy District","=""2790013""","Math","F",267,266,99.6,266,50,18.8,89,33.5,73,27.4,54,20.3,127,47.7
"Amistad Academy District","=""2790013""","Math","M",271,267,98.5,267,69,25.8,72,27.0,66,24.7,60,22.5,126,47.2
"Andover School District","=""0010011""","ELA","F",75,74,98.7,74,"*","*","*","*",19,25.7,41,55.4,60,81.1
"Andover School District","=""0010011""","ELA","M",84,82,97.6,82,"*","*","*","*",26,31.7,31,37.8,57,69.5
"Andover School District","=""0010011""","Math","F",75,74,98.7,74,"*","*","*","*",24,32.4,30,40.5,54,73.0
"Andover School District","=""0010011""","Math","M",84,82,97.6,82,"*","*","*","*",30,36.6,29,35.4,59,72.0
"Ansonia School District","=""0020011""","ELA","F",518,508,98.1,508,154,30.3,162,31.9,133,26.2,59,11.6,192,37.8
"Ansonia School District","=""0020011""","ELA","M",536,529,98.7,529,235,44.4,132,25.0,116,21.9,46,8.7,162,30.6
"Ansonia School District","=""0020011""","Math","F",518,508,98.1,507,203,40.0,189,37.3,94,18.5,21,4.1,115,22.7
"Ansonia School District","=""0020011""","Math","M",536,528,98.5,528,215,40.7,178,33.7,81,15.3,54,10.2,135,25.6
"Area Cooperative Educational Services","=""2440014""","ELA","F",583,582,99.8,582,169,29.0,156,26.8,178,30.6,79,13.6,257,44.2
"Area Cooperative Educational Services","=""2440014""","ELA","M",704,693,98.4,692,311,44.9,163,23.6,153,22.1,65,9.4,218,31.5
"Area Cooperative Educational Services","=""2440014""","Math","F",583,580,99.5,580,259,44.7,190,32.8,93,16.0,38,6.6,131,22.6
