"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, Math, All Grades, Special Education Status (SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",34221,33875,99.0,33862,7603,22.5,8650,25.5,10812,31.9,6797,20.1,17609,52.0,2437
"State of Connecticut",03,"Y",4533,4401,97.1,4387,2867,65.4,874,19.9,497,11.3,149,3.4,646,14.7,2350
"State of Connecticut",04,"N",34485,34143,99.0,34134,6088,17.8,11506,33.7,10205,29.9,6335,18.6,16540,48.5,2481
"State of Connecticut",04,"Y",4835,4702,97.2,4694,2926,62.3,1240,26.4,394,8.4,134,2.9,528,11.2,2392
"State of Connecticut",05,"N",34447,34105,99.0,34081,9347,27.4,10771,31.6,7222,21.2,6741,19.8,13963,41.0,2505
"State of Connecticut",05,"Y",5104,4968,97.3,4961,3690,74.4,911,18.4,248,5.0,112,2.3,360,7.3,2409
"State of Connecticut",06,"N",35315,34847,98.7,34828,8815,25.3,11537,33.1,8124,23.3,6352,18.2,14476,41.6,2529
"State of Connecticut",06,"Y",5224,5057,96.8,5042,3778,74.9,925,18.3,239,4.7,100,2.0,339,6.7,2408
"State of Connecticut",07,"N",34742,34081,98.1,34044,8683,25.5,10657,31.3,8324,24.5,6380,18.7,14704,43.2,2546
"State of Connecticut",07,"Y",5207,4980,95.6,4956,3726,75.2,897,18.1,231,4.7,102,2.1,333,6.7,2421
"State of Connecticut",08,"N",35722,34884,97.7,34842,10960,31.5,9607,27.6,7263,20.8,7012,20.1,14275,41.0,2557
"State of Connecticut",08,"Y",5260,4936,93.8,4920,3932,79.9,706,14.3,190,3.9,92,1.9,282,5.7,2429
"State of Connecticut",11,"N",35412,28896,81.6,28780,12068,41.9,7078,24.6,5944,20.7,3690,12.8,9634,33.5,2570
"State of Connecticut",11,"Y",4453,3432,77.1,3397,2855,84.0,372,11.0,125,3.7,45,1.3,170,5.0,2447

