"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""",04,80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""",05,146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""",06,79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*","*","*",2440
"Achievement First Hartford Academy Inc. District","=""2880013""",07,77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""",08,59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""",11,31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""",03,89,88,98.9,88,21,23.9,22,25.0,30,34.1,15,17.0,45,51.1,2435
"Amistad Academy District","=""2790013""",04,76,76,100.0,76,11,14.5,30,39.5,19,25.0,16,21.1,35,46.1,2485
"Amistad Academy District","=""2790013""",05,90,88,97.8,88,42,47.7,37,42.0,"*","*","*","*",9,10.2,2454
"Amistad Academy District","=""2790013""",06,99,99,100.0,99,31,31.3,32,32.3,27,27.3,9,9.1,36,36.4,2507
"Amistad Academy District","=""2790013""",07,78,78,100.0,78,30,38.5,28,35.9,"*","*","*","*",20,25.6,2506
"Amistad Academy District","=""2790013""",08,79,79,100.0,79,24,30.4,22,27.8,11,13.9,22,27.8,33,41.8,2556
"Amistad Academy District","=""2790013""",11,33,32,97.0,32,10,31.3,14,43.8,"*","*","*","*",8,25.0,2581
"Andover School District","=""0010011""",03,35,35,100.0,35,0,0.0,6,17.1,20,57.1,9,25.7,29,82.9,2474
"Andover School District","=""0010011""",04,43,42,97.7,42,0,0.0,10,23.8,14,33.3,18,42.9,32,76.2,2533
"Andover School District","=""0010011""",05,48,48,100.0,48,"*","*",16,33.3,"*","*",20,41.7,"*","*",2546
"Andover School District","=""0010011""",06,41,40,97.6,40,"*","*",9,22.5,"*","*",20,50.0,"*","*",2600
"Ansonia School District","=""0020011""",03,175,175,100.0,175,56,32.0,53,30.3,53,30.3,13,7.4,66,37.7,2412
"Ansonia School District","=""0020011""",04,189,188,99.5,188,54,28.7,104,55.3,21,11.2,9,4.8,30,16.0,2436
"Ansonia School District","=""0020011""",05,175,175,100.0,175,91,52.0,68,38.9,10,5.7,6,3.4,16,9.1,2447
"Ansonia School District","=""0020011""",06,173,173,100.0,173,80,46.2,59,34.1,23,13.3,11,6.4,34,19.7,2473
"Ansonia School District","=""0020011""",07,187,183,97.9,183,78,42.6,71,38.8,22,12.0,12,6.6,34,18.6,2495
"Ansonia School District","=""0020011""",08,211,207,98.1,207,124,59.9,58,28.0,19,9.2,6,2.9,25,12.1,2478
"Ansonia School District","=""0020011""",11,116,106,91.4,106,50,47.2,26,24.5,18,17.0,12,11.3,30,28.3,2558
"Area Cooperative Educational Services","=""2440014""",03,99,98,99.0,98,62,63.3,"*","*",11,11.2,"*","*","*","*",2359
"Area Cooperative Educational Services","=""2440014""",04,97,93,95.9,93,"*","*",34,36.6,"*","*",0,0.0,"*","*",2392
"Area Cooperative Educational Services","=""2440014""",05,95,94,98.9,94,59,62.8,28,29.8,"*","*","*","*","*","*",2423
"Area Cooperative Educational Services","=""2440014""",06,341,339,99.4,337,159,47.2,120,35.6,43,12.8,15,4.5,58,17.2,2466
"Area Cooperative Educational Services","=""2440014""",07,333,326,97.9,326,158,48.5,97,29.8,53,16.3,18,5.5,71,21.8,2483
"Area Cooperative Educational Services","=""2440014""",08,312,308,98.7,307,151,49.2,73,23.8,50,16.3,33,10.7,83,27.0,2513
"Area Cooperative Educational Services","=""2440014""",11,21,17,81.0,17,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",03,44,43,97.7,43,"*","*","*","*",18,41.9,11,25.6,29,67.4,2447
"Ashford School District","=""0030011""",04,42,41,97.6,41,0,0.0,10,24.4,16,39.0,15,36.6,31,75.6,2528
"Ashford School District","=""0030011""",05,38,38,100.0,38,18,47.4,11,28.9,"*","*","*","*",9,23.7,2468
"Ashford School District","=""0030011""",06,49,48,98.0,48,21,43.8,18,37.5,9,18.8,0,0.0,9,18.8,2488
"Ashford School District","=""0030011""",07,31,31,100.0,31,"*","*",11,35.5,10,32.3,"*","*","*","*",2563
"Ashford School District","=""0030011""",08,49,48,98.0,47,18,38.3,17,36.2,"*","*","*","*",12,25.5,2529
