"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Y",453,449,99.1,449,108,24.1,133,29.6,125,27.8,83,18.5,208,46.3
"Amistad Academy District","=""2790013""","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Andover School District","=""0010011""","Y",25,23,92.0,23,"*","*",8,34.8,7,30.4,"*","*","*","*"
"Andover School District","=""0010011""","N",134,133,99.3,133,"*","*","*","*",47,35.3,53,39.8,100,75.2
"Ansonia School District","=""0020011""","Y",726,711,97.9,711,318,44.7,251,35.3,108,15.2,34,4.8,142,20.0
"Ansonia School District","=""0020011""","N",328,325,99.1,324,100,30.9,116,35.8,67,20.7,41,12.7,108,33.3
"Area Cooperative Educational Services","=""2440014""","Y",827,811,98.1,811,500,61.7,211,26.0,82,10.1,18,2.2,100,12.3
"Area Cooperative Educational Services","=""2440014""","N",460,457,99.3,457,138,30.2,150,32.8,105,23.0,64,14.0,169,37.0
"Ashford School District","=""0030011""","Y",79,78,98.7,78,26,33.3,22,28.2,22,28.2,8,10.3,30,38.5
"Ashford School District","=""0030011""","N",154,154,100.0,154,22,14.3,49,31.8,51,33.1,32,20.8,83,53.9
"Avon School District","=""0040011""","Y",79,79,100.0,79,31,39.2,22,27.8,16,20.3,10,12.7,26,32.9
"Avon School District","=""0040011""","N",1469,1462,99.5,1462,84,5.7,244,16.7,424,29.0,710,48.6,1134,77.6
"Barkhamsted School District","=""0050011""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",158,151,95.6,151,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",165,164,99.4,163,63,38.7,61,37.4,29,17.8,10,6.1,39,23.9
"Berlin School District","=""0070011""","N",1154,1146,99.3,1145,162,14.1,324,28.3,348,30.4,311,27.2,659,57.6
"Bethany School District","=""0080011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",215,207,96.3,207,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",291,289,99.3,289,77,26.6,104,36.0,71,24.6,37,12.8,108,37.4
"Bethel School District","=""0090011""","N",1038,1029,99.1,1029,108,10.5,298,29.0,320,31.1,303,29.4,623,60.5
"Bloomfield School District","=""0110011""","Y",413,411,99.5,411,171,41.6,148,36.0,73,17.8,19,4.6,92,22.4
"Bloomfield School District","=""0110011""","N",354,352,99.4,352,118,33.5,130,36.9,69,19.6,35,9.9,104,29.5
"Bolton School District","=""0120011""","Y",60,60,100.0,59,16,27.1,19,32.2,17,28.8,7,11.9,24,40.7
"Bolton School District","=""0120011""","N",296,287,97.0,287,27,9.4,58,20.2,92,32.1,110,38.3,202,70.4
"Bozrah School District","=""0130011""","Y",28,28,100.0,28,9,32.1,10,35.7,"*","*","*","*",9,32.1
"Bozrah School District","=""0130011""","N",106,105,99.1,104,"*","*",43,41.3,29,27.9,"*","*","*","*"
"Branford School District","=""0140011""","Y",355,352,99.2,350,114,32.6,109,31.1,75,21.4,52,14.9,127,36.3
"Branford School District","=""0140011""","N",998,985,98.7,982,161,16.4,239,24.3,292,29.7,290,29.5,582,59.3
