"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","F",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","F",79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","F",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","F",80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","F",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","F",146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","F",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","F",79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*",11,13.9,2440
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","F",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","F",77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","F",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","F",59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"ELA","F",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Math","F",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""",03,"ELA","F",71,70,98.6,70,17,24.3,23,32.9,12,17.1,18,25.7,30,42.9,2426
"Amistad Academy District","=""2790013""",03,"ELA","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","F",71,70,98.6,70,18,25.7,18,25.7,26,37.1,8,11.4,34,48.6,2429
"Amistad Academy District","=""2790013""",03,"Math","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","F",57,57,100.0,57,17,29.8,10,17.5,14,24.6,16,28.1,30,52.6,2474
"Amistad Academy District","=""2790013""",04,"ELA","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","F",57,57,100.0,57,8,14.0,20,35.1,15,26.3,14,24.6,29,50.9,2490
"Amistad Academy District","=""2790013""",04,"Math","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","F",58,57,98.3,57,19,33.3,18,31.6,"*","*","*","*",20,35.1,2473
"Amistad Academy District","=""2790013""",05,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","F",58,56,96.6,56,27,48.2,24,42.9,"*","*","*","*","*","*",2456
"Amistad Academy District","=""2790013""",05,"Math","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Amistad Academy District","=""2790013""",05,"Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"ELA","F",60,60,100.0,60,14,23.3,13,21.7,25,41.7,8,13.3,33,55.0,2521
"Amistad Academy District","=""2790013""",06,"ELA","N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2524
"Amistad Academy District","=""2790013""",06,"ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",06,"Math","F",60,60,100.0,60,"*","*",21,35.0,18,30.0,"*","*","*","*",2502
"Amistad Academy District","=""2790013""",06,"Math","N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2515
"Amistad Academy District","=""2790013""",06,"Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"ELA","F",43,43,100.0,43,7,16.3,14,32.6,16,37.2,6,14.0,22,51.2,2548
"Amistad Academy District","=""2790013""",07,"ELA","N",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2551
"Amistad Academy District","=""2790013""",07,"ELA","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",07,"Math","F",43,43,100.0,43,16,37.2,14,32.6,"*","*","*","*",13,30.2,2515
"Amistad Academy District","=""2790013""",07,"Math","N",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2497
"Amistad Academy District","=""2790013""",07,"Math","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"ELA","F",39,39,100.0,39,9,23.1,"*","*",16,41.0,"*","*","*","*",2563
"Amistad Academy District","=""2790013""",08,"ELA","N",29,29,100.0,29,"*","*",11,37.9,"*","*",7,24.1,"*","*",2595
"Amistad Academy District","=""2790013""",08,"ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Math","F",39,39,100.0,39,15,38.5,"*","*","*","*",10,25.6,"*","*",2542
"Amistad Academy District","=""2790013""",08,"Math","N",29,29,100.0,29,"*","*",10,34.5,"*","*","*","*","*","*",2548
"Amistad Academy District","=""2790013""",08,"Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"ELA","F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"ELA","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"ELA","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"Math","F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"Math","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",11,"Math","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"ELA","N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2495
"Andover School District","=""0010011""",03,"Math","F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",03,"Math","N",29,29,100.0,29,0,0.0,"*","*","*","*","*","*","*","*",2475
"Andover School District","=""0010011""",04,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",04,"Math","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"ELA","N",41,39,95.1,39,"*","*","*","*",12,30.8,22,56.4,34,87.2,2589
"Andover School District","=""0010011""",05,"ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Math","N",41,41,100.0,41,"*","*",12,29.3,"*","*",19,46.3,"*","*",2557
"Andover School District","=""0010011""",05,"Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"ELA","N",35,34,97.1,34,0,0.0,7,20.6,12,35.3,15,44.1,27,79.4,2598
"Andover School District","=""0010011""",06,"ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",06,"Math","N",35,34,97.1,34,"*","*","*","*",7,20.6,19,55.9,26,76.5,2610
"Andover School District","=""0010011""",06,"Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"ELA","F",103,103,100.0,103,35,34.0,38,36.9,"*","*","*","*","*","*",2397
"Ansonia School District","=""0020011""",03,"ELA","N",60,60,100.0,60,"*","*","*","*","*","*",19,31.7,"*","*",2443
"Ansonia School District","=""0020011""",03,"ELA","R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",03,"Math","F",103,103,100.0,103,35,34.0,38,36.9,"*","*","*","*","*","*",2402
