"Smarter Balanced Assessments, 2014-15"
"State of Connecticut, ELA and Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","N",20141,19905,98.8,19891,1369,6.9,3555,17.9,5686,28.6,9281,46.7,14967,75.2,2479
"State of Connecticut",03,"ELA","Y",18617,18136,97.4,18094,7393,40.9,5312,29.4,3402,18.8,1987,11.0,5389,29.8,2389
"State of Connecticut",03,"Math","N",20138,19882,98.7,19876,1761,8.9,4260,21.4,7898,39.7,5957,30.0,13855,69.7,2467
"State of Connecticut",03,"Math","Y",18616,18394,98.8,18373,8709,47.4,5264,28.7,3411,18.6,989,5.4,4400,23.9,2384
"State of Connecticut",04,"ELA","N",21033,20814,99.0,20801,1724,8.3,3211,15.4,5940,28.6,9926,47.7,15866,76.3,2524
"State of Connecticut",04,"ELA","Y",18292,17832,97.5,17796,8234,46.3,4230,23.8,3420,19.2,1912,10.7,5332,30.0,2426
"State of Connecticut",04,"Math","N",21036,20805,98.9,20802,1342,6.5,6012,28.9,7801,37.5,5647,27.1,13448,64.6,2509
"State of Connecticut",04,"Math","Y",18284,18040,98.7,18026,7672,42.6,6734,37.4,2798,15.5,822,4.6,3620,20.1,2425
"State of Connecticut",05,"ELA","N",21509,21263,98.9,21249,1438,6.8,2895,13.6,8322,39.2,8594,40.4,16916,79.6,2560
"State of Connecticut",05,"ELA","Y",18045,17595,97.5,17566,7333,41.7,4442,25.3,4363,24.8,1428,8.1,5791,33.0,2462
"State of Connecticut",05,"Math","N",21512,21261,98.8,21251,2800,13.2,6681,31.4,5703,26.8,6067,28.5,11770,55.4,2535
"State of Connecticut",05,"Math","Y",18039,17812,98.7,17791,10237,57.5,5001,28.1,1767,9.9,786,4.4,2553,14.3,2443
"State of Connecticut",06,"ELA","N",22507,22187,98.6,22170,1136,5.1,4262,19.2,9656,43.6,7116,32.1,16772,75.7,2580
"State of Connecticut",06,"ELA","Y",18034,17589,97.5,17539,6571,37.5,5697,32.5,4245,24.2,1026,5.8,5271,30.1,2484
"State of Connecticut",06,"Math","N",22509,22171,98.5,22158,2735,12.3,7162,32.3,6478,29.2,5783,26.1,12261,55.3,2561
"State of Connecticut",06,"Math","Y",18030,17733,98.4,17712,9858,55.7,5300,29.9,1885,10.6,669,3.8,2554,14.4,2454
"State of Connecticut",07,"ELA","N",22266,21843,98.1,21825,1358,6.2,3651,16.7,10605,48.6,6211,28.5,16816,77.0,2603
"State of Connecticut",07,"ELA","Y",17684,17016,96.2,16955,6840,40.3,4797,28.3,4442,26.2,876,5.2,5318,31.4,2504
"State of Connecticut",07,"Math","N",22269,21815,98.0,21793,2847,13.1,6546,30.0,6656,30.5,5744,26.4,12400,56.9,2579
"State of Connecticut",07,"Math","Y",17680,17246,97.5,17207,9562,55.6,5008,29.1,1899,11.0,738,4.3,2637,15.3,2468
"State of Connecticut",08,"ELA","N",23357,22790,97.6,22759,1478,6.5,4758,20.9,10542,46.3,5981,26.3,16523,72.6,2613
"State of Connecticut",08,"ELA","Y",17628,16922,96.0,16850,6420,38.1,5583,33.1,4119,24.4,728,4.3,4847,28.8,2516
"State of Connecticut",08,"Math","N",23357,22760,97.4,22740,4180,18.4,6276,27.6,5877,25.8,6407,28.2,12284,54.0,2592
"State of Connecticut",08,"Math","Y",17625,17060,96.8,17022,10712,62.9,4037,23.7,1576,9.3,697,4.1,2273,13.4,2473
"State of Connecticut",11,"ELA","N",24422,20032,82.0,19892,2428,12.2,4092,20.6,7459,37.5,5913,29.7,13372,67.2,2619
"State of Connecticut",11,"ELA","Y",15434,12642,81.9,12476,4739,38.0,3842,30.8,2982,23.9,913,7.3,3895,31.2,2529
"State of Connecticut",11,"Math","N",24421,19828,81.2,19742,6066,30.7,5162,26.1,5069,25.7,3445,17.5,8514,43.1,2601
"State of Connecticut",11,"Math","Y",15444,12500,80.9,12435,8857,71.2,2288,18.4,1000,8.0,290,2.3,1290,10.4,2487

