"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",413,"44.1%","67.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",125,"48.8%","67.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",316,"24.7%","44.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",244,"26.6%","53.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",240,"35.8%","60.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",694,"28.5%","47.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",334,"37.4%","61.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",194,"37.6%","59.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",518,"54.4%","70.0%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",102,"50.0%","70.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",99,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",514,"58.4%","76.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","*","44.7%","69.6%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",660,"51.7%","70.5%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",141,"57.4%","80.4%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",194,"44.3%","71.0%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",91,"60.4%","83.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",167,"49.7%","69.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",613,"54.5%","72.5%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",396,"46.2%","68.2%"
