"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"",,,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Subject","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"ELA","Non-ELL","*",2408,2480,72,"56.0%","81.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Math","Non-ELL","*",2426,2484,58,"45.1%","80.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"ELA","Non-ELL",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Math","Non-ELL",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"ELA","Non-ELL",122,2465,2519,54,"47.5%","73.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","ELL",9,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Math","Non-ELL",121,2431,2479,48,"53.7%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"ELA","Non-ELL","*",2492,2537,45,"48.1%","69.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Math","Non-ELL","*",2460,2474,14,"25.9%","47.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"ELA","Non-ELL","*",2524,2582,58,"58.3%","76.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","ELL","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Math","Non-ELL","*",2502,2541,40,"54.1%","68.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"ELA","Non-ELL","*",2426,2490,64,"51.3%","76.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Math","Non-ELL","*",2440,2502,62,"59.5%","87.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"ELA","Non-ELL","*",2459,2512,53,"46.4%","69.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","ELL","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Math","Non-ELL","*",2474,2501,27,"36.9%","60.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"ELA","Non-ELL",76,2474,2517,44,"44.7%","68.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Math","Non-ELL",76,2459,2536,77,"75.0%","90.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"ELA","Non-ELL",79,2526,2550,24,"29.1%","52.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Math","Non-ELL",79,2516,2549,33,"41.8%","63.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"ELA","Non-ELL",70,2537,2578,42,"45.7%","69.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","ELL",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Math","Non-ELL",69,2509,2571,62,"69.6%","84.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"ELA","Non-ELL","*",2491,2532,41,"43.2%","66.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Math","Non-ELL","*",2465,2514,49,"35.1%","71.8%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"ELA","Non-ELL",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Math","Non-ELL",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"ELA","Non-ELL",45,2579,2597,17,"48.9%","63.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","ELL","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Math","Non-ELL","*",2554,2594,39,"60.0%","79.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"ELA","Non-ELL",147,2472,2480,8,"18.4%","40.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Math","Non-ELL",147,2475,2489,14,"27.9%","48.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"ELA","Non-ELL","*",2512,2529,17,"30.5%","47.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Math","Non-ELL","*",2499,2513,14,"38.0%","54.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"ELA","Non-ELL","*",2413,2452,39,"28.6%","56.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Math","Non-ELL","*",2423,2451,28,"19.5%","52.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"ELA","Non-ELL","*",2438,2462,24,"17.7%","46.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Math","Non-ELL","*",2431,2444,13,"21.5%","42.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"ELA","Non-ELL","*",2468,2497,28,"33.3%","56.9%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Math","Non-ELL","*",2450,2497,46,"59.5%","81.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"ELA","Non-ELL","*",2410,2456,46,"36.0%","62.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Math","Non-ELL","*",2405,2457,52,"32.0%","72.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"ELA","Non-ELL",90,2436,2459,23,"23.3%","50.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Math","Non-ELL",91,2449,2450,0,"23.1%","38.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"ELA","Non-ELL","*",2474,2518,44,"52.1%","69.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","ELL","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Math","Non-ELL","*",2454,2508,54,"63.0%","81.3%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"ELA","Non-ELL",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Math","Non-ELL",25,2293,2320,27,"8.0%","42.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"ELA","Non-ELL",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Math","Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"ELA","Non-ELL",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Math","Non-ELL",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"ELA","Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"Math","Non-ELL",15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"ELA","Non-ELL",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"Math","Non-ELL",18,"*","*","*","*","*"
