"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,84,2436,2500,64,"59.5%","87.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,85,2475,2501,26,"36.5%","60.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,82,2459,2534,75,"74.4%","90.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,85,2511,2540,28,"38.8%","60.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,75,2507,2567,60,"69.3%","83.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,47,2552,2593,41,"59.6%","79.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,147,2475,2489,14,"27.9%","48.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,168,2500,2513,13,"37.5%","54.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,79,2422,2450,28,"19.0%","52.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,80,2429,2443,14,"22.5%","43.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,85,2449,2496,46,"60.0%","81.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,76,2405,2456,52,"31.6%","72.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,91,2449,2450,0,"23.1%","38.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,74,2452,2504,52,"62.2%","80.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,25,2293,2320,27,"8.0%","42.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,15,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,18,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,242,2472,2479,7,"24.8%","43.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,240,2476,2518,42,"52.9%","73.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,214,2498,2509,11,"32.7%","49.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,69,2390,2428,38,"23.2%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,69,2417,2427,10,"24.6%","45.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,71,2446,2469,23,"38.0%","57.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,59,2467,2515,48,"59.3%","80.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,66,2493,2509,16,"40.9%","54.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,40,2454,2507,53,"55.0%","81.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,37,2536,2503,-33,"0.0%","6.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,36,2471,2479,8,"19.4%","42.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,46,2492,2563,70,"76.1%","90.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",8,34,2560,2583,23,"50.0%","61.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",7,256,2596,2638,41,"63.7%","82.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",8,262,2623,2657,34,"67.2%","80.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",4,106,2491,2535,44,"43.4%","70.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",4,98,2508,2540,32,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",5,258,2523,2546,22,"40.3%","59.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",6,258,2547,2602,55,"69.4%","88.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",4,"*",2408,2456,48,"36.4%","67.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",5,44,2461,2488,27,"25.0%","61.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School",6,44,2506,2546,40,"43.2%","69.9%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School",4,"*","*","*","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",6,208,2509,2534,25,"35.1%","59.3%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",7,241,2530,2564,33,"49.0%","69.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",8,210,2562,2577,15,"44.3%","58.6%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",4,58,2444,2523,79,"77.6%","95.4%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",5,83,2524,2543,19,"32.5%","53.3%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",4,87,2430,2483,54,"42.5%","76.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",5,107,2499,2525,26,"29.0%","58.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",4,38,2418,2515,97,"92.1%","100.0%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",5,53,2487,2525,38,"47.2%","72.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",4,50,2452,2506,54,"50.0%","79.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",5,56,2530,2584,54,"69.6%","88.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",6,61,2512,2544,31,"47.5%","69.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",6,176,2525,2557,32,"46.6%","69.1%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",7,230,2526,2563,37,"51.7%","73.3%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",8,207,2545,2587,42,"62.8%","78.8%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",4,198,2427,2501,74,"67.2%","92.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",5,198,2482,2534,52,"64.6%","85.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",5,113,2433,2465,32,"37.2%","65.4%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",6,91,2452,2522,70,"69.2%","87.5%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",7,89,2498,2523,25,"37.1%","57.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",8,91,2496,2515,19,"37.4%","53.4%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",6,21,2460,2462,2,"14.3%","40.6%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",7,27,2454,2484,30,"44.4%","57.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",8,32,2505,2511,6,"28.1%","39.9%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",4,98,2386,2444,58,"48.0%","78.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",4,53,2473,2537,63,"66.0%","94.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",5,65,2509,2532,23,"43.1%","62.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",6,61,2547,2586,39,"57.4%","76.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",7,60,2546,2588,42,"53.3%","75.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",8,49,2571,2582,11,"32.7%","45.8%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",4,21,2432,2460,27,"9.5%","48.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",5,29,2448,2487,38,"48.3%","72.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",6,21,2468,2493,26,"42.9%","66.2%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",7,16,"*","*","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",8,20,2531,2592,61,"70.0%","94.8%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",5,214,2498,2533,34,"47.2%","72.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",6,202,2502,2529,28,"43.6%","62.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",7,202,2540,2567,27,"43.1%","63.4%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",8,223,2566,2558,-8,"28.3%","41.0%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School",4,63,2468,2512,44,"30.2%","66.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School",4,63,2455,2530,74,"73.0%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School",4,78,2438,2490,52,"39.7%","69.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",4,86,2413,2496,82,"73.3%","95.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",5,82,2454,2470,16,"32.9%","49.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",6,86,2429,2473,44,"54.7%","74.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",7,83,2459,2515,56,"61.4%","81.0%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy",8,85,2506,2577,71,"74.1%","87.4%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",4,46,2373,2391,19,"6.5%","38.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",5,56,2384,2385,1,"10.7%","42.5%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",6,29,2397,2418,21,"31.0%","46.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School",7,38,2422,2451,29,"44.7%","61.7%"
