"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Eligible for Free Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Eligible for Free Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Eligible for Free Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Eligible for Free Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Eligible for Free Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Eligible for Free Lunch",59,2397,2464,67,"49.2%","71.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Not Eligible for Free/Reduced Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Eligible for Reduced Lunch",20,2488,2545,56,"55.0%","84.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Eligible for Free Lunch",64,2447,2496,49,"43.8%","66.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Not Eligible for Free/Reduced Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Eligible for Reduced Lunch",9,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Eligible for Free Lunch",60,2464,2502,39,"41.7%","63.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Not Eligible for Free/Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Eligible for Free Lunch",53,2508,2538,30,"34.0%","55.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Eligible for Reduced Lunch",14,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Eligible for Free Lunch",45,2510,2549,39,"42.2%","66.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Not Eligible for Free/Reduced Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Eligible for Reduced Lunch",13,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Eligible for Free Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Not Eligible for Free/Reduced Lunch",31,2486,2537,52,"51.6%","78.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Not Eligible for Free/Reduced Lunch","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Eligible for Free Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Not Eligible for Free/Reduced Lunch",39,2580,2601,20,"51.3%","66.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Eligible for Free Lunch",80,2459,2467,8,"17.5%","36.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Not Eligible for Free/Reduced Lunch",44,2492,2502,10,"27.3%","46.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Eligible for Reduced Lunch",23,2479,2484,5,"4.3%","41.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Eligible for Free Lunch",108,2494,2511,17,"29.6%","47.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Not Eligible for Free/Reduced Lunch",39,2544,2570,26,"35.9%","55.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Eligible for Reduced Lunch",22,2530,2531,1,"22.7%","34.9%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Eligible for Free Lunch",54,2397,2436,39,"27.8%","57.9%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Not Eligible for Free/Reduced Lunch","*",2436,2477,41,"30.4%","56.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Eligible for Reduced Lunch","*","*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Eligible for Free Lunch",56,2438,2451,13,"8.9%","37.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Not Eligible for Free/Reduced Lunch",17,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Eligible for Free Lunch",50,2449,2478,30,"34.0%","58.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Not Eligible for Free/Reduced Lunch",28,2514,2537,22,"28.6%","53.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Eligible for Reduced Lunch",7,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Eligible for Free Lunch",43,2385,2436,51,"34.9%","63.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Not Eligible for Free/Reduced Lunch",22,2445,2485,40,"36.4%","58.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Eligible for Free Lunch",43,2417,2433,16,"18.6%","42.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Not Eligible for Free/Reduced Lunch",35,2471,2497,26,"28.6%","57.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Eligible for Reduced Lunch",12,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Eligible for Free Lunch",43,2465,2513,48,"55.8%","76.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Not Eligible for Free/Reduced Lunch",20,2494,2539,44,"50.0%","67.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Eligible for Reduced Lunch",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"Eligible for Free Lunch",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"Eligible for Free Lunch",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"Eligible for Free Lunch",11,"*","*","*","*","*"
