"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Non-Special Education",78,2434,2492,58,"47.4%","82.2%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Non-Special Education",117,2444,2466,22,"35.0%","52.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Non-Special Education",114,2435,2488,53,"56.1%","79.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Non-Special Education","*",2470,2484,13,"26.0%","45.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Non-Special Education",55,2514,2558,43,"56.4%","70.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Special Education",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Non-Special Education",78,2446,2506,61,"59.0%","86.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Non-Special Education",77,2484,2510,26,"36.4%","60.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Non-Special Education","*",2463,2540,77,"75.6%","92.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Special Education",8,"*","*","*","*","*"
