"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Eligible for Free Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible for Free Lunch",280,"53.2%","75.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Not Eligible for Free/Reduced Lunch",65,"60.0%","77.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible for Reduced Lunch",66,"59.1%","78.7%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Not Eligible for Free/Reduced Lunch",110,"50.9%","77.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible for Free Lunch",188,"34.0%","54.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Not Eligible for Free/Reduced Lunch",82,"31.7%","50.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible for Reduced Lunch",45,"31.1%","42.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible for Free Lunch",160,"31.3%","55.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Not Eligible for Free/Reduced Lunch",68,"41.2%","67.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible for Reduced Lunch",16,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible for Free Lunch",129,"36.4%","60.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Not Eligible for Free/Reduced Lunch",78,"38.5%","63.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible for Reduced Lunch",34,"41.2%","62.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Eligible for Free Lunch",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible for Free Lunch",383,"31.9%","51.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Not Eligible for Free/Reduced Lunch",253,"46.2%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible for Reduced Lunch",60,"30.0%","53.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible for Free Lunch",151,"32.5%","55.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Not Eligible for Free/Reduced Lunch",140,"41.4%","63.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible for Reduced Lunch",43,"34.9%","53.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible for Free Lunch",56,"42.9%","55.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Not Eligible for Free/Reduced Lunch",127,"40.9%","59.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible for Free Lunch","*","36.4%","57.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Not Eligible for Free/Reduced Lunch",491,"66.6%","82.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible for Reduced Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Eligible for Free Lunch",6,"*","*"
