"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Eligible for Free Lunch",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible for Free Lunch",281,"42.3%","64.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Not Eligible for Free/Reduced Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible for Reduced Lunch",67,"46.3%","71.6%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible for Free Lunch","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Not Eligible for Free/Reduced Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible for Reduced Lunch","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible for Free Lunch",188,"24.5%","42.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Not Eligible for Free/Reduced Lunch",83,"31.3%","50.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible for Reduced Lunch",45,"13.3%","38.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible for Free Lunch",160,"23.1%","50.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Not Eligible for Free/Reduced Lunch",68,"30.9%","57.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible for Reduced Lunch",16,"*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible for Free Lunch",129,"36.4%","60.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Not Eligible for Free/Reduced Lunch",77,"36.4%","60.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible for Reduced Lunch",34,"32.4%","57.7%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Eligible for Free Lunch",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible for Free Lunch",382,"25.9%","45.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Not Eligible for Free/Reduced Lunch",252,"34.1%","53.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible for Reduced Lunch",60,"21.7%","38.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible for Free Lunch",151,"34.4%","60.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Not Eligible for Free/Reduced Lunch",140,"41.4%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible for Reduced Lunch",43,"34.9%","59.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible for Free Lunch",57,"31.6%","53.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Not Eligible for Free/Reduced Lunch",127,"40.9%","62.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible for Reduced Lunch",10,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible for Free Lunch","*","45.5%","60.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Not Eligible for Free/Reduced Lunch",491,"55.0%","70.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Eligible for Reduced Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Not Eligible for Free/Reduced Lunch","*","52.6%","71.5%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Eligible for Free Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Not Eligible for Free/Reduced Lunch","*","59.6%","75.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible for Free Lunch","*","33.3%","55.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Not Eligible for Free/Reduced Lunch",489,"59.7%","77.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Eligible for Reduced Lunch","*","*","*"
