"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Special Education",47,"34.0%","62.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Non-Special Education",418,"49.8%","72.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Special Education",31,"32.3%","63.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-Special Education",382,"45.0%","67.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Special Education","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-Special Education","*","50.0%","67.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Special Education",56,"12.5%","36.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-Special Education",260,"27.3%","45.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Special Education",33,"18.2%","49.4%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-Special Education",211,"28.0%","54.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Special Education",38,"28.9%","59.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-Special Education",202,"37.1%","60.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Special Education","*","21.7%","44.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Non-Special Education","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Special Education",79,"20.3%","38.9%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-Special Education",615,"29.6%","48.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Special Education",40,"35.0%","55.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-Special Education",294,"37.8%","62.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Special Education",21,"19.0%","44.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-Special Education",173,"39.9%","61.2%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Special Education",53,"39.6%","59.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-Special Education",465,"56.1%","71.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Special Education","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-Special Education","*","50.0%","70.9%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Special Education",6,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-Special Education",93,"59.1%","77.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Special Education",35,"42.9%","63.1%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-Special Education",479,"59.5%","77.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Special Education",20,"20.0%","56.0%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-Special Education",112,"49.1%","72.1%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Special Education","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Special Education",72,"48.6%","65.0%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-Special Education",588,"52.0%","71.1%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Special Education",17,"*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-Special Education",124,"59.7%","82.2%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Special Education",20,"35.0%","78.1%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-Special Education",174,"45.4%","70.1%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Special Education",13,"*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-Special Education",78,"60.3%","83.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Special Education",24,"33.3%","64.5%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-Special Education",143,"52.4%","70.6%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Special Education",66,"39.4%","60.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-Special Education",547,"56.3%","74.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Special Education",36,"38.9%","63.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-Special Education",360,"46.9%","68.8%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Special Education",36,"27.8%","62.4%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-Special Education",168,"35.7%","62.4%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Special Education",25,"24.0%","51.6%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-Special Education",154,"36.4%","53.3%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Special Education",8,"*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-Special Education",72,"51.4%","69.2%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Special Education",12,"*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-Special Education",85,"34.1%","63.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Special Education",34,"26.5%","53.2%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-Special Education",254,"59.8%","78.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Special Education",17,"*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-Special Education",90,"45.6%","66.4%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Special Education",103,"31.1%","53.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-Special Education",738,"42.3%","60.2%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Special Education","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-Special Education","*","46.7%","67.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Special Education",6,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-Special Education",57,"73.7%","93.3%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Special Education",9,"*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Non-Special Education",70,"51.4%","73.5%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Special Education",38,"47.4%","71.6%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Non-Special Education",384,"49.7%","68.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Special Education",52,"17.3%","41.4%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Non-Special Education",164,"26.2%","53.9%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Special Education",18,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Non-Special Education",90,"28.9%","55.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Special Education",27,"29.6%","56.6%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Non-Special Education",153,"39.2%","61.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Special Education",57,"33.3%","57.1%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Non-Special Education",481,"33.5%","56.2%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Special Education",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Non-Special Education",110,"35.5%","61.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Special Education",64,"20.3%","46.7%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Non-Special Education",442,"29.2%","53.3%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Non-Special Education",169,"38.5%","61.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Special Education",23,"39.1%","70.6%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Non-Special Education",249,"41.0%","67.1%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Special Education",38,"13.2%","28.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Non-Special Education",106,"17.0%","37.1%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Special Education",58,"19.0%","38.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Non-Special Education",291,"28.9%","54.5%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Non-Special Education",129,"13.2%","34.6%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Special Education",24,"20.8%","52.8%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Non-Special Education",63,"31.7%","54.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Special Education",46,"23.9%","45.5%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Non-Special Education",280,"36.4%","61.4%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Special Education",9,"*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Non-Special Education",72,"31.9%","61.8%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Special Education",17,"*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Non-Special Education",72,"26.4%","54.8%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Special Education",24,"33.3%","51.3%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Non-Special Education",189,"39.2%","61.2%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Special Education",28,"21.4%","49.6%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Non-Special Education",137,"29.2%","54.9%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Special Education",16,"*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Non-Special Education",203,"30.0%","53.8%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Special Education",48,"31.3%","51.9%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Non-Special Education",213,"42.3%","67.6%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Special Education",65,"21.5%","38.5%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Non-Special Education",295,"25.1%","52.2%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Special Education",38,"18.4%","42.2%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Non-Special Education",161,"37.9%","63.8%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Special Education",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Non-Special Education",227,"42.7%","61.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Non-Special Education",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Special Education",49,"36.7%","54.9%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Non-Special Education",317,"24.6%","45.8%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Special Education",35,"11.4%","32.2%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Non-Special Education",178,"24.2%","48.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Special Education",33,"12.1%","43.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Non-Special Education",178,"30.9%","52.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Special Education",33,"30.3%","51.8%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Non-Special Education",298,"40.6%","64.3%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Special Education",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Special Education",114,"26.3%","48.9%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Non-Special Education",546,"37.4%","56.9%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Special Education",7,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Special Education",16,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Non-Special Education",99,"46.5%","74.9%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Special Education",10,"*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Non-Special Education",98,"42.9%","62.3%"
"=""0170011""","Bristol School District","=""0170911""","Greene-Hills GOAL","Special Education","*","*","*"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Special Education",73,"41.1%","64.6%"
"=""0170011""","Bristol School District","=""0170511""","Greene-Hills School","Non-Special Education",366,"43.7%","65.6%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Special Education",24,"33.3%","59.5%"
"=""0170011""","Bristol School District","=""0171911""","Ivy Drive School","Non-Special Education",108,"48.1%","68.4%"
