"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Eligible For Lunch",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Eligible For Lunch",348,"43.1%","66.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Not Eligible For Lunch",65,"49.2%","72.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Not Eligible For Lunch",108,"52.8%","72.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Eligible For Lunch",233,"22.3%","41.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Not Eligible For Lunch",83,"31.3%","50.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Eligible For Lunch",176,"25.0%","52.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Not Eligible For Lunch",68,"30.9%","57.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Eligible For Lunch",163,"35.6%","59.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Not Eligible For Lunch",77,"36.4%","60.3%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Eligible For Lunch",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Eligible For Lunch",442,"25.3%","44.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Not Eligible For Lunch",252,"34.1%","53.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Eligible For Lunch",194,"34.5%","59.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Not Eligible For Lunch",140,"41.4%","64.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Eligible For Lunch",67,"31.3%","52.8%"
