"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA",413,"44.1%","67.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math",411,"55.2%","76.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA",125,"48.8%","67.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math",127,"49.6%","75.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA",316,"24.7%","44.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math",315,"33.0%","51.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA",244,"26.6%","53.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math",244,"34.4%","59.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA",240,"35.8%","60.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math",241,"37.8%","61.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA",694,"28.5%","47.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math",696,"36.9%","55.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA",334,"37.4%","61.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math",334,"36.5%","58.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA",194,"37.6%","59.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math",193,"42.0%","58.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA",518,"54.4%","70.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math",518,"65.4%","81.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA",102,"50.0%","70.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math",106,"43.4%","70.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA",99,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math",98,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA",514,"58.4%","76.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math",516,"54.8%","74.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","*","44.7%","69.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","*","34.8%","66.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA",660,"51.7%","70.5%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math",659,"43.1%","62.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA",141,"57.4%","80.4%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math",141,"51.1%","70.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA",194,"44.3%","71.0%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math",194,"35.1%","66.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA",91,"60.4%","83.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math",91,"65.9%","87.0%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA",167,"49.7%","69.7%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA",613,"54.5%","72.5%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math",613,"54.0%","74.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA",396,"46.2%","68.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math",396,"65.9%","88.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA",204,"34.3%","62.4%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math",204,"51.5%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA",179,"34.6%","53.1%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math",180,"37.2%","55.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA",80,"50.0%","67.8%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math",80,"30.0%","46.0%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA",97,"32.0%","61.7%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math",98,"48.0%","78.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA",288,"55.9%","75.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math",288,"50.7%","71.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA",107,"40.2%","60.9%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math",107,"46.7%","73.0%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA",841,"40.9%","59.4%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math",841,"40.3%","59.6%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA",63,"44.4%","66.5%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math",63,"30.2%","66.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA",63,"73.0%","94.0%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math",63,"73.0%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA",79,"50.6%","72.6%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math",78,"39.7%","69.7%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA",422,"49.5%","68.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math",422,"59.5%","77.8%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA",216,"24.1%","50.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math",216,"21.8%","44.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA",108,"25.9%","51.6%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math",108,"30.6%","53.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA",180,"37.8%","60.4%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math",182,"41.8%","63.3%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA",538,"33.5%","56.3%"
