"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"District Code","District","School Code","School","Subject","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Eligible For Lunch",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Eligible For Lunch",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Eligible For Lunch",348,"43.1%","66.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Not Eligible For Lunch",65,"49.2%","72.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Eligible For Lunch",346,"54.3%","75.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Not Eligible For Lunch",65,"60.0%","77.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Not Eligible For Lunch",108,"52.8%","72.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Eligible For Lunch",17,"*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Not Eligible For Lunch",110,"50.9%","77.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Eligible For Lunch",233,"22.3%","41.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Not Eligible For Lunch",83,"31.3%","50.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Eligible For Lunch",233,"33.5%","52.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Not Eligible For Lunch",82,"31.7%","50.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Eligible For Lunch",176,"25.0%","52.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Not Eligible For Lunch",68,"30.9%","57.1%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Eligible For Lunch",176,"31.8%","56.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Not Eligible For Lunch",68,"41.2%","67.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Eligible For Lunch",163,"35.6%","59.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Not Eligible For Lunch",77,"36.4%","60.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Eligible For Lunch",163,"37.4%","61.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Not Eligible For Lunch",78,"38.5%","63.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Eligible For Lunch",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Eligible For Lunch",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Eligible For Lunch",442,"25.3%","44.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Not Eligible For Lunch",252,"34.1%","53.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Eligible For Lunch",443,"31.6%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Not Eligible For Lunch",253,"46.2%","62.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Eligible For Lunch",194,"34.5%","59.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Not Eligible For Lunch",140,"41.4%","64.7%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Eligible For Lunch",194,"33.0%","54.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Not Eligible For Lunch",140,"41.4%","63.0%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Eligible For Lunch",67,"31.3%","52.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Not Eligible For Lunch",127,"40.9%","62.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Eligible For Lunch",66,"43.9%","57.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Not Eligible For Lunch",127,"40.9%","59.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Eligible For Lunch",27,"44.4%","60.0%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Not Eligible For Lunch",491,"55.0%","70.6%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Eligible For Lunch",27,"44.4%","65.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Not Eligible For Lunch",491,"66.6%","82.2%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Not Eligible For Lunch","*","52.6%","71.5%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Eligible For Lunch",6,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Not Eligible For Lunch",100,"46.0%","73.2%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Not Eligible For Lunch","*","59.6%","75.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Eligible For Lunch","*","*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Not Eligible For Lunch","*","47.3%","67.3%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Eligible For Lunch",25,"32.0%","52.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Not Eligible For Lunch",489,"59.7%","77.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Eligible For Lunch",25,"16.0%","37.0%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Not Eligible For Lunch",491,"56.8%","76.1%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Eligible For Lunch",16,"*","*"
