"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"High Needs",85,2427,2483,56,"44.7%","78.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"High Needs",130,2435,2458,23,"34.6%","51.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"High Needs",130,2429,2477,48,"53.8%","76.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"High Needs",55,2459,2472,13,"25.5%","46.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"High Needs",62,2500,2539,39,"53.2%","67.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"High Needs",78,2437,2499,62,"59.0%","86.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"High Needs",73,2472,2501,29,"39.7%","64.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"High Needs",71,2453,2526,73,"73.2%","89.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"High Needs",69,2500,2526,25,"34.8%","56.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"High Needs",57,2491,2545,55,"64.9%","79.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Non-High Needs",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Non-High Needs",30,2468,2519,51,"36.7%","77.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Non-High Needs","*",2534,2573,39,"52.6%","76.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"High Needs",12,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Non-High Needs",35,2572,2613,41,"65.7%","84.9%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"High Needs",110,2460,2475,15,"26.4%","49.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Non-High Needs",37,2519,2531,11,"32.4%","47.4%"
