"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, ELL"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA","ELL",2343,2339,2393,53,"33.7%","62.5%"
"=""0000000""","State of Connecticut",4,"ELA","Non-ELL",33973,2437,2489,52,"46.5%","70.7%"
"=""0000000""","State of Connecticut",4,"Math","ELL",2569,2353,2407,54,"37.9%","69.9%"
"=""0000000""","State of Connecticut",4,"Math","Non-ELL",33912,2434,2485,51,"44.1%","73.6%"
"=""0000000""","State of Connecticut",5,"ELA","ELL",2106,2366,2420,54,"34.8%","64.0%"
"=""0000000""","State of Connecticut",5,"ELA","Non-ELL",34854,2482,2526,45,"44.5%","67.5%"
"=""0000000""","State of Connecticut",5,"Math","ELL",2308,2386,2417,30,"38.5%","60.4%"
"=""0000000""","State of Connecticut",5,"Math","Non-ELL",34802,2476,2509,33,"44.2%","66.3%"
"=""0000000""","State of Connecticut",6,"ELA","ELL",1564,2389,2423,34,"31.5%","55.6%"
"=""0000000""","State of Connecticut",6,"ELA","Non-ELL",35367,2516,2544,28,"42.6%","61.2%"
"=""0000000""","State of Connecticut",6,"Math","ELL",1757,2393,2405,12,"31.8%","48.6%"
"=""0000000""","State of Connecticut",6,"Math","Non-ELL",35277,2499,2529,30,"44.0%","63.7%"
"=""0000000""","State of Connecticut",7,"ELA","ELL",1549,2403,2436,33,"29.1%","52.1%"
"=""0000000""","State of Connecticut",7,"ELA","Non-ELL",36452,2536,2567,31,"42.6%","61.2%"
"=""0000000""","State of Connecticut",7,"Math","ELL",1697,2387,2415,28,"39.2%","57.1%"
"=""0000000""","State of Connecticut",7,"Math","Non-ELL",36346,2520,2546,26,"44.3%","63.1%"
"=""0000000""","State of Connecticut",8,"ELA","ELL",1252,2410,2445,35,"31.0%","53.7%"
"=""0000000""","State of Connecticut",8,"ELA","Non-ELL",35885,2556,2582,26,"42.3%","60.0%"
"=""0000000""","State of Connecticut",8,"Math","ELL",1444,2392,2419,27,"39.5%","55.6%"
"=""0000000""","State of Connecticut",8,"Math","Non-ELL",35752,2537,2560,22,"44.5%","60.1%"

