"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","High Needs (F/R, EL or SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"High Needs",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"High Needs",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"High Needs",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"High Needs",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"High Needs",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"High Needs",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Non-High Needs",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"High Needs",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Non-High Needs",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"High Needs",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Non-High Needs",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"High Needs",69,2510,2534,24,"31.9%","52.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Non-High Needs",16,"*","*","*","*","*"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"High Needs",58,2518,2555,36,"39.7%","63.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Non-High Needs",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"High Needs",8,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Non-High Needs",30,2491,2542,51,"50.0%","77.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"High Needs","*","*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Non-High Needs","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"High Needs",10,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",6,"Non-High Needs",35,2598,2617,19,"54.3%","67.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"High Needs",110,2459,2468,9,"15.5%","38.4%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",7,"Non-High Needs",37,2510,2517,7,"27.0%","45.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"High Needs",135,2498,2512,14,"27.4%","44.8%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",8,"Non-High Needs",34,2558,2586,28,"41.2%","58.5%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"High Needs",57,2399,2438,40,"28.1%","57.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",4,"Non-High Needs",22,2438,2481,43,"31.8%","58.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"High Needs",65,2430,2450,20,"12.3%","40.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",5,"Non-High Needs",15,"*","*","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"High Needs",59,2445,2476,31,"33.9%","58.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",6,"Non-High Needs",26,2516,2538,23,"30.8%","54.6%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"High Needs",56,2394,2442,48,"35.7%","62.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",4,"Non-High Needs",20,2454,2493,39,"35.0%","58.8%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"High Needs",59,2413,2432,19,"18.6%","45.7%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",5,"Non-High Needs",31,2479,2511,31,"32.3%","60.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"High Needs",55,2461,2505,44,"50.9%","70.5%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",6,"Non-High Needs",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",4,"High Needs",25,2301,2332,31,"16.0%","43.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",5,"High Needs",20,2331,2352,21,"10.0%","37.4%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",6,"High Needs",11,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",7,"High Needs",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",8,"High Needs",19,"*","*","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"High Needs",161,2471,2472,1,"19.3%","35.8%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",6,"Non-High Needs",79,2549,2543,-6,"25.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"High Needs",165,2480,2502,22,"29.7%","50.5%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",7,"Non-High Needs",75,2542,2569,27,"37.3%","61.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"High Needs",134,2501,2514,13,"26.9%","46.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",8,"Non-High Needs",80,2569,2593,24,"42.5%","58.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"High Needs",43,2385,2418,33,"25.6%","49.3%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",4,"Non-High Needs",26,2420,2464,43,"46.2%","63.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"High Needs",41,2413,2450,38,"17.1%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",5,"Non-High Needs",28,2449,2507,59,"42.9%","76.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"High Needs",44,2455,2494,39,"43.2%","64.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",6,"Non-High Needs",27,2537,2569,32,"48.1%","65.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"High Needs",36,2473,2530,57,"50.0%","74.0%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",7,"Non-High Needs",23,2565,2597,32,"43.5%","63.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"High Needs",41,2528,2556,28,"36.6%","58.1%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",8,"Non-High Needs",25,2536,2575,40,"32.0%","62.6%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"High Needs",17,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",4,"Non-High Needs",24,2503,2535,32,"33.3%","57.4%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"High Needs",9,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",5,"Non-High Needs",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"High Needs",15,"*","*","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",6,"Non-High Needs",21,2525,2550,25,"38.1%","59.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",7,"High Needs",16,"*","*","*","*","*"
