"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Non-ELL",451,"47.7%","71.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELL",24,"54.2%","68.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-ELL",389,"43.4%","67.1%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELL","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-ELL","*","48.4%","66.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-ELL","*","24.8%","44.2%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-ELL","*","26.7%","53.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-ELL","*","36.1%","60.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Non-ELL",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELL",45,"26.7%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-ELL",649,"28.7%","47.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELL","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-ELL","*","37.5%","61.8%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELL","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-ELL","*","37.8%","59.7%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELL",6,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-ELL",512,"54.9%","70.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELL","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-ELL","*","49.0%","69.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-ELL",99,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELL",6,"*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-ELL",508,"58.9%","76.9%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-ELL",132,"44.7%","69.6%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Non-ELL","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELL",6,"*","*"
