"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","High Needs",465,"48.2%","71.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","High Needs",350,"42.9%","65.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Non-High Needs",63,"50.8%","74.8%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","High Needs",22,"27.3%","41.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Non-High Needs",103,"53.4%","72.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","High Needs",245,"22.0%","42.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Non-High Needs",71,"33.8%","51.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","High Needs",181,"24.3%","51.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Non-High Needs",63,"33.3%","59.0%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","High Needs",170,"34.7%","59.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Non-High Needs",70,"38.6%","61.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","High Needs",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","High Needs",460,"25.2%","44.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Non-High Needs",234,"35.0%","54.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","High Needs",205,"34.1%","58.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Non-High Needs",129,"42.6%","66.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","High Needs",75,"30.7%","51.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Non-High Needs",119,"42.0%","64.5%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","High Needs",77,"39.0%","56.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Non-High Needs",441,"57.1%","72.3%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","High Needs",9,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Non-High Needs",93,"51.6%","70.4%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","High Needs",10,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Non-High Needs",89,"61.8%","77.6%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","High Needs",56,"39.3%","62.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Non-High Needs",458,"60.7%","78.4%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","High Needs",30,"26.7%","63.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Non-High Needs",102,"50.0%","71.5%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","High Needs","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","High Needs",135,"45.2%","63.2%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Non-High Needs",525,"53.3%","72.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","High Needs",35,"45.7%","75.3%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Non-High Needs",106,"61.3%","82.0%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","High Needs",36,"38.9%","74.4%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Non-High Needs",158,"45.6%","70.2%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","High Needs",20,"45.0%","72.3%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Non-High Needs",71,"64.8%","86.3%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","High Needs",32,"37.5%","65.6%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Non-High Needs",135,"52.6%","70.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","High Needs",183,"43.7%","63.4%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Non-High Needs",430,"59.1%","76.4%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","High Needs",115,"44.3%","65.3%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Non-High Needs",281,"47.0%","69.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","High Needs",126,"38.1%","64.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Non-High Needs",78,"28.2%","59.0%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","High Needs",101,"35.6%","52.3%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Non-High Needs",78,"33.3%","54.0%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","High Needs",40,"42.5%","57.7%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Non-High Needs",40,"57.5%","77.8%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","High Needs",60,"26.7%","57.5%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Non-High Needs",37,"40.5%","68.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","High Needs",72,"31.9%","57.4%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Non-High Needs",216,"63.9%","81.6%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","High Needs",37,"35.1%","51.5%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Non-High Needs",70,"42.9%","65.9%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","High Needs",277,"36.5%","56.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Non-High Needs",564,"43.1%","60.9%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","High Needs",17,"*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Non-High Needs",46,"47.8%","69.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","High Needs",11,"*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Non-High Needs",52,"71.2%","91.7%"
