"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",411,"55.2%","76.0%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",127,"49.6%","75.7%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School",315,"33.0%","51.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School",244,"34.4%","59.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School",241,"37.8%","61.9%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School",696,"36.9%","55.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School",334,"36.5%","58.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School",193,"42.0%","58.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School",518,"65.4%","81.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School",106,"43.4%","70.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School",98,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School",516,"54.8%","74.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","*","34.8%","66.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School",659,"43.1%","62.7%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School",141,"51.1%","70.7%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School",194,"35.1%","66.5%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School",91,"65.9%","87.0%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School",613,"54.0%","74.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School",396,"65.9%","88.7%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School",204,"51.5%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School",180,"37.2%","55.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School",80,"30.0%","46.0%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School",98,"48.0%","78.0%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School",288,"50.7%","71.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School",107,"46.7%","73.0%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School",841,"40.3%","59.6%"
