"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, All Students"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELA",36316,2431,2483,52,"45.7%","70.2%"
"=""0000000""","State of Connecticut",4,"Math",36481,2429,2479,51,"43.7%","73.4%"
"=""0000000""","State of Connecticut",5,"ELA",36960,2475,2520,45,"43.9%","67.3%"
"=""0000000""","State of Connecticut",5,"Math",37110,2471,2503,32,"43.8%","65.9%"
"=""0000000""","State of Connecticut",6,"ELA",36931,2511,2539,29,"42.1%","61.0%"
"=""0000000""","State of Connecticut",6,"Math",37034,2494,2523,29,"43.4%","63.0%"
"=""0000000""","State of Connecticut",7,"ELA",38001,2531,2562,31,"42.0%","60.8%"
"=""0000000""","State of Connecticut",7,"Math",38043,2514,2541,26,"44.1%","62.8%"
"=""0000000""","State of Connecticut",8,"ELA",37137,2551,2577,26,"41.9%","59.8%"
"=""0000000""","State of Connecticut",8,"Math",37196,2532,2554,22,"44.3%","60.0%"

