"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","High Needs",465,"48.2%","71.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","High Needs",462,"43.3%","65.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","High Needs",350,"42.9%","65.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Non-High Needs",63,"50.8%","74.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","High Needs",348,"54.0%","75.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Non-High Needs",63,"61.9%","79.5%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","High Needs",22,"27.3%","41.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Non-High Needs",103,"53.4%","72.6%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","High Needs",24,"37.5%","60.3%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Non-High Needs",103,"52.4%","79.3%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","High Needs",245,"22.0%","42.0%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Non-High Needs",71,"33.8%","51.6%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","High Needs",245,"33.5%","52.5%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Non-High Needs",70,"31.4%","48.8%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","High Needs",181,"24.3%","51.6%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Non-High Needs",63,"33.3%","59.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","High Needs",181,"31.5%","56.7%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Non-High Needs",63,"42.9%","67.3%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","High Needs",170,"34.7%","59.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Non-High Needs",70,"38.6%","61.9%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","High Needs",170,"35.9%","59.4%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Non-High Needs",71,"42.3%","68.1%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","High Needs",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","High Needs",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","High Needs",460,"25.2%","44.1%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Non-High Needs",234,"35.0%","54.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","High Needs",461,"31.5%","51.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Non-High Needs",235,"47.7%","64.2%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","High Needs",205,"34.1%","58.9%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Non-High Needs",129,"42.6%","66.5%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","High Needs",205,"33.2%","54.4%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Non-High Needs",129,"41.9%","64.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","High Needs",75,"30.7%","51.3%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Non-High Needs",119,"42.0%","64.5%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","High Needs",74,"41.9%","58.1%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Non-High Needs",119,"42.0%","58.5%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","High Needs",77,"39.0%","56.8%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Non-High Needs",441,"57.1%","72.3%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","High Needs",78,"41.0%","61.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Non-High Needs",440,"69.8%","84.9%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","High Needs",9,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Non-High Needs",93,"51.6%","70.4%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","High Needs",13,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Non-High Needs",93,"46.2%","72.0%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","High Needs",10,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Non-High Needs",89,"61.8%","77.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","High Needs",9,"*","*"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Non-High Needs",89,"48.3%","67.8%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","High Needs",56,"39.3%","62.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Non-High Needs",458,"60.7%","78.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","High Needs",59,"32.2%","57.4%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Non-High Needs",457,"57.8%","76.3%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","High Needs",30,"26.7%","63.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Non-High Needs",102,"50.0%","71.5%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","High Needs",30,"23.3%","52.8%"
