"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Female",39,2419,2501,82,"64.1%","87.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Male",48,2398,2465,66,"50.0%","77.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Female",74,2426,2473,47,"35.1%","61.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Male",57,2408,2459,51,"40.4%","62.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Female",61,2474,2533,59,"52.5%","78.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Male",70,2449,2500,51,"45.7%","70.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Female",32,2513,2558,45,"56.3%","70.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Male",23,2461,2504,43,"34.8%","64.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Female",29,2512,2576,65,"62.1%","79.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Male",32,2529,2583,53,"56.3%","74.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Female",39,2422,2491,69,"56.4%","77.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Male",46,2421,2481,60,"47.8%","73.5%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Female",44,2460,2525,65,"56.8%","79.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Male",41,2458,2498,40,"34.1%","59.8%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Female",38,2499,2544,45,"47.4%","70.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Male",44,2447,2489,43,"45.5%","67.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Female",44,2520,2553,33,"38.6%","59.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Male",41,2513,2531,18,"22.0%","46.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Female",37,2530,2576,46,"45.9%","69.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Male",39,2532,2571,39,"46.2%","68.4%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",4,"Male",20,2474,2515,40,"40.0%","63.2%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School",5,"Female",15,"*","*","*","*","*"
